trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1965220,23:47:00,23:47:00,E30-2,0,,,,
1965220,23:54:00,23:54:00,E20-2,1,,,,
1965220,24:10:00,24:11:00,C80-2,2,,,,
1965220,24:17:00,24:17:00,C70-2,3,,,,
1965220,24:21:00,24:21:00,C60-2,4,,,,
1965220,24:26:00,24:26:00,C50-2,5,,,,
1965220,24:29:00,24:29:00,C40-2,6,,,,
1965220,24:34:00,24:34:00,C30-2,7,,,,
1965220,24:38:00,24:39:00,C20-2,8,,,,
1965220,24:44:00,24:44:00,C10-2,9,,,,
1965220,24:47:00,24:52:00,K30-4,10,,,,
1965220,24:55:00,24:56:00,K20-2,11,,,,
1965220,24:57:00,24:58:00,K10-2,12,,,,
1965220,25:02:00,25:03:00,M10-1,13,,,,
1965220,25:09:00,25:10:00,M16-1,14,,,,
1965220,25:11:00,25:11:00,M20-1,15,,,,
1965220,25:13:00,25:13:00,M30-1,16,,,,
1965220,25:14:00,25:15:00,M40-1,17,,,,
1965220,25:17:00,25:17:00,M50-1,18,,,,
1965220,25:19:00,25:19:00,M60-1,19,,,,
1965220,25:21:00,25:22:00,M70-1,20,,,,
1965220,25:24:00,25:24:00,M80-1,21,,,,
1965220,25:28:00,25:29:00,M90-1,22,,,,
1965220,25:32:00,25:32:00,W10-1,23,,,,
1965220,25:35:00,25:35:00,W20-1,24,,,,
1965220,25:38:00,25:39:00,W30-1,25,,,,
1965220,25:43:00,25:43:00,W40-3,26,,,,
1965241,05:02:00,05:02:00,W40-3,0,,,,
1965241,05:06:00,05:06:00,Y10-1,1,,,,
1965241,05:08:00,05:08:00,Y10-1,2,San Francisco / Antioch,,,
1965241,05:12:00,05:12:00,W30-2,3,San Francisco / Antioch,,,
1965241,05:15:00,05:15:00,W20-2,4,San Francisco / Antioch,,,
1965241,05:18:00,05:19:00,W10-2,5,San Francisco / Antioch,,,
1965241,05:21:00,05:22:00,M90-2,6,Antioch,,,
1965241,05:26:00,05:26:00,M80-2,7,Antioch,,,
1965241,05:28:00,05:28:00,M70-2,8,Antioch,,,
1965241,05:31:00,05:31:00,M60-2,9,Antioch,,,
1965241,05:33:00,05:33:00,M50-2,10,Antioch,,,
1965241,05:35:00,05:35:00,M40-2,11,Antioch,,,
1965241,05:37:00,05:37:00,M30-2,12,Antioch,,,
1965241,05:38:00,05:39:00,M20-2,13,Antioch,,,
1965241,05:40:00,05:40:00,M16-2,14,Antioch,,,
1965241,05:47:00,05:47:00,M10-2,15,Antioch,,,
1965241,05:52:00,05:52:00,K10-3,16,Antioch,,,
1965241,05:53:00,05:54:00,K20-3,17,Antioch,,,
1965241,05:57:00,05:58:00,K30-3,18,Antioch,,,
1965241,06:00:00,06:01:00,C10-1,19,Antioch,,,
1965241,06:06:00,06:06:00,C20-1,20,Antioch,,,
1965241,06:10:00,06:11:00,C30-1,21,Antioch,,,
1965241,06:15:00,06:15:00,C40-1,22,Antioch,,,
1965241,06:18:00,06:18:00,C50-1,23,Antioch,,,
1965241,06:23:00,06:23:00,C60-1,24,Antioch,,,
1965241,06:27:00,06:27:00,C70-1,25,Antioch,,,
1965241,06:33:00,06:34:00,C80-1,26,Antioch,,,
1965241,06:45:00,06:45:00,E20-1,27,Antioch,,,
1965241,06:52:00,06:53:00,E30-2,28,Antioch,,,
1965366,05:57:00,05:57:00,S50-2,0,,,,
1965366,06:01:00,06:02:00,S40-2,1,,,,
