shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2010681,50.898750,-114.068731,10001,0.000
2010681,50.898907,-114.068816,10002,0.018
2010681,50.899806,-114.069289,10003,0.124
2010681,50.900114,-114.069440,10004,0.160
2010681,50.900633,-114.069679,10005,0.220
2010681,50.900951,-114.069821,10006,0.257
2010681,50.901344,-114.069979,10007,0.302
2010681,50.901740,-114.070115,10008,0.347
2010681,50.902139,-114.070228,10009,0.392
2010681,50.902541,-114.070318,10010,0.437
2010681,50.902977,-114.070397,10011,0.486
2010681,50.903361,-114.070451,10012,0.529
2010681,50.903638,-114.070481,10013,0.560
2010681,50.904143,-114.070516,10014,0.616
2010681,50.904626,-114.070525,10015,0.670
2010681,50.907212,-114.070519,10016,0.958
2010681,50.908022,-114.070545,10017,1.048
2010681,50.909191,-114.070563,10018,1.178
2010681,50.910581,-114.070558,10019,1.333
2010681,50.910769,-114.070555,10020,1.353
2010681,50.910769,-114.070555,20001,1.353
2010681,50.912119,-114.070530,20002,1.504
2010681,50.912261,-114.070555,20003,1.520
2010681,50.912404,-114.070523,20004,1.536
2010681,50.913908,-114.070496,20005,1.703
2010681,50.914296,-114.070500,20006,1.746
2010681,50.914770,-114.070527,20007,1.799
2010681,50.915243,-114.070575,20008,1.852
2010681,50.915715,-114.070647,20009,1.905
2010681,50.916149,-114.070733,20010,1.953
2010681,50.916654,-114.070857,20011,2.010
2010681,50.917120,-114.070997,20012,2.063
2010681,50.918103,-114.071326,20013,2.175
2010681,50.923691,-114.073199,20014,2.810
2010681,50.923691,-114.073199,30001,2.810
2010681,50.923902,-114.073270,30002,2.834
2010681,50.924459,-114.073457,30003,2.898
2010681,50.925046,-114.073654,30004,2.964
2010681,50.925276,-114.073723,30005,2.990
2010681,50.925438,-114.073763,30006,3.009
2010681,50.925636,-114.073793,30007,3.031
2010681,50.925738,-114.073801,30008,3.042
2010681,50.925791,-114.073802,30009,3.048
2010681,50.925979,-114.073796,30010,3.069
2010681,50.926088,-114.073785,30011,3.081
2010681,50.926237,-114.073761,30012,3.098
2010681,50.926374,-114.073728,30013,3.113
2010681,50.926476,-114.073696,30014,3.124
2010681,50.926641,-114.073635,30015,3.143
2010681,50.926720,-114.073600,30016,3.152
2010681,50.927032,-114.073448,30017,3.189
2010681,50.929447,-114.072203,30018,3.471
2010681,50.930170,-114.071810,30019,3.556
2010681,50.930369,-114.071705,30020,3.580
2010681,50.932888,-114.070407,30021,3.874
2010681,50.933084,-114.070311,30022,3.897
2010681,50.933349,-114.070197,30023,3.928
2010681,50.933445,-114.070160,30024,3.939
2010681,50.933693,-114.070069,30025,3.967
2010681,50.933959,-114.069988,30026,3.997
2010681,50.934211,-114.069927,30027,4.026
2010681,50.934312,-114.069906,30028,4.037
2010681,50.934735,-114.069839,30029,4.084
2010681,50.935022,-114.069814,30030,4.116
2010681,50.936412,-114.069717,30031,4.271
2010681,50.936412,-114.069717,40001,4.271
2010681,50.936448,-114.069715,40002,4.275
2010681,50.936613,-114.069707,40003,4.293
2010681,50.936988,-114.069695,40004,4.335
2010681,50.937257,-114.069698,40005,4.365
2010681,50.937556,-114.069706,40006,4.398
2010681,50.938131,-114.069751,40007,4.462
2010681,50.938474,-114.069795,40008,4.501
2010681,50.938720,-114.069834,40009,4.528
2010681,50.938933,-114.069870,40010,4.552
2010681,50.943923,-114.070877,40011,5.112
2010681,50.944529,-114.071020,40012,5.180
2010681,50.945131,-114.071199,40013,5.248
2010681,50.945728,-114.071415,40014,5.316
2010681,50.947759,-114.072218,40015,5.549
2010681,50.948011,-114.072323,40016,5.578
2010681,50.948654,-114.072600,40017,5.652
2010681,50.948907,-114.072703,40018,5.681
2010681,50.950659,-114.073396,40019,5.882
2010681,50.951348,-114.073666,40020,5.961
2010681,50.951952,-114.073885,40021,6.030
2010681,50.952137,-114.073948,40022,6.051
2010681,50.952364,-114.074020,40023,6.077
2010681,50.952561,-114.074074,40024,6.099
2010681,50.952740,-114.074126,40025,6.120
2010681,50.953295,-114.074258,40026,6.182
2010681,50.954253,-114.074454,40027,6.289
2010681,50.954253,-114.074454,50001,6.289
2010681,50.955913,-114.074796,50002,6.476
2010681,50.955988,-114.074821,50003,6.484
2010681,50.956071,-114.074856,50004,6.494
2010681,50.956225,-114.074931,50005,6.512
2010681,50.956261,-114.074928,50006,6.516
2010681,50.956435,-114.074920,50007,6.535
2010681,50.956561,-114.074929,50008,6.549
2010681,50.956828,-114.074983,50009,6.579
2010681,50.957037,-114.075031,50010,6.603
2010681,50.957248,-114.075086,50011,6.626
2010681,50.958605,-114.075468,50012,6.780
2010681,50.958842,-114.075526,50013,6.806
2010681,50.959048,-114.075572,50014,6.830
2010681,50.961568,-114.076090,50015,7.112
2010681,50.963331,-114.076450,50016,7.310
2010681,50.963500,-114.076483,50017,7.329
2010681,50.964447,-114.076681,50018,7.435
2010681,50.964447,-114.076681,60001,7.435
2010681,50.964634,-114.076719,60002,7.456
2010681,50.965833,-114.076963,60003,7.591
2010681,50.966022,-114.076998,60004,7.612
2010681,50.966302,-114.077044,60005,7.643
2010681,50.966483,-114.077069,60006,7.663
2010681,50.966751,-114.077100,60007,7.693
2010681,50.967098,-114.077130,60008,7.732
2010681,50.967404,-114.077146,60009,7.766
2010681,50.967652,-114.077152,60010,7.794
2010681,50.967990,-114.077151,60011,7.831
2010681,50.968232,-114.077143,60012,7.858
2010681,50.968707,-114.077109,60013,7.911
2010681,50.968855,-114.077093,60014,7.928
2010681,50.969152,-114.077056,60015,7.961
2010681,50.969443,-114.077011,60016,7.993
2010681,50.969726,-114.076958,60017,8.025
2010681,50.970045,-114.076889,60018,8.061
2010681,50.970323,-114.076820,60019,8.092
2010681,50.970576,-114.076752,60020,8.121
2010681,50.970887,-114.076657,60021,8.156
2010681,50.971038,-114.076607,60022,8.173
2010681,50.971471,-114.076458,60023,8.223
