shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
021R-68-North,53.457220,-113.516340,10001
021R-68-North,53.458230,-113.516350,10002
021R-68-North,53.458590,-113.516350,10003
021R-68-North,53.459400,-113.516350,10004
021R-68-North,53.459850,-113.516350,10005
021R-68-North,53.461120,-113.516360,10006
021R-68-North,53.461240,-113.516360,10007
021R-68-North,53.462040,-113.516370,10008
021R-68-North,53.462660,-113.516370,10009
021R-68-North,53.463440,-113.516350,10010
021R-68-North,53.463970,-113.516330,10011
021R-68-North,53.465120,-113.516310,10012
021R-68-North,53.465830,-113.516320,10013
021R-68-North,53.465980,-113.516320,10014
021R-68-North,53.466080,-113.516320,10015
021R-68-North,53.467240,-113.516340,10016
021R-68-North,53.472070,-113.516400,10017
021R-68-North,53.472570,-113.516400,10018
021R-68-North,53.475100,-113.516400,10019
021R-68-North,53.475700,-113.516400,10020
021R-68-North,53.475850,-113.516400,10021
021R-68-North,53.477360,-113.516410,10022
021R-68-North,53.478070,-113.516410,10023
021R-68-North,53.478400,-113.516410,10024
021R-68-North,53.479300,-113.516410,10025
021R-68-North,53.479680,-113.516410,10026
021R-68-North,53.479890,-113.516390,10027
021R-68-North,53.480170,-113.516350,10028
021R-68-North,53.480680,-113.516270,10029
021R-68-North,53.481140,-113.516210,10030
021R-68-North,53.481360,-113.516190,10031
021R-68-North,53.481720,-113.516220,10032
021R-68-North,53.482040,-113.516290,10033
021R-68-North,53.482240,-113.516340,10034
021R-68-North,53.483290,-113.516600,10035
021R-68-North,53.483810,-113.516730,10036
021R-68-North,53.484260,-113.516780,10037
021R-68-North,53.484780,-113.516800,10038
021R-68-North,53.485755,-113.516724,10039
021R-68-North,53.485360,-113.516780,20001
021R-68-North,53.486840,-113.516760,20002
021R-68-North,53.488140,-113.516760,20003
021R-68-North,53.488300,-113.516760,20004
021R-68-North,53.489570,-113.516730,20005
021R-68-North,53.490610,-113.516730,20006
021R-68-North,53.491170,-113.516730,20007
021R-68-North,53.491990,-113.516720,20008
021R-68-North,53.493060,-113.516700,20009
