trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
32997440,17:30:00,17:30:00,1513,1,Mill Woods,0,1,1
32997440,17:32:00,17:32:00,1516,2,Mill Woods,0,0,1
32997440,17:33:00,17:33:00,1519,3,Mill Woods,0,0,1
32997440,17:36:00,17:36:00,22993,4,Mill Woods,0,0,1
32997440,17:39:00,17:39:00,22990,5,Mill Woods,0,0,1
32997440,17:41:00,17:41:00,2162,6,Mill Woods,0,0,1
32997440,17:44:00,17:44:00,2716,7,Mill Woods,0,0,1
32997440,17:47:00,17:47:00,2718,8,Mill Woods,0,0,1
32997440,17:49:00,17:49:00,2877,9,Mill Woods,0,0,1
32997440,17:55:00,17:55:00,3876,10,Mill Woods,0,0,1
32997440,17:57:00,17:57:00,3607,11,Mill Woods,0,0,1
32997440,17:59:00,17:59:00,3899,12,Mill Woods,1,0,1
32997441,18:02:00,18:02:00,3900,1,Downtown,0,1,1
32997441,18:05:00,18:05:00,3606,2,Downtown,0,0,1
32997441,18:07:00,18:07:00,3875,3,Downtown,0,0,1
32997441,18:12:00,18:12:00,2687,4,Downtown,0,0,1
32997441,18:15:00,18:15:00,2717,5,Downtown,0,0,1
32997441,18:18:00,18:18:00,2715,6,Downtown,0,0,1
32997441,18:20:00,18:20:00,2006,7,Downtown,0,0,1
32997441,18:23:00,18:23:00,22991,8,Downtown,0,0,1
32997441,18:26:00,18:26:00,22992,9,Downtown,0,0,1
32997441,18:28:00,18:28:00,1518,10,Downtown,0,0,1
32997441,18:31:00,18:31:00,1515,11,Downtown,0,0,1
32997441,18:32:00,18:32:00,1514,12,Downtown,1,0,1
32772784,05:43:00,05:43:00,79772,1,Century Park,0,1,1
32772784,05:44:00,05:44:00,99442,2,Century Park,1,1,1
32772784,05:45:00,05:45:00,78302,3,Century Park,0,0,0
32772784,05:47:00,05:47:00,79172,4,Century Park,1,1,0
32772784,05:50:00,05:50:00,18892,5,Century Park,0,0,1
32772784,05:54:00,05:54:00,19812,6,Century Park,0,0,1
32772784,05:57:00,05:57:00,18762,7,Century Park,0,0,1
32772784,05:58:00,05:58:00,19352,8,Century Park,0,0,0
32772784,05:59:00,05:59:00,19852,9,Century Park,0,0,0
32772784,06:00:00,06:00:00,19262,10,Century Park,0,0,1
32772784,06:01:00,06:01:00,19252,11,Century Park,0,0,0
32772784,06:04:00,06:04:00,23162,12,Century Park,0,0,1
32772784,06:05:00,06:05:00,20142,13,Century Park,0,0,0
32772784,06:07:00,06:07:00,99812,14,Century Park,0,0,0
32772784,06:11:00,06:11:00,21152,15,Century Park,0,0,1
32772784,06:13:00,06:13:00,21132,16,Century Park,0,0,0
32772784,06:19:00,06:19:00,49822,17,Century Park,1,0,1
32772786,25:10:00,25:10:00,49821,1,Clareview,0,1,1
32772786,25:15:00,25:15:00,21131,2,Clareview,0,0,0
32772786,25:18:00,25:18:00,21151,3,Clareview,0,0,1
32772786,25:19:00,25:19:00,99811,4,Clareview,0,0,0
32772786,25:22:00,25:22:00,20141,5,Clareview,0,0,0
32772786,25:25:00,25:25:00,23161,6,Clareview,0,0,1
32772786,25:27:00,25:27:00,19251,7,Clareview,0,0,0
32772786,25:29:00,25:29:00,19261,8,Clareview,0,0,1
32772786,25:30:00,25:30:00,19851,9,Clareview,0,0,0
32772786,25:31:00,25:31:00,19351,10,Clareview,0,0,0
32772786,25:33:00,25:33:00,18761,11,Clareview,0,0,1
32772786,25:36:00,25:36:00,19811,12,Clareview,0,0,0
32772786,25:39:00,25:39:00,18891,13,Clareview,0,0,1
32772786,25:40:00,25:40:00,79171,14,Clareview,1,1,0
32772786,25:42:00,25:42:00,78301,15,Clareview,0,0,0
32772786,25:44:00,25:44:00,99441,16,Clareview,1,1,1
32772786,25:46:00,25:46:00,79771,17,Clareview,1,0,1
32772492,22:56:00,22:56:00,11164,1,Health Sciences,0,1,1
32772492,22:59:00,22:59:00,11142,2,Health Sciences,0,0,0
32772492,23:03:00,23:03:00,11172,3,Health Sciences,0,0,1
32772492,23:05:00,23:05:00,18762,4,Health Sciences,0,0,1
32772492,23:06:00,23:06:00,19352,5,Health Sciences,0,0,0
32772492,23:07:00,23:07:00,19852,6,Health Sciences,0,0,0
32772492,23:08:00,23:08:00,19262,7,Health Sciences,0,0,1
32772492,23:09:00,23:09:00,19252,8,Health Sciences,0,0,0
32772492,23:12:00,23:12:00,23162,9,Health Sciences,0,0,1
32772492,23:14:00,23:14:00,20142,10,Health Sciences,0,0,1
32772492,23:15:00,23:15:00,20191,11,Health Sciences,1,1,1
32772502,16:23:00,16:23:00,20191,1,Nait Blatchford Market,1,1,1
32772502,16:25:00,16:25:00,20141,2,Nait Blatchford Market,0,0,1
32772502,16:27:00,16:27:00,23161,3,Nait Blatchford Market,0,0,1
32772502,16:30:00,16:30:00,19251,4,Nait Blatchford Market,0,0,0
32772502,16:32:00,16:32:00,19261,5,Nait Blatchford Market,0,0,1
32772502,16:33:00,16:33:00,19851,6,Nait Blatchford Market,0,0,0
32772502,16:34:00,16:34:00,19351,7,Nait Blatchford Market,0,0,0
32772502,16:36:00,16:36:00,18761,8,Nait Blatchford Market,0,0,1
32772502,16:38:00,16:38:00,11171,9,Nait Blatchford Market,0,0,0
32772502,16:41:00,16:41:00,11141,10,Nait Blatchford Market,0,0,0
32772502,16:44:00,16:44:00,11163,11,Nait Blatchford Market,1,0,1
