stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,level_id,wheelchair_boarding,preferred,platform_code
Q7010,,Kingsway RAH Station,,53.557963,-113.501392,1EDM,,1,,,,1,
Q7002,,NAIT-Blatchford Market Station,,53.566634,-113.508774,1EDM,,1,,,,1,
Q7016,,MacEwan Station,,53.547806,-113.499219,1EDM,,1,,,,0,
Q102St,,102 St Stop,,53.543160,-113.494138,1EDM,,1,,,,0,
QCHU,,Churchill Stop,,53.543471,-113.489376,1EDM,,1,,,,1,
QQUA,,Quarters Stop,,53.544426,-113.484008,1EDM,,1,,,,0,
Q7004,,Churchill Station Underground,,53.544420,-113.489045,1EDM,,1,,,,1,
Q7006,,Coliseum Station,,53.570617,-113.458655,1EDM,,1,,,,1,
Q7008,,Government Station,,53.535885,-113.510327,1EDM,,1,,,,0,
Q7007,,Corona Station,,53.540977,-113.505358,1EDM,,1,,,,0,
Q7003,,Central Station,,53.541035,-113.491717,1EDM,,1,,,,0,
Q7014,,Stadium Station,,53.560126,-113.470460,1EDM,,1,,,,1,
Q7000,,Bay Enterprise Station,,53.540910,-113.497985,1EDM,,1,,,,0,
Q7009,,Health Sciences Jubilee Station,,53.519935,-113.525923,1EDM,,1,,,,0,
QHTT,,Heath Sciences Tail Track,,53.517216,-113.526140,1EDM,,1,,,,0,
Q7013,,Southgate Station,,53.485344,-113.516892,1EDM,,1,,,,1,
Q7012,,South Camputs Ft. Edmonton Station,,53.502940,-113.528414,1EDM,,1,,,,1,
QHOL,,Holyrood Stop,,53.528045,-113.457534,1EDM,,1,,,,0,
QSTR,,Strathearn Stop,,53.531690,-113.462462,1EDM,,1,,,,0,
QMUT,,Muttart Stop,,53.536271,-113.479931,1EDM,,1,,,,0,
Q7015,,University Station,,53.525145,-113.521555,1EDM,,1,,,,1,
QBON,,Bonnie Doon Stop,,53.519699,-113.455351,1EDM,,1,,,,1,
QAVO,,Avonmore Stop,,53.508301,-113.455149,1EDM,,1,,,,0,
QDAV,,Davies Station,,53.499621,-113.443907,1EDM,,1,,,,1,
QGRN,,Grey Nuns Stop,,53.463020,-113.434653,1EDM,,1,,,,0,
QMWO,,Millbourne/Woodvale Stop,,53.474723,-113.438979,1EDM,,1,,,,1,
QMW,,Mill Woods Stop,,53.458447,-113.429725,1EDM,,1,,,,1,
Q7018,,Century Park Station,,53.457805,-113.516303,1EDM,,1,,,,1,
Q7001,,Belvedere Station,,53.588187,-113.433239,1EDM,,1,,,,1,
Q7020,,Kathleen Andrews Platform,,53.579141,-113.447875,1EDM,,1,,,,0,
Q7005,,Clareview Station,,53.601592,-113.411819,1EDM,,1,,,,1,
Q7019,,DL Macdonald Platform,,53.595147,-113.422148,1EDM,,1,,,,0,
Q7011,,McKernan Belgravia Station,,53.513445,-113.526163,1EDM,,1,,,,0,
11141,11141,Kingsway RAH Station,,53.557963,-113.501392,1EDM,,0,Q7010,0,1,1,
11142,11142,Kingsway RAH Station,,53.557487,-113.500684,1EDM,,0,Q7010,0,1,1,
11163,11163,NAIT - Blatchford Market Station,,53.567242,-113.509451,1EDM,,0,Q7002,0,1,1,
11164,11164,NAIT - Blatchford Market Station,,53.566634,-113.508774,1EDM,,0,Q7002,0,1,1,
11171,11171,MacEwan Station,,53.547806,-113.499219,1EDM,,0,Q7016,0,1,0,
11172,11172,MacEwan Station,,53.547684,-113.498180,1EDM,,0,Q7016,0,1,0,
1513,1513,102 Street Stop,,53.543160,-113.494138,1EDM,,0,Q102St,0,1,0,
1514,1514,102 Street Stop,,53.543192,-113.495210,1EDM,,0,Q102St,0,1,0,
1515,1515,Churchill Stop,,53.543464,-113.490133,1EDM,,0,QCHU,0,1,1,
1516,1516,Churchill Stop,,53.543471,-113.489376,1EDM,,0,QCHU,0,1,1,
1518,1518,Quarters Stop,,53.544426,-113.484008,1EDM,,0,QQUA,0,1,0,
1519,1519,Quarters Stop,,53.544546,-113.482943,1EDM,,0,QQUA,0,1,0,
18761,18761,Churchill Station,,53.544420,-113.489045,1EDM,,0,Q7004,0,1,1,
18762,18762,Churchill Station,,53.543729,-113.488972,1EDM,,0,Q7004,0,1,1,
18891,18891,Coliseum Station,,53.570863,-113.458046,1EDM,,0,Q7006,0,1,1,
18892,18892,Coliseum Station,,53.570617,-113.458655,1EDM,,0,Q7006,0,1,1,
19251,19251,Government Station,,53.536573,-113.510224,1EDM,,0,Q7008,0,1,0,
19252,19252,Government Station,,53.535885,-113.510327,1EDM,,0,Q7008,0,1,0,
19261,19261,Corona Station,,53.540921,-113.504609,1EDM,,0,Q7007,0,1,0,
19262,19262,Corona Station,,53.540977,-113.505358,1EDM,,0,Q7007,0,1,0,
19351,19351,Central Station,,53.541035,-113.491717,1EDM,,0,Q7003,0,1,0,
19352,19352,Central Station,,53.540965,-113.493284,1EDM,,0,Q7003,0,1,0,
19811,19811,Stadium Station,,53.560126,-113.470460,1EDM,,0,Q7014,0,1,1,
19812,19812,Stadium Station,,53.559764,-113.471089,1EDM,,0,Q7014,0,1,1,
19851,19851,Bay Enterprise Square Station,,53.540910,-113.497985,1EDM,,0,Q7000,0,1,0,
19852,19852,Bay Enterprise Square Station,,53.540936,-113.498842,1EDM,,0,Q7000,0,1,0,
2006,2006,Holyrood Stop,,53.527466,-113.457359,1EDM,,0,QHOL,0,1,0,
20141,20141,Health Sciences Jubilee Station,,53.520388,-113.525818,1EDM,,0,Q7009,0,1,0,
20142,20142,Health Sciences Jubilee Station,,53.519935,-113.525923,1EDM,,0,Q7009,0,1,0,
20191,20191,Health Sciences Tail,,53.517216,-113.526140,1EDM,,0,QHTT,0,0,0,
21131,21131,Southgate Station,,53.486054,-113.516734,1EDM,,0,Q7013,0,1,1,
21132,21132,Southgate Station,,53.485344,-113.516892,1EDM,,0,Q7013,0,1,1,
21151,21151,South Campus Ft Edmonton Station,,53.502940,-113.528414,1EDM,,0,Q7012,0,1,1,
21152,21152,South Campus Ft Edmonton Station,,53.502283,-113.528498,1EDM,,0,Q7012,0,1,1,
2162,2162,Holyrood Stop,,53.528045,-113.457534,1EDM,,0,QHOL,0,1,0,
22990,22990,Strathearn Stop,,53.531690,-113.462462,1EDM,,0,QSTR,0,1,0,
22991,22991,Strathearn Stop,,53.531774,-113.463575,1EDM,,0,QSTR,0,1,0,
22992,22992,Muttart Stop,,53.536628,-113.479103,1EDM,,0,QMUT,0,1,0,
22993,22993,Muttart Stop,,53.536271,-113.479931,1EDM,,0,QMUT,0,1,0,
23161,23161,University Station,,53.524940,-113.522258,1EDM,,0,Q7015,0,1,1,
23162,23162,University Station,,53.525145,-113.521555,1EDM,,0,Q7015,0,1,1,
