shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
[@1.0.5502541@]11,43.422394557,-80.44259065,0,0
[@1.0.5502541@]11,43.4222198,-80.4425592,1,19.58670107557819
[@1.0.5502541@]11,43.422121,-80.44311,2,65.38133984555347
[@1.0.5502541@]11,43.422099,-80.443258,3,77.57509812655886
[@1.0.5502541@]11,43.422078,-80.443381,4,87.77395098569963
[@1.0.5502541@]11,43.4216175,-80.446084,5,311.8742232252507
[@1.0.5502541@]11,43.421157,-80.448787,6,535.9761023555099
[@1.0.5502541@]11,43.421071,-80.449219,7,572.132354574583
[@1.0.5502541@]11,43.420472,-80.4517815,8,789.4219071476008
[@1.0.5502541@]11,43.419873,-80.454344,9,1006.71344842712
[@1.0.5502541@]11,43.419836,-80.454509,10,1020.6524282256074
[@1.0.5502541@]11,43.419717,-80.454827,11,1049.527837910087
[@1.0.5502541@]11,43.419482,-80.455382,12,1101.3841111327372
[@1.0.5502541@]11,43.419435,-80.455593,13,1119.198750098622
[@1.0.5502541@]11,43.419438,-80.455675,14,1125.8255833474186
[@1.0.5502541@]11,43.419443,-80.455826,15,1138.0270913129136
[@1.0.5502541@]11,43.419645,-80.456234,16,1177.8842027462822
[@1.0.5502541@]11,43.420693,-80.457745,17,1346.5275057777671
[@1.0.5502541@]11,43.420834,-80.457963,18,1370.0898554979
[@1.0.5502541@]11,43.421061,-80.458482,19,1418.9920794867521
[@1.0.5502541@]11,43.421172,-80.458912,20,1455.8279202838241
[@1.0.5502541@]11,43.421262,-80.459301,21,1488.7818649467883
[@1.0.5502541@]11,43.421388,-80.459978,22,1545.193514121672
[@1.0.5502541@]11,43.421657,-80.461056,23,1637.199297939495
[@1.0.5502541@]11,43.42191,-80.461651,24,1692.8510554264772
[@1.0.5502541@]11,43.422144,-80.462123,25,1738.9786821228645
[@1.0.5502541@]11,43.422275,-80.462327,26,1760.9578111610713
[@1.0.5502541@]11,43.422432,-80.462534,27,1785.1155569725533
[@1.0.5502541@]11,43.4227864,-80.462958,28,1837.292792386739
[@1.0.5502541@]11,43.422825032,-80.46292583,29,1842.309903600711
[@1.0.5502541@]11,43.4227864,-80.462958,30,1847.3270148146833
[@1.0.5502541@]11,43.42313,-80.463369,31,1897.9098646472958
[@1.0.5502541@]11,43.423709,-80.463942,32,1977.152765195563
[@1.0.5502541@]11,43.424368,-80.46468,33,2071.555300586401
[@1.0.5502541@]11,43.424742,-80.465195,34,2130.3379214013034
[@1.0.5502541@]11,43.425018,-80.46546,35,2167.731655500467
[@1.0.5502541@]11,43.425295,-80.465697,36,2203.974577850435
[@1.0.5502541@]11,43.425529,-80.465857,37,2233.009642933123
[@1.0.5502541@]11,43.42575,-80.465959,38,2258.912854859195
[@1.0.5502541@]11,43.42592,-80.465999,39,2278.0793117060907
[@1.0.5502541@]11,43.426144,-80.466078,40,2303.776826481267
[@1.0.5502541@]11,43.426257,-80.466152,41,2317.682504639386
[@1.0.5502541@]11,43.426328,-80.466261,42,2329.499825910278
[@1.0.5502541@]11,43.426365,-80.466369,43,2339.138670836602
[@1.0.5502541@]11,43.426353,-80.466483,44,2348.436166733925
[@1.0.5502541@]11,43.426297,-80.466676,45,2365.2102173232015
[@1.0.5502541@]11,43.425885,-80.467858,46,2471.029790975834
[@1.0.5502541@]11,43.425832,-80.468003,47,2484.131794629427
[@1.0.5502541@]11,43.4258,-80.468143,48,2495.978029613508
[@1.0.5502541@]11,43.425811,-80.468246,49,2504.3814083428733
[@1.0.5502541@]11,43.425815,-80.468291,50,2508.0414549030834
