trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
295,24:30:00,24:30:00,6108,0,,0,0,,
295,24:34:05,24:34:25,6109,1,,0,0,,
295,24:39:35,24:39:55,6110,2,,0,0,,
295,24:43:20,24:43:40,6111,3,,0,0,,
295,24:45:30,24:45:50,6112,4,,0,0,,
295,24:47:30,24:47:50,6113,5,,0,0,,
295,24:49:45,24:50:05,6114,6,,0,0,,
295,24:52:45,24:53:05,6115,7,,0,0,,
295,24:55:25,24:55:50,6116,8,,0,0,,
295,24:57:15,24:57:45,6117,9,,0,0,,
295,25:00:10,25:00:35,6118,10,,0,0,,
295,25:02:55,25:03:15,6119,11,,0,0,,
295,25:04:40,25:05:05,6120,12,,0,0,,
295,25:06:45,25:07:05,6121,13,,0,0,,
295,25:10:30,25:10:55,6122,14,,0,0,,
295,25:14:55,25:14:55,6123,15,,0,0,,
197,23:40:00,23:40:00,6001,0,,0,0,,
197,23:44:00,23:44:35,6002,1,,0,0,,
197,23:47:30,23:47:50,6003,2,,0,0,,
197,23:49:35,23:50:00,6004,3,,0,0,,
197,23:51:25,23:51:45,6005,4,,0,0,,
197,23:54:35,23:55:00,6006,5,,0,0,,
197,23:57:20,23:57:40,6007,6,,0,0,,
197,23:59:05,23:59:30,6008,7,,0,0,,
197,24:01:40,24:02:10,6009,8,,0,0,,
197,24:04:20,24:04:40,6010,9,,0,0,,
197,24:05:50,24:06:10,6011,10,,0,0,,
197,24:07:45,24:08:05,6012,11,,0,0,,
197,24:09:50,24:10:10,6013,12,,0,0,,
197,24:13:25,24:13:45,6014,13,,0,0,,
197,24:18:10,24:18:30,6015,14,,0,0,,
197,24:23:30,24:23:30,6016,15,,0,0,,
