route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
IDFM:C01371,IDFM:Operator_100,1,1,,1,,FFBE00,000000,
IDFM:C01372,IDFM:Operator_100,2,2,,1,,0055C8,FFFFFF,
IDFM:C01373,IDFM:Operator_100,3,3,,1,,6E6E00,FFFFFF,
IDFM:C01374,IDFM:Operator_100,4,4,,1,,A0006E,FFFFFF,
IDFM:C01375,IDFM:Operator_100,5,5,,1,,FF5A00,000000,
IDFM:C01376,IDFM:Operator_100,6,6,,1,,82DC73,000000,
IDFM:C01377,IDFM:Operator_100,7,7,,1,,FF82B4,000000,
IDFM:C01378,IDFM:Operator_100,8,8,,1,,D282BE,000000,
IDFM:C01379,IDFM:Operator_100,9,9,,1,,D2D200,000000,
IDFM:C01380,IDFM:Operator_100,10,10,,1,,DC9600,000000,
IDFM:C01381,IDFM:Operator_100,11,11,,1,,6E491E,FFFFFF,
IDFM:C01382,IDFM:Operator_100,12,12,,1,,00643C,FFFFFF,
IDFM:C01383,IDFM:Operator_100,13,13,,1,,82C8E6,000000,
IDFM:C01384,IDFM:Operator_100,14,14,,1,,640082,FFFFFF,
IDFM:C01386,IDFM:Operator_100,3B,3B,,1,,82C8E6,000000,
IDFM:C01387,IDFM:Operator_100,7B,7B,,1,,82DC73,000000,
IDFM:C01727,IDFM:71,C,C,,2,,FFCC30,000000,
IDFM:C01728,IDFM:71,D,D,,2,,008B5B,FFFFFF,
IDFM:C01729,IDFM:71,E,E,,2,,B94E9A,FFFFFF,
IDFM:C01742,IDFM:71,A,A,,2,,EB2132,FFFFFF,
IDFM:C01743,IDFM:71,B,B,,2,,5091CB,FFFFFF,
