route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C01371,IDFM:100002,IDFM:RATP:COU_RATP_01DIADELAIDE_2026_LaDe01Vinc11-11,Château de Vincennes,RATP,0,,IDFM:shp_1_115,2,0
IDFM:C01371,IDFM:100002,IDFM:RATP:COU_RATP_01DIADELAIDE_2026_LaDe01Vinc11-12,La Défense,RATP,1,,IDFM:shp_1_50,2,0
IDFM:C01372,IDFM:100005,IDFM:RATP:COU_RATP_02DICROCUS_2026_Daup01Daup04-10,Nation,RATP,0,,IDFM:shp_1_185,2,0
IDFM:C01372,IDFM:100005,IDFM:RATP:COU_RATP_02DICROCUS_2026_Daup01Daup04-11,Porte Dauphine,RATP,1,,IDFM:shp_1_156,2,0
IDFM:C01372,IDFM:49005,IDFM:RATP:COU_RATP_02DICROCUS_2026_Daup01Daup04-2,Nation,RATP,0,,IDFM:shp_1_162,2,0
IDFM:C01372,IDFM:358336,IDFM:RATP:COU_RATP_02VEPLUMERIA1_2026_Nat201Nat218-20,Porte Dauphine,RATP,1,,IDFM:shp_1_159,2,0
IDFM:C01372,IDFM:358336,IDFM:RATP:COU_RATP_02VEPLUMERIA1_2026_Nat206Nat233-24,Nation,RATP,0,,IDFM:shp_1_192,2,0
IDFM:C01373,IDFM:34374,IDFM:RATP:COU_RATP_03DILAUTREC1_2026_Cham01Gall05-10,Pont de Levallois - Bécon,RATP,1,,IDFM:shp_1_75,2,0
IDFM:C01373,IDFM:100005,IDFM:RATP:COU_RATP_03DILAUTREC1_2026_Cham01Gall05-11,Gallieni,RATP,0,,IDFM:shp_1_168,2,0
IDFM:C01374,IDFM:100257,IDFM:RATP:COU_RATP_04DIDANXIA3_2026_Bagl01Clig17-29,Bagneux - Lucie Aubrac,RATP,1,,IDFM:shp_1_183,2,0
IDFM:C01374,IDFM:100005,IDFM:RATP:COU_RATP_04DIDANXIA3_2026_Bagl01Clig17-4,Porte de Clignancourt,RATP,0,,IDFM:shp_1_7,2,0
IDFM:C01374,IDFM:100005,IDFM:RATP:COU_RATP_04DIDANXIA3_2026_Clig01Bagl08-2,Bagneux - Lucie Aubrac,RATP,1,,IDFM:shp_1_68,2,0
IDFM:C01375,IDFM:100045,IDFM:RATP:COU_RATP_05DIAMBRE_2026_Bobi01Bobi11-1,Place d'Italie,RATP,1,,IDFM:shp_1_28,2,0
IDFM:C01375,IDFM:34374,IDFM:RATP:COU_RATP_05DIAMBRE_2026_Bobi01Bobi11-10,Bobigny - Pablo Picasso,RATP,0,,IDFM:shp_1_167,2,0
IDFM:C01376,IDFM:34374,IDFM:RATP:COU_RATP_06DIBELANGER_2026_Kleb01Kleb05-10,Nation,RATP,0,,IDFM:shp_1_44,2,0
IDFM:C01376,IDFM:34374,IDFM:RATP:COU_RATP_06DIBELANGER_2026_Kleb01Kleb05-11,Charles de Gaulle - Étoile,RATP,1,,IDFM:shp_1_160,2,0
IDFM:C01377,IDFM:1,IDFM:RATP:COU_RATP_07DIROITELET_2026_Arag01Vill03-1,La Courneuve - 8 Mai 1945,RATP,0,,IDFM:shp_1_267,2,0
IDFM:C01377,IDFM:358251,IDFM:RATP:COU_RATP_07DIROITELET_2026_Arag01Vill03-10,Villejuif - Louis Aragon,RATP,1,,IDFM:shp_1_112,2,0
IDFM:C01377,IDFM:202652,IDFM:RATP:COU_RATP_07DIROITELET_2026_Arag01Vill03-16,Mairie d'Ivry,RATP,1,,IDFM:shp_1_117,2,0
IDFM:C01377,IDFM:100005,IDFM:RATP:COU_RATP_07DIROITELET_2026_Arag01Vill03-17,La Courneuve - 8 Mai 1945,RATP,0,,IDFM:shp_1_144,2,0
