stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1003,Pont Supérieur,PONT SUPÉRIEUR 59160 LOMME,50.64468,3.013817,1,,1,,,0
1004,Maison Des Enfants,MAISON DES ENFANTS 59160 LOMME,50.646333,2.994949,1,,1,,,0
1034,Bourg,LOMME BOURG 59160 LOMME,50.64563,2.985403,1,,1,,,0
1036,Mitterie,LA MITTERIE 59160 LOMME,50.646857,3.007639,1,,1,,,0
1208,Mons Sarts,MONS SARTS 59370 MONS EN BAROEUL,50.642155,3.099298,1,,1,,,0
1222,Fort De Mons,FORT DE MONS 59370 MONS EN BAROEUL,50.642189,3.119627,1,,1,,,0
1231,Mairie De Mons,MAIRIE DE MONS (AVENUE ROBERT SCHUMAN) 59370 MONS EN BAROEUL,50.642119,3.110922,1,,1,,,0
1453,Roubaix Charles De Gaulle,ROUBAIX CHARLES DE GAULLE  59100 ROUBAIX,50.686806,3.169236,1,,1,,,0
1508,Eurotéléport,EUROTÉLÉPORT 59100 ROUBAIX,50.691563,3.180598,1,,1,,,0
1719,Bourgogne,BOURGOGNE 59200 TOURCOING,50.739549,3.179473,1,,1,,,0
1736,C.H. Dron,C.H. DRON 59200 TOURCOING,50.743757,3.180505,1,,1,,,0
1805,Mercure,MERCURE 59200 TOURCOING,50.705145,3.160361,1,,1,,,0
1818,Phalempins,PHALEMPINS 59200 TOURCOING,50.731842,3.158399,1,,1,,,0
1822,Gare De Tourcoing,GARE DE TOURCOING 59200 TOURCOING,50.71662,3.162584,1,,1,,,0
1903,Triolo,TRIOLO 59650 VILLENEUVE D ASCQ,50.616294,3.14164,1,,1,,,0
1942,V. D'Ascq Hotel De Ville,V. D'ASCQ HOTEL DE VILLE 59650 VILLENEUVE D ASCQ,50.61909,3.130941,1,,1,,,0
1968,Les Prés Edgard Pisani,LES PRES 59650 VILLENEUVE D ASCQ,50.650093,3.126565,1,,1,,,0
1971,Pont De Bois,PONT DE BOIS,50.624787,3.128126,1,,1,,,0
2044,Wasquehal Hôtel De Ville,WASQUEHAL HOTEL DE VILLE 59290 WASQUEHAL,50.670188,3.131809,1,,1,,,0
2071,Wasquehal Pavé De Lille,WASQUEHAL PAVE DE LILLE 59290 WASQUEHAL,50.663999,3.130384,1,,1,,,0
302,Croix Centre,CROIX CENTRE 59170 CROIX,50.674374,3.146203,1,,1,,,0
4703,4 Cantons Stade P. Mauroy,4 CANTONS STADE PIERRE MAUROY  STATION DE MÉTRO M1,50.605423,3.13866,1,,1,,,0
488,Marbrerie,MARBRERIE 59000 LILLE,50.630315,3.097637,1,,1,,,0
492,Square Flandres,SQUARE FLANDRES 59000 LILLE,50.625204,3.116047,1,,1,,,0
494,Mairie D'Hellemmes,HELLEMMES 59260 HELLEMMES LILLE,50.627203,3.109111,1,,1,,,0
4CA098,4 Cantons Stade P. Mauroy,SOUS LA VOUTE 59650 VILLENEUVE D ASCQ - AU DROIT DE LA STATION METRO,50.605423,3.13866,1,,0,4703,,1
4CA099,4 Cantons Stade P. Mauroy,AVENUE PAUL LANGEVIN 59650 VILLENEUVE D ASCQ - AU DROIT DE VELOPOLE,50.605423,3.13866,1,,0,4703,,1
5456,Gambetta,GAMBETTA STATION DU MÉTRO M1,50.626278,3.054296,1,,1,,,0
5457,Wazemmes,WAZEMMES STATION DU MÉTRO M1,50.622907,3.052386,1,,1,,,0
6415,Cité Scientifique,CITÉ SCIENTIFIQUE PR. GABILLARD STATION DU MÉTRO M1,50.611992,3.14236,1,,1,,,0
6587,Gare Jean Lebas Roubaix,ROUBAIX GARE JEAN LEBAS 59100 ROUBAIX,50.695739,3.16399,1,,1,,,0
6666,Tourcoing Centre,TOURCOING CENTRE 59200 TOURCOING,50.720703,3.159657,1,,1,,,0
6699,Jean Jaurès,V. D'ASCQ JEAN JAURES 59650 VILLENEUVE D ASCQ,50.658668,3.135083,1,,1,,,0
6841,Lille Grand Palais,LILLE GRAND PALAIS STATION DU MÉTRO M2,50.629899,3.075996,1,,1,,,0
7017,Mairie De Croix,MAIRIE DE CROIX 59170 CROIX,50.679588,3.156608,1,,1,,,0
7028,Porte Des Postes,PORTE DES POSTES,50.618427,3.049868,1,,1,,,0
7214,Chu - Centre O. Lambret,CHU - CENTRE O. LAMBRET,50.613168,3.036216,1,,1,,,0
747,Square Flandres,SQUARE FLANDRES 59000 LILLE,50.625277,3.115935,1,,1,,,0
