stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,tpis_name
80101,80101,Downtown Long Beach Station,,33.768071,-118.192921,,0,80101S,Long Bch
80101S,80101S,Downtown Long Beach Station,,33.768071,-118.192921,,1,,
80102,80102,Pacific Ave Station,,33.772258,-118.1937,,0,80102S,Pacific
80102S,80102S,Pacific Ave Station,,33.772258,-118.1937,,1,,
80105,80105,Anaheim Street Station,,33.78183,-118.189384,,0,80105S,Anaheim
80105S,80105S,Anaheim Street Station,,33.78183,-118.189384,,1,,
80106,80106,Pacific Coast Hwy Station,,33.78909,-118.189382,,0,80106S,PCH
80106S,80106S,Pacific Coast Hwy Station,,33.78909,-118.189382,,1,,
80107,80107,Willow Street Station,,33.807079,-118.189834,,0,80107S,Willow
80107S,80107S,Willow Street Station,,33.807079,-118.189834,,1,,
80108,80108,Wardlow Station,,33.819865,-118.19609,,0,80108S,Wardlow
80108S,80108S,Wardlow Station,,33.819865,-118.19609,,1,,
80109,80109,Del Amo Station,,33.848222,-118.211017,,0,80109S,Del Amo
80109S,80109S,Del Amo Station,,33.848222,-118.211017,,1,,
80110,80110,Artesia Station,,33.876082,-118.222503,,0,80110S,Artesia
80110S,80110S,Artesia Station,,33.876082,-118.222503,,1,,
80111,80111,Compton Station,,33.89749,-118.224249,,0,80111S,Compton
80111S,80111S,Compton Station,,33.89749,-118.224249,,1,,
80112,80112,Willowbrook - Rosa Parks Station - Metro A-Line,,33.928048,-118.237555,,0,80112S,Willwbrk
80112S,80112S,Willowbrook - Rosa Parks Station,,33.928048,-118.237555,,1,,
80113,80113,103rd Street / Watts Towers  Station,,33.94222,-118.243159,,0,80113S,103rd
80113S,80113S,103rd Street / Watts Towers Station,,33.94222,-118.243159,,1,,
80114,80114,Firestone Station,,33.959611,-118.243205,,0,80114S,Firestne
80114S,80114S,Firestone Station,,33.959611,-118.243205,,1,,
80115,80115,Florence Station,,33.97374,-118.243271,,0,80115S,Florence
80115S,80115S,Florence Station,,33.97374,-118.243271,,1,,
80116,80116,Slauson Station,,33.98876,-118.243398,,0,80116S,Slauson
80116S,80116S,Slauson Station,,33.98876,-118.243398,,1,,
