trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
11746776, 6:00:00, 6:00:00,908516,1,,0,0,,1
11746776, 6:02:00, 6:02:00,908709,2,,0,0,2.1413,1
11746776, 6:05:00, 6:05:00,908691,3,,0,0,5.5526,1
11746776, 6:09:00, 6:09:00,908475,4,,0,0,6.8032,1
11746776, 6:12:00, 6:12:00,908567,5,,0,0,9.1837,1
11746776, 6:15:00, 6:15:00,908476,6,,0,0,12.1129,1
11746776, 6:17:00, 6:17:00,908692,7,,0,0,13.5014,1
11746776, 6:20:00, 6:20:00,908693,8,,0,0,15.9575,1
11746776, 6:22:00, 6:22:00,908618,9,,0,0,16.9935,1
11746776, 6:23:00, 6:23:00,908990,10,,0,0,17.7667,1
11746776, 6:24:00, 6:24:00,908694,11,,0,0,18.3583,1
11746776, 6:25:00, 6:25:00,908959,12,,0,0,18.9919,1
11746776, 6:26:00, 6:26:00,908964,13,,0,0,20.2326,1
11746776, 6:29:00, 6:29:00,907906,14,,0,0,22.9996,1
11746776, 6:32:00, 6:32:00,907907,15,,0,0,25.4130,1
11747909,25:00:00,25:00:00,908695,1,,0,0,,1
11747909,25:02:00,25:02:00,908599,2,,0,0,1.2050,1
11747909,25:05:00,25:05:00,908628,3,,0,0,4.4185,1
11747909,25:07:00,25:07:00,908629,4,,0,0,7.6600,1
11747909,25:10:00,25:10:00,908301,5,,0,0,9.5988,1
11747909,25:12:00,25:12:00,908704,6,,0,0,12.2633,1
11747909,25:15:00,25:15:00,908600,7,,0,0,14.8687,1
11747909,25:17:00,25:17:00,908986,8,,0,0,15.5615,1
11747909,25:19:00,25:19:00,908601,9,,0,0,16.2250,1
11747909,25:20:00,25:20:00,908912,10,,0,0,17.1269,1
11747909,25:21:00,25:21:00,907914,11,,0,0,17.7499,1
11747909,25:23:00,25:23:00,908375,12,,0,0,18.8515,1
11747909,25:24:00,25:24:00,906369,13,,0,0,19.7973,1
11747909,25:29:00,25:29:00,908055,14,,0,0,24.4904,1
11747909,25:33:00,25:33:00,906827,15,,0,0,27.6602,1
11747909,25:36:00,25:36:00,908186,16,,0,0,30.4332,1
11747909,25:40:00,25:40:00,908603,17,,0,0,35.3154,1
11747909,25:44:00,25:44:00,908845,18,,0,0,38.6418,1
11750299,20:48:00,20:48:00,908480,1,,0,0,,1
11750299,20:50:00,20:50:00,907846,2,,0,0,1.9838,1
11750299,20:52:00,20:52:00,908051,3,,0,0,3.5442,1
11750299,20:54:00,20:54:00,908872,4,,0,0,5.2393,1
11750299,21:00:00,21:00:00,908718,5,,0,0,13.2950,1
11750299,21:04:00,21:04:00,907823,6,,0,0,17.0308,1
11750299,21:08:00,21:08:00,906370,7,,0,0,21.7770,1
11750299,21:09:00,21:09:00,908374,8,,0,0,22.6449,1
11750299,21:11:00,21:11:00,907913,9,,0,0,23.7666,1
11750299,21:13:00,21:13:00,908911,10,,0,0,24.3708,1
11750299,21:14:00,21:14:00,907842,11,,0,0,25.2736,1
11750299,21:16:00,21:16:00,908976,12,,0,0,25.9552,1
11750299,21:18:00,21:18:00,907843,13,,0,0,26.6580,1
11750299,21:21:00,21:21:00,908705,14,,0,0,29.3075,1
11750299,21:23:00,21:23:00,908302,15,,0,0,31.9015,1
11750299,21:25:00,21:25:00,908706,16,,0,0,33.8391,1
11750299,21:28:00,21:28:00,908707,17,,0,0,37.0840,1
11750299,21:31:00,21:31:00,907844,18,,0,0,40.2699,1
11750299,21:34:00,21:34:00,906837,19,,0,0,41.5972,1
11749415, 5:05:00, 5:05:00,908476,1,,0,0,,1
11749415, 5:07:00, 5:07:00,908692,2,,0,0,1.6187,1
11749415, 5:10:00, 5:10:00,908693,3,,0,0,3.9104,1
11749415, 5:12:00, 5:12:00,908618,4,,0,0,4.9464,1
11749415, 5:13:00, 5:13:00,908990,5,,0,0,5.7197,1
11749415, 5:14:00, 5:14:00,908694,6,,0,0,6.3113,1
11749415, 5:15:00, 5:15:00,908959,7,,0,0,6.9449,1
11749415, 5:16:00, 5:16:00,908964,8,,0,0,8.1848,1
11749415, 5:20:00, 5:20:00,907961,9,,0,0,10.7781,1
