stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
907906,907906,WEST LAKE STATION,80 ANDERSON AVE NW & CSX TRANSPORTATION,33.753247,-84.445568,,,,510034,,1
907907,907907,HAMILTON E HOLMES STATION,70 HAMILTON E HOLMES DR NW & CSX TRANSPORTATION,33.754517,-84.469824,,,,510017,,1
908051,908051,DUNWOODY STATION,1200 HAMMOND DR NE & UNNAMED ST,33.920862,-84.344213,,,,510011,,1
908055,908055,LINDBERGH CENTER STATION,2424 PIEDMONT RD NE & METRO ATLANTA RAPID TRANSIT ATHRTY,33.823492,-84.369324,,,,510024,,1
908186,908186,BROOKHAVEN-OGLETHORPE STATION,4067 PEACHTREE RD NE & LENOX RD NE,33.860329,-84.339245,,,,510005,,1
906369,906369,ARTS CENTER STATION,1255 W PEACHTREE ST NW & 16TH ST NW,33.789669,-84.387414,,,,510001,,1
906370,906370,ARTS CENTER STATION,1255 W PEACHTREE ST NW & 15TH ST NE,33.788828,-84.387272,,,,510001,,1
908374,908374,MIDTOWN STATION,41 10TH ST NE & PEACHTREE WALK NE,33.781247,-84.386342,0,,,510026,,1
908375,908375,MIDTOWN STATION,41 10TH ST NE & PEACHTREE WALK NE,33.781355,-84.386353,,,,510026,,1
908567,908567,EAST LAKE STATION,2260 W HOWARD AVE & UNNAMED ST,33.765196,-84.313426,,,,510012,,1
908475,908475,DECATUR STATION,400 CHURCH ST & E PONCE DE LEON AVE,33.774699,-84.295417,,,,510009,,1
908476,908476,EDGEWOOD-CANDLER PARK STATION,1475 DEKALB AVE NE & HURT ST NE,33.761803,-84.340825,0,,,510014,,1
908618,908618,GEORGIA STATE STATION,170 PIEDMONT AVE SE & GEORGIA,33.750161,-84.385915,,,,510016,,1
908628,908628,EAST POINT STATION,2848 MAIN ST & THOMPSON AVE,33.677424,-84.440542,,,,510013,,1
908629,908629,LAKEWOOD-FT MCPHERSON STATION,2020 LEE ST SW & THOMPSON AVE,33.70088,-84.428768,,,,510022,,1
908704,908704,WEST END STATION,680 LEE ST SW & UNNAMED ST,33.736564,-84.413653,,,,510033,,1
908705,908705,WEST END STATION,680 LEE ST SW & UNNAMED ST,33.735705,-84.413663,,,,510033,,1
908706,908706,LAKEWOOD-FT MCPHERSON STATION,2020 LEE ST SW & MAIN ST,33.700298,-84.428865,,,,510022,,1
908707,908707,EAST POINT STATION,2848 MAIN ST & THOMPSON AVE,33.676985,-84.440704,,,,510013,,1
908709,908709,KENSINGTON STATION,3350 KENSINGTON RD & UNNAMED ST,33.772764,-84.252151,,,,510020,,1
908718,908718,BUCKHEAD STATION,3360 PEACHTREE RD NE & GA-400-TOLL,33.84781,-84.367629,,,,510036,,1
906827,906827,LENOX STATION,955 E PACES FERRY RD NE & LENOX RD NE,33.845388,-84.358235,,,,510023,,1
907961,907961,BANKHEAD STATION,1335 DONALD LEE HOLLOWELL PKY NW & UNNAMED ST,33.772436,-84.428906,,,,510004,,1
907913,907913,NORTH AVENUE STATION,713 W PEACHTREE ST NW & NORTH AVE NE,33.771472,-84.387258,,,,510027,,1
907914,907914,NORTH AVENUE STATION,713 W PEACHTREE ST NW & UNNAMED ST,33.771741,-84.387204,,,,510027,,1
908845,908845,DORAVILLE STATION,6000 NEW PEACHTREE RD & LENOX RD NE,33.902787,-84.28061,,,,510010,,1
908872,908872,MEDICAL CENTER STATION,5711 PEACHTREE DUNWOODY RD NE & HOLLIS COBB CIR,33.910757,-84.35189,,,,510025,,1
908911,908911,CIVIC CENTER STATION,435 W PEACHTREE ST NW & I-75,33.766111,-84.387504,,,,510007,,1
908912,908912,CIVIC CENTER STATION,435 W PEACHTREE ST NW & I-75,33.766236,-84.387504,,,,510007,,1
908959,908959,VINE CITY STATION,502 RHODES ST NW & ELECTRIC AVE NW,33.756613,-84.404021,,,,510032,,1
908964,908964,ASHBY STATION,65 JOSEPH E LOWERY BLVD NW & UNNAMED ST,33.756477,-84.417328,,,,510002,,1
