shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
omjh,39.4083996,-76.7829216,1,0
omjh,39.4082504,-76.7824817,2,1.100421
omjh,39.4080556,-76.7818916,3,1.2507
omjh,39.4078566,-76.7813283,4,1.313104
omjh,39.4076494,-76.7807382,5,1.333104
omjh,39.4073592,-76.7799014,6,1.40897
omjh,39.407161,-76.779415,7,1.50897
omjh,39.40655,-76.77739,8,1.765489
omjh,39.406107,-76.775496,9,1.865489
omjh,39.406,-76.77485,10,1.95433
omjh,39.40587,-76.77403,11,2.05433
omjh,39.405747,-76.773348,12,2.15433
omjh,39.40484,-76.769625,13,2.289724
omjh,39.403204,-76.766771,14,2.595048
omjh,39.400981,-76.764713,15,2.89897
omjh,39.398378,-76.763587,16,3.204153
omjh,39.395676,-76.76328,17,3.505758
omjh,39.392935,-76.763227,18,3.810577
omjh,39.389887,-76.762137,19,4.162205
omjh,39.38828,-76.760472,20,4.391124
omjh,39.386034,-76.757847,21,4.727671
omjh,39.384076,-76.755912,22,5.001637
omjh,39.381424,-76.754198,23,5.331273
omjh,39.379002,-76.753285,24,5.611786
omjh,39.376316,-76.752046,25,5.928874
omjh,39.373881,-76.74915,26,6.296671
omjh,39.3734,-76.74833,27,6.362811
omjh,39.37301,-76.74833,28,6.462811
omjh,39.37254,-76.74659,30,6.562811
omjh,39.372073,-76.74559,31,6.662811
omjh,39.371586,-76.744827,32,6.747864
omjh,39.370919,-76.7435,33,6.883924
omjh,39.369884,-76.741163,34,7.115444
omjh,39.369401,-76.738174,35,7.377936
omjh,39.369338,-76.735271,36,7.627581
omjh,39.369243,-76.731915,37,7.916262
omjh,39.368645,-76.729193,38,8.159516
omjh,39.365627,-76.7247,39,8.671178
omjh,39.363809,-76.722401,40,8.953891
omjh,39.362284,-76.721306,41,9.14784100001
omjh,39.36103,-76.7209,42,9.29158200001
omjh,39.36069,-76.72086,43,9.31189200001
omjh,39.3605,-76.72081,44,9.35189200001
omjh,39.360239,-76.720787,45,9.380398
omjh,39.35875,-76.72041,46,9.480398
omjh,39.357917,-76.720055,47,9.646152
omjh,39.355906,-76.716985,48,9.992089
omjh,39.354491,-76.712036,49,10.44575800001
omjh,39.354086,-76.710723,50,10.567301
omjh,39.35345,-76.708383,51,10.780564
omjh,39.353224,-76.707822,52,10.83495300001
omjh,39.352781,-76.706367,54,10.96940500001
omjh,39.352283,-76.705383,55,11.07052200001
omjh,39.351563,-76.704079,56,11.20829400001
omjh,39.35146,-76.70384,57,11.22829400001
omjh,39.351378,-76.703553,58,11.25798000001
omjh,39.35131,-76.70348,59,11.26798000001
omjh,39.351218,-76.703396,60,11.28031300001
omjh,39.35053,-76.7022,61,11.48031300001
omjh,39.349848,-76.701019,62,11.53522500001
omjh,39.348165,-76.697997,63,11.85545100001
omjh,39.347107,-76.695988,64,12.06445600001
omjh,39.34702,-76.69582,65,12.07445600001
omjh,39.34693,-76.69563,66,12.08445600001
omjh,39.346832,-76.695395,67,12.12391400001
omjh,39.346473,-76.694935,68,12.18011100001
omjh,39.3464,-76.6946,69,12.19011100001
omjh,39.346287,-76.694604,70,12.21529500001
omjh,39.34608,-76.69413,71,12.26529500001
omjh,39.345884,-76.693679,72,12.30659100001
