trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
weekday_10,12:15:00,12:15:00,7500,1,,,,,1
weekday_10,12:19:00,12:19:10,10906,2,,,,5.549,1
weekday_10,12:22:00,12:22:10,11422,3,,,,8.2214,1
weekday_10,12:24:00,12:24:10,4819,4,,,,9.9129,1
weekday_10,12:26:00,12:26:10,10419,5,,,,11.2221,1
weekday_10,12:28:00,12:28:10,5585,6,,,,13.2369,1
weekday_10,12:31:00,12:31:10,7503,7,,,,16.0684,1
weekday_10,12:33:00,12:33:10,7504,8,,,,17.3523,1
weekday_10,12:35:00,12:35:10,7505,9,,,,18.3839,1
weekday_10,12:37:00,12:37:10,7506,10,,,,19.894,1
weekday_10,12:38:00,12:38:10,7507,11,,,,20.8571,1
weekday_10,12:40:00,12:40:10,7508,12,,,,21.7415,1
weekday_10,12:42:00,12:42:10,7509,13,,,,22.4774,1
weekday_10,12:44:00,12:44:00,7510,14,,,,23.9267,1
weekday_100,06:05:00,06:05:00,7510,1,,,,,1
weekday_100,06:07:00,06:07:10,7511,2,,,,1.8227,1
weekday_100,06:09:00,06:09:10,7512,3,,,,2.5514,1
weekday_100,06:10:00,06:10:10,7513,4,,,,3.4923,1
weekday_100,06:12:00,06:12:10,7514,5,,,,4.595,1
weekday_100,06:14:00,06:14:10,7515,6,,,,5.8821,1
weekday_100,06:15:00,06:15:10,7516,7,,,,6.8003,1
weekday_100,06:17:00,06:17:10,7517,8,,,,8.0172,1
weekday_100,06:20:00,06:20:10,5584,9,,,,11.0705,1
weekday_100,06:22:00,06:22:10,10420,10,,,,13.0163,1
weekday_100,06:24:00,06:24:10,7519,11,,,,14.3758,1
weekday_100,06:26:00,06:26:10,7520,12,,,,16.0744,1
weekday_100,06:29:00,06:29:10,7522,13,,,,18.7925,1
weekday_100,06:34:00,06:34:00,7500,14,,,,24.1903,1
weekday_133,04:54:00,04:54:00,4819,1,,,,,1
weekday_133,04:56:00,04:56:10,10419,2,,,,1.3018,1
weekday_133,04:58:00,04:58:10,5585,3,,,,3.3166,1
weekday_133,05:01:00,05:01:10,7503,4,,,,6.1481,1
weekday_133,05:03:00,05:03:10,7504,5,,,,7.432,1
weekday_133,05:05:00,05:05:10,7505,6,,,,8.4636,1
weekday_133,05:07:00,05:07:10,7506,7,,,,9.9737,1
weekday_133,05:08:00,05:08:10,7507,8,,,,10.9368,1
weekday_133,05:10:00,05:10:10,7508,9,,,,11.8212,1
weekday_133,05:12:00,05:12:10,7509,10,,,,12.5571,1
weekday_133,05:14:00,05:14:00,7510,11,,,,14.0704,1
