stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id
7500,7500,OWINGS MILLS STATION (METRO),,39.40737188,-76.77988509,,,0,s0001,,0,L0
7522,7522,OLD COURT STATION (METRO) nb,,39.371586,-76.744827,,,0,s0002,,0,L0
10906,10906,OLD COURT STATION (METRO) sb,,39.370976,-76.743454,,,0,s0002,,0,L0
7520,7520,MILFORD MILL STATION (METRO) nb,,39.360239,-76.720787,,,0,s0003,,0,L1
11422,11422,MILFORD MILL STATION (METRO) sb,,39.359036,-76.720413,,,0,s0003,,0,L1
7519,7519,REISTERSTOWN PLAZA STATION (METRO) nb,,39.352283,-76.705383,,,0,s0004,,0,L2
4819,4819,REISTERSTOWN PLAZA STATION (METRO) sb,,39.351609,-76.704034,,,0,s0004,,0,L2
10420,10420,ROGERS AVE STATION (METRO) nb,,39.345171,-76.692547,,,0,s0005,,0,L2
10419,10419,ROGERS AVE STATION (METRO) sb,,39.344504,-76.691204,,,0,s0005,,0,L2
5584,5584,WEST COLD SPRING STATION (METRO),,39.336675,-76.673012,,,0,s0006,,0,L2
5585,5585,WEST COLD SPRING STATION (METRO),,39.335899,-76.671734,,,0,s0006,,0,L2
7517,7517,MONDAWMIN STATION (METRO) nb,,39.318323,-76.653595,,,0,s0007,,0,L4
7503,7503,MONDAWMIN STATION (METRO) sb,,39.318333,-76.653735,,,0,s0007,,0,L4
7516,7516,PENN NORTH STATION (METRO) nb,,39.310792,-76.643398,,,0,s0008,,0,L5
7504,7504,PENN NORTH STATION (METRO) sb,,39.309921,-76.642229,,,0,s0008,,0,L5
7515,7515,UPTON STATION (METRO) nb,,39.304754,-76.636118,,,0,s0009,,0,L4
7505,7505,UPTON STATION (METRO) sb,,39.304106,-76.634812,,,0,s0009,,0,L4
7514,7514,STATE CENTER (METRO) nb,,39.301157,-76.622734,,,0,s0010,,0,L4
7506,7506,STATE CENTER (METRO) sb,,39.300234,-76.621616,,,0,s0010,,0,L4
7513,7513,LEXINGTON MARKET (METRO) nb,,39.292228,-76.621099,,,0,s0011,,0,L5
7507,7507,LEXINGTON MARKET (METRO) sb,,39.290968,-76.620923,,,0,s0011,,0,L5
7512,7512,CHARLES CENTER (METRO) nb,,39.289456,-76.61476,,,0,s0012,,0,L5
7508,7508,CHARLES CENTER (METRO) sb,,39.289603,-76.613089,,,0,s0012,,0,L5
7509,7509,SHOT TOWER STATION (METRO) sb,,39.290029,-76.604697,,,0,s0013,,0,L4
7511,7511,SHOT TOWER STATION (METRO) nb,,39.289808,-76.60631,,,0,s0013,,0,L4
7510,7510,JOHNS HOPKINS STATION (METRO),,39.296583, -76.594166,,,0,s0014,,0,L5
s0001,s0001,OWINGS MILLS METRO,Station,39.4073509,-76.779895,,,1,,,1,L0
s0002,s0002,OLD COURT METRO,Station,39.3712687,-76.7441504,,,1,,,1,L1
s0003,s0003,MILFORD MILL METRO,Station,39.3596928,-76.7206052,,,1,,,1,L0
s0004,s0004,REISTERSTOWN PLAZA METRO,Station,39.3519903,-76.7047713,,,1,,,1,L1
s0005,s0005,ROGERS AVE METRO,Station,39.344845,-76.6919396,,,1,,,1,L1
s0006,s0006,WEST COLD SPRING METRO,Station,39.3363104,-76.6724589,,,1,,,1,L1
s0007,s0007,MONDAWMIN METRO,Station,39.3179565,-76.6528647,,,1,,,1,L3
s0008,s0008,PENN NORTH METRO,Station,39.3102007,-76.6424841,,,1,,,1,L3
s0009,s0009,UPTON METRO,Station,39.3043190313413,-76.6355717225485,,,1,,,1,L3
s0010,s0010,STATE CENTER METRO,Station,39.301515,-76.623166,,,1,,,1,L3
s0011,s0011,LEXINGTON MARKET METRO,Station,39.29173,-76.620914,,,1,,,1,L3
s0012,s0012,CHARLES CENTER METRO,Station,39.289452,-76.616275,,,1,,,0,L4
s0013,s0013,SHOT TOWER METRO,Station,39.289915,-76.605583,,,1,,,1,L3
s0014,s0014,JOHNS HOPKINS METRO,Station,39.2969481790348,-76.5941707980649,,,1,,,1,L4
