stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
9487,PALRAILN,PALMETTO STATION RAIL NORTHBOUND,,25.843437,-80.323786,,,,,,2
9489,OKERAILN,OKEECHOBEE STATION RAIL NORTHBOUND,,25.839899,-80.301547,,,,,,2
9491,HIARAILN,HIALEAH STATION RAIL NORTHBOUND,,25.841233,-80.278995,,,,,,2
9493,TRIRAILN,TRI-RAIL STATION RAIL NORTHBOUND,,25.845523,-80.2596,,,,,,2
9495,NSDRAILN,NORTHSIDE STATION RAIL NORTHBOUND,,25.845858,-80.248831,,,,,,2
9497,MLKRAILN,M.L. KING STATION RAIL NORTHBOUND,,25.832422,-80.241132,,,,,,2
9499,BVLRAILN,BROWNSVILLE STATION RAIL NORTHBOUND,,25.822059,-80.240695,,,,,,2
9501,EHTRAILN,EARLINGTON HTS.STAT.RAIL NORTHBOUND,,25.812525,-80.229946,,,,,,2
9503,ALPRAILN,ALLAPATTAH STATION RAIL NORTHBOUND,,25.808718,-80.215426,,,,,,2
9505,SCLRAILN,SANTA CLARA STATION RAIL NORTHBOUND,,25.795809,-80.215174,,,,,,2
9507,UHJRAILN,UHEALTH JACKSON STATION RAIL NORTHBOUND,,25.789712,-80.215002,,,,,,2
9509,CULRAILN,CULMER STATION RAIL NORTHBOUND,,25.784614,-80.207599,,,,,,2
9511,OVTRAILN,HISTORIC OVERTOWN/LYRIC THEATRE STAT.RAIL NORTHBOUND,,25.781007,-80.196234,,,,,,2
9513,GVTRAILN,GOVERNMENT CTR.STAT.RAIL NORTHBOUND,,25.776044,-80.19603,,,,,,2
9515,BKLRAILN,BRICKELL STATION RAIL NORTHBOUND,,25.763828,-80.19542,,,,,,2
9517,VIZRAILN,VIZCAYA STATION RAIL NORTHBOUND,,25.749684,-80.211752,,,,,,2
9519,CGVRAILN,COCONUT GROVE STAT. RAIL NORTHBOUND,,25.739783,-80.238858,,,,,,2
9521,DRDRAILN,DOUGLAS ROAD STAT. RAIL NORTHBOUND,,25.732764,-80.254812,,,,,,2
9523,UNVRAILN,UNIVERSITY STATION RAIL NORTHBOUND,,25.714762,-80.277039,,,,,,2
9525,SMIRAILN,SOUTH MIAMI STATION RAIL NORTHBOUND,,25.705013,-80.288999,,,,,,2
9527,DLNRAILN,DADELAND NORTH STAT.RAIL NORTHBOUND,,25.691872,-80.305143,,,,,,2
9529,DLSRAILN,DADELAND SOUTH STAT.RAIL NORTHBOUND,,25.685003,-80.313656,,,,,,2
10495,MIARAILN,MIAMI INTERNATIONAL AIRPORT STATION NORTHBOUND,,25.798002,-80.258746,,,,,,2
