trip_id,stop_id,arrival_time,departure_time,stop_sequence
ASP26GEN-1038-Sunday-00_007200_1..N03R,142N,01:12:00,01:12:00,1
ASP26GEN-1038-Sunday-00_007200_1..N03R,139N,01:14:30,01:14:30,2
ASP26GEN-1038-Sunday-00_007200_1..N03R,138N,01:15:30,01:15:30,3
ASP26GEN-1038-Sunday-00_007200_1..N03R,137N,01:16:30,01:16:30,4
ASP26GEN-1038-Sunday-00_007200_1..N03R,136N,01:18:00,01:18:00,5
ASP26GEN-1038-Sunday-00_007200_1..N03R,135N,01:19:00,01:19:00,6
ASP26GEN-1038-Sunday-00_007200_1..N03R,134N,01:20:30,01:20:30,7
ASP26GEN-1038-Sunday-00_007200_1..N03R,133N,01:22:00,01:22:00,8
ASP26GEN-1038-Sunday-00_007200_1..N03R,132N,01:23:30,01:23:30,9
ASP26GEN-1038-Sunday-00_007200_1..N03R,131N,01:24:30,01:24:30,10
ASP26GEN-1038-Sunday-00_007200_1..N03R,130N,01:25:30,01:25:30,11
ASP26GEN-1038-Sunday-00_007200_1..N03R,129N,01:26:30,01:26:30,12
ASP26GEN-1038-Sunday-00_007200_1..N03R,128N,01:28:00,01:28:00,13
ASP26GEN-1038-Sunday-00_007200_1..N03R,127N,01:29:30,01:29:30,14
ASP26GEN-1038-Sunday-00_007200_1..N03R,126N,01:31:30,01:31:30,15
ASP26GEN-1038-Sunday-00_007200_1..N03R,125N,01:33:30,01:33:30,16
ASP26GEN-1038-Sunday-00_007200_1..N03R,124N,01:35:00,01:35:00,17
ASP26GEN-1038-Sunday-00_007200_1..N03R,123N,01:36:00,01:36:00,18
ASP26GEN-1038-Sunday-00_007200_1..N03R,122N,01:37:30,01:37:30,19
ASP26GEN-1038-Sunday-00_007200_1..N03R,121N,01:39:00,01:39:00,20
ASP26GEN-1038-Sunday-00_007200_1..N03R,120N,01:40:30,01:40:30,21
ASP26GEN-1038-Sunday-00_007200_1..N03R,119N,01:42:00,01:42:00,22
ASP26GEN-1038-Sunday-00_007200_1..N03R,118N,01:43:30,01:43:30,23
ASP26GEN-1038-Sunday-00_007200_1..N03R,117N,01:44:30,01:44:30,24
ASP26GEN-1038-Sunday-00_007200_1..N03R,116N,01:46:30,01:46:30,25
ASP26GEN-1038-Sunday-00_007200_1..N03R,115N,01:48:30,01:48:30,26
ASP26GEN-1038-Sunday-00_007200_1..N03R,114N,01:50:00,01:50:00,27
ASP26GEN-1038-Sunday-00_007200_1..N03R,113N,01:52:00,01:52:00,28
ASP26GEN-1038-Sunday-00_007200_1..N03R,112N,01:54:00,01:54:00,29
ASP26GEN-1038-Sunday-00_007200_1..N03R,111N,01:56:00,01:56:00,30
ASP26GEN-1038-Sunday-00_007200_1..N03R,110N,01:57:30,01:57:30,31
ASP26GEN-1038-Sunday-00_007200_1..N03R,109N,01:58:30,01:58:30,32
ASP26GEN-1038-Sunday-00_007200_1..N03R,108N,02:00:00,02:00:00,33
ASP26GEN-1038-Sunday-00_007200_1..N03R,107N,02:01:30,02:01:30,34
ASP26GEN-1038-Sunday-00_007200_1..N03R,106N,02:03:00,02:03:00,35
ASP26GEN-1038-Sunday-00_007200_1..N03R,104N,02:04:30,02:04:30,36
ASP26GEN-1038-Sunday-00_007200_1..N03R,103N,02:06:00,02:09:00,37
ASP26GEN-1038-Sunday-00_007200_1..N03R,101N,02:10:30,02:10:30,38
ASP26GEN-2043-Saturday-00_001650_2..S08R,201S,00:16:30,00:16:30,1
ASP26GEN-2043-Saturday-00_001650_2..S08R,204S,00:18:30,00:18:30,2
ASP26GEN-2043-Saturday-00_001650_2..S08R,205S,00:20:00,00:20:00,3
ASP26GEN-2043-Saturday-00_001650_2..S08R,206S,00:21:30,00:21:30,4
ASP26GEN-2043-Saturday-00_001650_2..S08R,207S,00:22:30,00:22:30,5
ASP26GEN-2043-Saturday-00_001650_2..S08R,208S,00:24:00,00:24:00,6
ASP26GEN-2043-Saturday-00_001650_2..S08R,209S,00:26:00,00:26:00,7
ASP26GEN-2043-Saturday-00_001650_2..S08R,210S,00:27:30,00:27:30,8
ASP26GEN-2043-Saturday-00_001650_2..S08R,211S,00:29:30,00:29:30,9
ASP26GEN-2043-Saturday-00_001650_2..S08R,212S,00:31:30,00:31:30,10
ASP26GEN-2043-Saturday-00_001650_2..S08R,213S,00:33:30,00:33:30,11
ASP26GEN-2043-Saturday-00_001650_2..S08R,214S,00:35:00,00:35:00,12
ASP26GEN-2043-Saturday-00_001650_2..S08R,215S,00:37:00,00:37:00,13
ASP26GEN-2043-Saturday-00_001650_2..S08R,216S,00:39:00,00:39:00,14
ASP26GEN-2043-Saturday-00_001650_2..S08R,217S,00:40:30,00:40:30,15
ASP26GEN-2043-Saturday-00_001650_2..S08R,218S,00:41:30,00:41:30,16
ASP26GEN-2043-Saturday-00_001650_2..S08R,219S,00:42:30,00:42:30,17
ASP26GEN-2043-Saturday-00_001650_2..S08R,220S,00:44:00,00:44:00,18
ASP26GEN-2043-Saturday-00_001650_2..S08R,221S,00:46:00,00:46:00,19
ASP26GEN-2043-Saturday-00_001650_2..S08R,222S,00:48:00,00:50:00,20
ASP26GEN-2043-Saturday-00_001650_2..S08R,224S,00:53:00,00:53:00,21
ASP26GEN-2043-Saturday-00_001650_2..S08R,225S,00:54:30,00:54:30,22
ASP26GEN-2043-Saturday-00_001650_2..S08R,226S,00:56:00,00:56:00,23
ASP26GEN-2043-Saturday-00_001650_2..S08R,227S,00:57:00,00:57:00,24
ASP26GEN-2043-Saturday-00_001650_2..S08R,120S,01:01:00,01:03:00,25
ASP26GEN-2043-Saturday-00_001650_2..S08R,121S,01:05:00,01:05:00,26
ASP26GEN-2043-Saturday-00_001650_2..S08R,122S,01:06:00,01:06:00,27
ASP26GEN-2043-Saturday-00_001650_2..S08R,123S,01:07:30,01:07:30,28
ASP26GEN-2043-Saturday-00_001650_2..S08R,124S,01:09:00,01:09:00,29
ASP26GEN-2043-Saturday-00_001650_2..S08R,125S,01:10:30,01:10:30,30
ASP26GEN-2043-Saturday-00_001650_2..S08R,126S,01:12:30,01:12:30,31
ASP26GEN-2043-Saturday-00_001650_2..S08R,127S,01:14:00,01:14:00,32
ASP26GEN-2043-Saturday-00_001650_2..S08R,128S,01:15:30,01:15:30,33
ASP26GEN-2043-Saturday-00_001650_2..S08R,129S,01:16:30,01:16:30,34
ASP26GEN-2043-Saturday-00_001650_2..S08R,130S,01:17:30,01:17:30,35
ASP26GEN-2043-Saturday-00_001650_2..S08R,131S,01:18:30,01:18:30,36
ASP26GEN-2043-Saturday-00_001650_2..S08R,132S,01:19:30,01:19:30,37
ASP26GEN-2043-Saturday-00_001650_2..S08R,133S,01:21:00,01:21:00,38
ASP26GEN-2043-Saturday-00_001650_2..S08R,134S,01:22:30,01:22:30,39
ASP26GEN-2043-Saturday-00_001650_2..S08R,135S,01:24:30,01:24:30,40
ASP26GEN-2043-Saturday-00_001650_2..S08R,136S,01:25:30,01:25:30,41
ASP26GEN-2043-Saturday-00_001650_2..S08R,137S,01:26:30,01:26:30,42
ASP26GEN-2043-Saturday-00_001650_2..S08R,228S,01:27:30,01:27:30,43
ASP26GEN-2043-Saturday-00_001650_2..S08R,229S,01:29:30,01:29:30,44
ASP26GEN-2043-Saturday-00_001650_2..S08R,230S,01:30:30,01:30:30,45
ASP26GEN-2043-Saturday-00_001650_2..S08R,231S,01:35:00,01:35:00,46
ASP26GEN-2043-Saturday-00_001650_2..S08R,232S,01:36:00,01:36:00,47
ASP26GEN-2043-Saturday-00_001650_2..S08R,233S,01:37:30,01:37:30,48
ASP26GEN-2043-Saturday-00_001650_2..S08R,234S,01:38:30,01:41:00,49
ASP26GEN-2043-Saturday-00_001650_2..S08R,235S,01:42:30,01:42:30,50
ASP26GEN-2043-Saturday-00_001650_2..S08R,236S,01:43:30,01:43:30,51
ASP26GEN-2043-Saturday-00_001650_2..S08R,237S,01:45:00,01:45:00,52
ASP26GEN-2043-Saturday-00_001650_2..S08R,238S,01:46:30,01:46:30,53
ASP26GEN-2043-Saturday-00_001650_2..S08R,239S,01:48:00,01:48:00,54
ASP26GEN-2043-Saturday-00_001650_2..S08R,241S,01:51:00,01:51:00,55
ASP26GEN-2043-Saturday-00_001650_2..S08R,242S,01:52:00,01:52:00,56
ASP26GEN-2043-Saturday-00_001650_2..S08R,243S,01:53:30,01:53:30,57
ASP26GEN-2043-Saturday-00_001650_2..S08R,244S,01:55:00,02:04:00,58
ASP26GEN-2043-Saturday-00_001650_2..S08R,245S,02:05:30,02:05:30,59
ASP26GEN-2043-Saturday-00_001650_2..S08R,246S,02:07:00,02:07:00,60
ASP26GEN-2043-Saturday-00_001650_2..S08R,247S,02:09:00,02:09:00,61
ASP26GEN-2043-Saturday-00_034750_2..N01R,247N,05:47:30,05:47:30,1
ASP26GEN-2043-Saturday-00_034750_2..N01R,246N,05:49:30,05:49:30,2
ASP26GEN-2043-Saturday-00_034750_2..N01R,245N,05:50:30,05:50:30,3
ASP26GEN-2043-Saturday-00_034750_2..N01R,244N,05:52:00,05:52:00,4
ASP26GEN-2043-Saturday-00_034750_2..N01R,243N,05:53:00,05:53:00,5
ASP26GEN-2043-Saturday-00_034750_2..N01R,242N,05:54:30,05:54:30,6
ASP26GEN-2043-Saturday-00_034750_2..N01R,241N,05:55:30,05:55:30,7
ASP26GEN-2043-Saturday-00_034750_2..N01R,239N,05:58:30,05:58:30,8
ASP26GEN-2043-Saturday-00_034750_2..N01R,238N,06:00:00,06:00:00,9
ASP26GEN-2043-Saturday-00_034750_2..N01R,237N,06:01:30,06:01:30,10
ASP26GEN-2043-Saturday-00_034750_2..N01R,236N,06:03:30,06:03:30,11
ASP26GEN-2043-Saturday-00_034750_2..N01R,235N,06:04:30,06:04:30,12
ASP26GEN-2043-Saturday-00_034750_2..N01R,234N,06:06:00,06:06:00,13
ASP26GEN-2043-Saturday-00_034750_2..N01R,233N,06:07:30,06:07:30,14
ASP26GEN-2043-Saturday-00_034750_2..N01R,232N,06:09:00,06:09:00,15
ASP26GEN-2043-Saturday-00_034750_2..N01R,231N,06:10:30,06:10:30,16
ASP26GEN-2043-Saturday-00_034750_2..N01R,230N,06:13:30,06:13:30,17
ASP26GEN-2043-Saturday-00_034750_2..N01R,229N,06:14:30,06:14:30,18
ASP26GEN-2043-Saturday-00_034750_2..N01R,228N,06:16:30,06:16:30,19
ASP26GEN-2043-Saturday-00_034750_2..N01R,137N,06:17:30,06:17:30,20
ASP26GEN-2043-Saturday-00_034750_2..N01R,132N,06:21:30,06:21:30,21
ASP26GEN-2043-Saturday-00_034750_2..N01R,128N,06:24:00,06:24:00,22
ASP26GEN-2043-Saturday-00_034750_2..N01R,127N,06:25:00,06:25:00,23
ASP26GEN-2043-Saturday-00_034750_2..N01R,123N,06:29:00,06:29:00,24
ASP26GEN-2043-Saturday-00_034750_2..N01R,120N,06:31:30,06:31:30,25
ASP26GEN-2043-Saturday-00_034750_2..N01R,227N,06:35:30,06:35:30,26
ASP26GEN-2043-Saturday-00_034750_2..N01R,226N,06:36:30,06:36:30,27
ASP26GEN-2043-Saturday-00_034750_2..N01R,225N,06:38:00,06:38:00,28
ASP26GEN-2043-Saturday-00_034750_2..N01R,224N,06:39:30,06:39:30,29
ASP26GEN-2043-Saturday-00_034750_2..N01R,222N,06:42:30,06:42:30,30
ASP26GEN-2043-Saturday-00_034750_2..N01R,221N,06:44:30,06:44:30,31
ASP26GEN-2043-Saturday-00_034750_2..N01R,220N,06:46:30,06:46:30,32
ASP26GEN-2043-Saturday-00_034750_2..N01R,219N,06:48:00,06:48:00,33
ASP26GEN-2043-Saturday-00_034750_2..N01R,218N,06:49:00,06:49:00,34
ASP26GEN-2043-Saturday-00_034750_2..N01R,217N,06:50:00,06:50:00,35
ASP26GEN-2043-Saturday-00_034750_2..N01R,216N,06:51:30,06:51:30,36
ASP26GEN-2043-Saturday-00_034750_2..N01R,215N,06:53:30,06:53:30,37
ASP26GEN-2043-Saturday-00_034750_2..N01R,214N,06:55:00,06:55:00,38
ASP26GEN-2043-Saturday-00_034750_2..N01R,213N,06:56:30,06:56:30,39
ASP26GEN-2043-Saturday-00_034750_2..N01R,212N,06:58:30,06:58:30,40
ASP26GEN-2043-Saturday-00_034750_2..N01R,211N,07:00:30,07:00:30,41
ASP26GEN-2043-Saturday-00_034750_2..N01R,210N,07:02:30,07:02:30,42
ASP26GEN-2043-Saturday-00_034750_2..N01R,209N,07:04:00,07:04:00,43
ASP26GEN-2043-Saturday-00_034750_2..N01R,208N,07:06:00,07:06:00,44
ASP26GEN-2043-Saturday-00_034750_2..N01R,207N,07:07:30,07:07:30,45
ASP26GEN-2043-Saturday-00_034750_2..N01R,206N,07:08:30,07:08:30,46
ASP26GEN-2043-Saturday-00_034750_2..N01R,205N,07:10:00,07:10:00,47
ASP26GEN-2043-Saturday-00_034750_2..N01R,204N,07:11:30,07:13:00,48
ASP26GEN-2043-Saturday-00_034750_2..N01R,201N,07:15:00,07:15:00,49
ASP26GEN-2101-Weekday-00_044200_2..N03R,257N,07:22:00,07:22:00,1
ASP26GEN-2101-Weekday-00_044200_2..N03R,256N,07:23:30,07:23:30,2
ASP26GEN-2101-Weekday-00_044200_2..N03R,255N,07:25:00,07:25:00,3
ASP26GEN-2101-Weekday-00_044200_2..N03R,254N,07:26:30,07:26:30,4
ASP26GEN-2101-Weekday-00_044200_2..N03R,253N,07:28:00,07:28:00,5
ASP26GEN-2101-Weekday-00_044200_2..N03R,252N,07:29:30,07:29:30,6
ASP26GEN-2101-Weekday-00_044200_2..N03R,251N,07:31:30,07:31:30,7
ASP26GEN-2101-Weekday-00_044200_2..N03R,250N,07:34:30,07:35:00,8
ASP26GEN-2101-Weekday-00_044200_2..N03R,249N,07:37:30,07:37:30,9
ASP26GEN-2101-Weekday-00_044200_2..N03R,248N,07:39:30,07:39:30,10
ASP26GEN-2101-Weekday-00_044200_2..N03R,239N,07:41:00,07:41:00,11
ASP26GEN-2101-Weekday-00_044200_2..N03R,238N,07:43:00,07:43:00,12
ASP26GEN-2101-Weekday-00_044200_2..N03R,237N,07:45:00,07:45:00,13
ASP26GEN-2101-Weekday-00_044200_2..N03R,236N,07:47:00,07:47:00,14
ASP26GEN-2101-Weekday-00_044200_2..N03R,235N,07:48:30,07:49:00,15
ASP26GEN-2101-Weekday-00_044200_2..N03R,234N,07:50:30,07:50:30,16
ASP26GEN-2101-Weekday-00_044200_2..N03R,233N,07:52:00,07:52:00,17
ASP26GEN-2101-Weekday-00_044200_2..N03R,232N,07:53:30,07:53:30,18
ASP26GEN-2101-Weekday-00_044200_2..N03R,231N,07:55:30,07:55:30,19
ASP26GEN-2101-Weekday-00_044200_2..N03R,230N,07:59:00,07:59:00,20
ASP26GEN-2101-Weekday-00_044200_2..N03R,229N,08:00:30,08:00:30,21
ASP26GEN-2101-Weekday-00_044200_2..N03R,228N,08:02:30,08:02:30,22
ASP26GEN-2101-Weekday-00_044200_2..N03R,137N,08:04:00,08:04:00,23
ASP26GEN-2101-Weekday-00_044200_2..N03R,132N,08:08:30,08:08:30,24
ASP26GEN-2101-Weekday-00_044200_2..N03R,128N,08:11:30,08:11:30,25
ASP26GEN-2101-Weekday-00_044200_2..N03R,127N,08:12:30,08:13:00,26
ASP26GEN-2101-Weekday-00_044200_2..N03R,123N,08:17:30,08:17:30,27
ASP26GEN-2101-Weekday-00_044200_2..N03R,120N,08:20:30,08:20:30,28
ASP26GEN-2101-Weekday-00_044200_2..N03R,227N,08:25:30,08:25:30,29
ASP26GEN-2101-Weekday-00_044200_2..N03R,226N,08:26:30,08:26:30,30
ASP26GEN-2101-Weekday-00_044200_2..N03R,225N,08:28:00,08:28:00,31
ASP26GEN-2101-Weekday-00_044200_2..N03R,224N,08:30:00,08:30:00,32
ASP26GEN-2101-Weekday-00_044200_2..N03R,222N,08:33:30,08:33:30,33
ASP26GEN-2101-Weekday-00_044200_2..N03R,221N,08:35:30,08:35:30,34
ASP26GEN-2101-Weekday-00_044200_2..N03R,220N,08:38:00,08:38:00,35
ASP26GEN-2101-Weekday-00_044200_2..N03R,219N,08:39:30,08:39:30,36
ASP26GEN-2101-Weekday-00_044200_2..N03R,218N,08:41:00,08:41:00,37
ASP26GEN-2101-Weekday-00_044200_2..N03R,217N,08:42:00,08:42:00,38
ASP26GEN-2101-Weekday-00_044200_2..N03R,216N,08:43:30,08:43:30,39
ASP26GEN-2101-Weekday-00_044200_2..N03R,215N,08:46:00,08:46:00,40
ASP26GEN-2101-Weekday-00_044200_2..N03R,214N,08:48:00,08:48:00,41
ASP26GEN-2101-Weekday-00_044200_2..N03R,213N,08:49:30,08:50:00,42
ASP26GEN-2101-Weekday-00_044200_2..N03R,212N,08:52:00,08:52:00,43
ASP26GEN-2101-Weekday-00_044200_2..N03R,211N,08:54:00,08:54:00,44
ASP26GEN-2101-Weekday-00_044200_2..N03R,210N,08:56:00,08:56:00,45
ASP26GEN-2101-Weekday-00_044200_2..N03R,209N,08:57:30,08:57:30,46
ASP26GEN-2101-Weekday-00_044200_2..N03R,208N,08:59:30,08:59:30,47
ASP26GEN-2101-Weekday-00_044200_2..N03R,207N,09:01:00,09:01:00,48
ASP26GEN-2101-Weekday-00_044200_2..N03R,206N,09:02:00,09:02:00,49
ASP26GEN-2101-Weekday-00_044200_2..N03R,205N,09:03:30,09:03:30,50
ASP26GEN-2101-Weekday-00_044200_2..N03R,204N,09:05:00,09:06:30,51
ASP26GEN-2101-Weekday-00_044200_2..N03R,201N,09:08:30,09:08:30,52
ASP26GEN-3043-Saturday-00_036550_3..N01R,257N,06:05:30,06:05:30,1
ASP26GEN-3043-Saturday-00_036550_3..N01R,256N,06:07:00,06:07:00,2
ASP26GEN-3043-Saturday-00_036550_3..N01R,255N,06:08:00,06:08:00,3
ASP26GEN-3043-Saturday-00_036550_3..N01R,254N,06:09:30,06:09:30,4
ASP26GEN-3043-Saturday-00_036550_3..N01R,253N,06:10:30,06:10:30,5
ASP26GEN-3043-Saturday-00_036550_3..N01R,252N,06:12:30,06:12:30,6
ASP26GEN-3043-Saturday-00_036550_3..N01R,251N,06:14:00,06:14:00,7
ASP26GEN-3043-Saturday-00_036550_3..N01R,250N,06:16:30,06:16:30,8
ASP26GEN-3043-Saturday-00_036550_3..N01R,249N,06:18:30,06:18:30,9
ASP26GEN-3043-Saturday-00_036550_3..N01R,248N,06:20:00,06:20:00,10
ASP26GEN-3043-Saturday-00_036550_3..N01R,239N,06:21:30,06:21:30,11
ASP26GEN-3043-Saturday-00_036550_3..N01R,238N,06:23:00,06:23:00,12
ASP26GEN-3043-Saturday-00_036550_3..N01R,237N,06:24:30,06:24:30,13
