route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
1,ASP26GEN-1038-Sunday-00_007200_1..N03R,Sunday,Van Cortlandt Park-242 St,0,1..N03R
6,ASP26GEN-6031-Sunday-00_007500_6..N01R,Sunday,Pelham Bay Park,0,6..N01R
R,BSP26GEN-R053-Sunday-00_032400_R..N93R,Sunday,Forest Hills-71 Av,0,R..N93R
R,BSP26GEN-R053-Sunday-00_126650_R..N78R,Sunday,Queens Plaza,0,R..N78R
H,BSP26GEN-H026-Sunday-00_004100_H..N21R,Sunday-H-20260908-20261031,Broad Channel,0,H..N21R
2,ASP26GEN-2043-Saturday-00_001650_2..S08R,Saturday,Flatbush Av-Brooklyn College,1,2..S08R
2,ASP26GEN-2043-Saturday-00_034750_2..N01R,Saturday,Wakefield-241 St,0,2..N01R
3,ASP26GEN-3043-Saturday-00_036550_3..N01R,Saturday,Harlem-148 St,0,3..N01R
4,ASP26GEN-4044-Saturday-00_001400_4..S13R,Saturday,New Lots Av,1,4..S13R
4,ASP26GEN-4044-Saturday-00_034450_4..N01R,Saturday,Woodlawn,0,4..N01R
A,BSP26GEN-A047-Saturday-00_014200_A..N09R,Saturday,Inwood-207 St,0,A..N09R
A,BSP26GEN-A047-Saturday-00_134600_A..N04R,Saturday,Inwood-207 St,0,A..N04R
C,BSP26GEN-C026-Saturday-00_035300_C..N04R,Saturday,168 St,0,C..N04R
D,BSP26GEN-D042-Saturday-00_013750_D..N05R,Saturday,Norwood-205 St,0,D..N05R
E,BSP26GEN-E043-Saturday-00_001400_E..S04R,Saturday,World Trade Center,1,E..S04R
F,BSP26GEN-F045-Saturday-00_014150_F..N07R,Saturday,Jamaica-179 St,0,F..N07R
F,BSP26GEN-F045-Saturday-00_032150_F..N65R,Saturday,Jamaica-179 St,0,F..N65R
FS,BSP26GEN-FS012-Saturday-00_000950_FS.N01R,Saturday,Franklin Av,0,FS.N01R
G,BSP26GEN-G038-Saturday-00_081700_G..N13R,Saturday,Court Sq,0,G..N13R
GS,ASP26GEN-GS013-Saturday-00_036000_GS.N01R,Saturday,Times Sq-42 St,0,GS.N01R
L,BSP26GEN-L027-Saturday-00_000650_L..N01R,Saturday,8 Av,0,L..N01R
N,BSP26GEN-N058-Saturday-00_011700_N..N20R,Saturday,Astoria-Ditmars Blvd,0,N..N20R
N,BSP26GEN-N058-Saturday-00_031400_N..N23R,Saturday,Astoria-Ditmars Blvd,0,N..N23R
Q,BSP26GEN-Q022-Saturday-00_001300_Q..S19R,Saturday,Coney Island-Stillwell Av,1,Q..S19R
2,ASP26GEN-2101-Weekday-00_044200_2..N03R,Weekday,Wakefield-241 St,0,2..N03R
5,ASP26GEN-5114-Weekday-00_045900_5..N66R,Weekday,Eastchester-Dyre Av,0,5..N66R
5,ASP26GEN-5114-Weekday-00_089600_5..S07R,Weekday,Crown Hts-Utica Av,1,5..S07R
5,ASP26GEN-5114-Weekday-00_096550_5..N76R,Weekday,Nereid Av,0,5..N76R
7,XL0S1-7-1064-S300_001150_7..S97R,Weekday,34 St-Hudson Yards,1,7..S97R
7X,XL0S1-7-1064-S300_088600_7..N27R,Weekday,Flushing-Main St,0,7..N27R
A,BSP26GEN-A087-Weekday-00_039800_A..N65R,Weekday,Inwood-207 St,0,A..N65R
B,BSP26GEN-B088-Weekday-00_035700_B..N65R,Weekday,Bedford Park Blvd,0,B..N65R
E,BSP26GEN-E078-Weekday-00_050300_E..N55R,Weekday,Jamaica-179 St,0,E..N55R
F,BSP26GEN-F081-Weekday-00_030700_F..N54R,Weekday,Jamaica-179 St,0,F..N54R
J,XL0S1-J-1056-S12_000850_J..S12R,Weekday,Broad St,1,J..S12R
M,BSP26GEN-M094-Weekday-00_031400_M..N24R,Weekday,Forest Hills-71 Av,0,M..N24R
N,BSP26GEN-N102-Weekday-00_045600_N..N16R,Weekday,96 St,0,N..N16R
Q,BSP26GEN-Q072-Weekday-00_032200_Q..N36R,Weekday,96 St,0,Q..N36R
SI,SIR-FA2017-SI017-Weekday-08_000600_SI..S03R,Weekday,Tottenville,1,SI..S03R
SI,SIR-FA2017-SI017-Weekday-08_045600_SI..N02R,Weekday,St George,0,SI..N02R
W,BSP26GEN-N102-Weekday-00_042850_N..N72R,Weekday,Astoria-Ditmars Blvd,0,N..N72R
