shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10716,45.403708,-75.735249,10001,
10716,45.404078,-75.734377,10002,
10716,45.404215,-75.734052,10003,
10716,45.404225,-75.734026,10004,
10716,45.40428,-75.733898,10005,
10716,45.404598,-75.733147,10006,
10716,45.404722,-75.732849,10007,
10716,45.404842,-75.732554,10008,
10716,45.404958,-75.732256,10009,
10716,45.405028,-75.732071,10010,
10716,45.405233,-75.731517,10011,
10716,45.405327,-75.731265,10012,
10716,45.40557,-75.730652,10013,
10716,45.40859,-75.723479,10014,
10716,45.408594,-75.723471,10015,
10716,45.408635,-75.723373,10016,
10716,45.408689,-75.723251,10017,
10716,45.408767,-75.723091,10018,
10716,45.408847,-75.722941,10019,
10716,45.408915,-75.722823,10020,
10716,45.409333,-75.722139,10021,
10716,45.409395,-75.722036,10022,
10716,45.409404,-75.722021,10023,
10716,45.409404,-75.722021,20001,
10716,45.409412,-75.722007,20002,
10716,45.409772,-75.721416,20003,
10716,45.409929,-75.721163,20004,
10716,45.410104,-75.720904,20005,
10716,45.410216,-75.720752,20006,
10716,45.410341,-75.720596,20007,
10716,45.410416,-75.720508,20008,
10716,45.411408,-75.719411,20009,
10716,45.411567,-75.719231,20010,
10716,45.411688,-75.719082,20011,
10716,45.411739,-75.71901,20012,
10716,45.411811,-75.718903,20013,
10716,45.411877,-75.718791,20014,
10716,45.411939,-75.718673,20015,
10716,45.411996,-75.718549,20016,
10716,45.412026,-75.718478,20017,
10716,45.412075,-75.718353,20018,
10716,45.412139,-75.718168,20019,
10716,45.412958,-75.715629,20020,
10716,45.41302,-75.715428,20021,
10716,45.413077,-75.715223,20022,
10716,45.413182,-75.714826,20023,
10716,45.413239,-75.714622,20024,
10716,45.413301,-75.714421,20025,
10716,45.413707,-75.713159,20026,
10716,45.413707,-75.713159,30001,
10716,45.413805,-75.712857,30002,
10716,45.413871,-75.712654,30003,
10716,45.413913,-75.712531,30004,
10716,45.41403,-75.71222,30005,
10716,45.414108,-75.712035,30006,
10716,45.414191,-75.711855,30007,
10716,45.414279,-75.711681,30008,
10716,45.414373,-75.711511,30009,
10716,45.414471,-75.711347,30010,
10716,45.414506,-75.711292,30011,
10716,45.414554,-75.71122,30012,
10716,45.414675,-75.711056,30013,
10716,45.414758,-75.710955,30014,
10716,45.414845,-75.710862,30015,
10716,45.414936,-75.710775,30016,
10716,45.41503,-75.710694,30017,
10716,45.415142,-75.71061,30018,
10716,45.415264,-75.710529,30019,
10716,45.416249,-75.709934,30020,
10716,45.416375,-75.709855,30021,
10716,45.416526,-75.709748,30022,
10716,45.416605,-75.70968,30023,
10716,45.41668,-75.709603,30024,
10716,45.416751,-75.709519,30025,
10716,45.416818,-75.70943,30026,
10716,45.416881,-75.709333,30027,
10716,45.416939,-75.70923,30028,
10716,45.416945,-75.70922,30029,
10716,45.417038,-75.709022,30030,
10716,45.417837,-75.707089,30031,
10716,45.418099,-75.706466,30032,
10716,45.418593,-75.705322,30033,
10716,45.418593,-75.705322,40001,
10716,45.421048,-75.699619,40002,
10716,45.421048,-75.699619,50001,
10716,45.422501,-75.696244,50002,
10716,45.422582,-75.696064,50003,
10716,45.422619,-75.695985,50004,
10716,45.422687,-75.69585,50005,
10716,45.422729,-75.695776,50006,
10716,45.422807,-75.695649,50007,
10716,45.422878,-75.695545,50008,
10716,45.422953,-75.695448,50009,
10716,45.423031,-75.695356,50010,
10716,45.423114,-75.695271,50011,
10716,45.423199,-75.695191,50012,
10716,45.423288,-75.69512,50013,
10716,45.423379,-75.695056,50014,
10716,45.423471,-75.694998,50015,
10716,45.42358,-75.694939,50016,
10716,45.423722,-75.694872,50017,
10716,45.424244,-75.694647,50018,
10716,45.424401,-75.694576,50019,
10716,45.424525,-75.694513,50020,
10716,45.424663,-75.694431,50021,
10716,45.424764,-75.694358,50022,
10716,45.424861,-75.694277,50023,
10716,45.424955,-75.694186,50024,
10716,45.425044,-75.694089,50025,
10716,45.425129,-75.693983,50026,
10716,45.425209,-75.69387,50027,
10716,45.425285,-75.69375,50028,
10716,45.425316,-75.693696,50029,
10716,45.425375,-75.693582,50030,
10716,45.42546,-75.693407,50031,
10716,45.426104,-75.691922,50032,
10716,45.426104,-75.691922,60001,
10716,45.426606,-75.690766,60002,
10716,45.426643,-75.690681,60003,
10716,45.426689,-75.690562,60004,
10716,45.426729,-75.69044,60005,
10716,45.426764,-75.690315,60006,
10716,45.426792,-75.690187,60007,
10716,45.426814,-75.690055,60008,
10716,45.426829,-75.689923,60009,
10716,45.426838,-75.689789,60010,
10716,45.42684,-75.689655,60011,
10716,45.426836,-75.689521,60012,
10716,45.426824,-75.689387,60013,
10716,45.426806,-75.689254,60014,
10716,45.426783,-75.689124,60015,
10716,45.426752,-75.688997,60016,
10716,45.426715,-75.688873,60017,
10716,45.426672,-75.688754,60018,
10716,45.426624,-75.688638,60019,
10716,45.426569,-75.688528,60020,
10716,45.42651,-75.688422,60021,
10716,45.426445,-75.688325,60022,
10716,45.426376,-75.688233,60023,
10716,45.426302,-75.688148,60024,
10716,45.426225,-75.688071,60025,
10716,45.426143,-75.688002,60026,
10716,45.42611,-75.687976,60027,
10716,45.426058,-75.687939,60028,
10716,45.425936,-75.687862,60029,
10716,45.422891,-75.68606,60030,
10716,45.422811,-75.686012,60031,
10716,45.422754,-75.685974,60032,
10716,45.42268,-75.685925,60033,
10716,45.422602,-75.685869,60034,
10716,45.422482,-75.685767,60035,
10716,45.422401,-75.68569,60036,
10716,45.422323,-75.685692,60037,
10716,45.422324,-75.685607,60038,
10716,45.422251,-75.685519,60039,
10716,45.42218,-75.685424,60040,
10716,45.422112,-75.685324,60041,
10716,45.422047,-75.685219,60042,
10716,45.421974,-75.685094,60043,
10716,45.421398,-75.684022,60044,
10716,45.421309,-75.683853,60045,
10716,45.421225,-75.68368,60046,
10716,45.421063,-75.683333,60047,
10716,45.420979,-75.68316,60048,
10716,45.420893,-75.682993,60049,
10716,45.420762,-75.682751,60050,
10716,45.420762,-75.682751,70001,
10716,45.419744,-75.680857,70002,
10716,45.41965,-75.680676,70003,
10716,45.419547,-75.68047,70004,
10716,45.419411,-75.680169,70005,
10716,45.419336,-75.679983,70006,
10716,45.419296,-75.679874,70007,
10716,45.419201,-75.679597,70008,
10716,45.419145,-75.679414,70009,
10716,45.419092,-75.679227,70010,
10716,45.419045,-75.679039,70011,
10716,45.418996,-75.678828,70012,
10716,45.418795,-75.677893,70013,
10716,45.418691,-75.677418,70014,
10716,45.418623,-75.67714,70015,
