trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
106950536,23:07:00,23:07:00,NA996,1,,0,1,0,1
106950536,23:09:28,23:09:28,NB996,2,,0,0,0,1
106950536,23:11:50,23:11:50,NB990,3,,0,0,0,1
106950536,23:15:44,23:15:44,CG995,4,,0,0,0,1
106950536,23:19:13,23:19:13,RA990,5,,0,0,0,1
106950536,23:23:35,23:23:35,RC990,6,,0,0,0,1
106950536,23:26:17,23:26:17,RF990,7,,0,0,0,1
106950536,23:29:24,23:29:24,RF996,8,,0,0,0,1
106950536,23:35:11,23:35:11,RE994,9,,0,0,0,1
106950536,23:39:14,23:39:14,RE997,10,,0,0,0,1
106950536,23:43:29,23:43:29,RR991,11,,1,0,0,1
106950628,24:02:00,24:02:00,RF996,1,,0,1,0,1
106950628,24:06:54,24:06:54,RE991,2,,0,0,0,1
106950628,24:09:41,24:09:41,RE992,3,,1,0,0,1
106950629,24:15:11,24:15:11,RE992,1,,0,1,0,1
106950629,24:19:28,24:19:28,RE990,2,,0,0,0,1
106950629,24:23:37,24:23:37,RF995,3,,1,0,0,1
106952712,06:00:00,06:00:00,RR990,1,,0,1,0,1
106952712,06:04:48,06:04:48,RE996,2,,0,0,0,1
106952712,06:08:56,06:08:56,RE995,3,,0,0,0,1
106952712,06:15:36,06:15:36,RF995,4,,0,0,0,1
106952712,06:17:46,06:17:46,RF990,5,,0,0,0,1
106952712,06:20:21,06:20:21,RC990,6,,0,0,0,1
106952712,06:24:07,06:24:07,RA990,7,,0,0,0,1
106952712,06:28:55,06:28:55,CG990,8,,0,0,0,1
106952712,06:32:12,06:32:12,NB990,9,,0,0,0,1
106952712,06:34:36,06:34:36,NB995,10,,0,0,0,1
106952712,06:36:25,06:36:25,NA997,11,,1,0,0,1
106954310,24:20:23,24:20:23,NA999,1,,0,1,0,1
106954310,24:23:23,24:23:23,NA995,2,,0,0,0,1
106954310,24:25:23,24:25:23,CJ995,3,,0,0,0,1
106954310,24:27:23,24:27:23,CA995,4,,0,0,0,1
106954310,24:29:23,24:29:23,CB995,5,,0,0,0,1
106954310,24:31:23,24:31:23,CD995,6,,0,0,0,1
106954310,24:34:23,24:34:23,CD999,7,,0,0,0,1
106954310,24:36:23,24:36:23,CE995,8,,0,0,0,1
106954310,24:38:23,24:38:23,AF995,9,,0,0,0,1
106954310,24:41:23,24:41:23,AE995,10,,0,0,0,1
106954310,24:44:23,24:44:23,EB995,11,,0,0,0,1
106954310,24:46:23,24:46:23,EC995,12,,0,0,0,1
106954310,24:48:23,24:48:23,EE995,13,,1,0,0,1
106954311,24:50:15,24:50:15,EE990,1,,0,1,0,1
106954311,24:52:15,24:52:15,EC990,2,,0,0,0,1
106954311,24:54:15,24:54:15,EB990,3,,0,0,0,1
106954311,24:57:15,24:57:15,AE990,4,,0,0,0,1
106954311,25:00:15,25:00:15,AF990,5,,0,0,0,1
106954311,25:03:15,25:03:15,CE990,6,,0,0,0,1
106954311,25:05:15,25:05:15,CD998,7,,0,0,0,1
106954311,25:08:15,25:08:15,CD990,8,,0,0,0,1
106954311,25:10:15,25:10:15,CB990,9,,0,0,0,1
106954311,25:12:15,25:12:15,CA990,10,,0,0,0,1
106954311,25:14:15,25:14:15,CJ990,11,,0,0,0,1
106954311,25:16:15,25:16:15,NA990,12,,0,0,0,1
106954311,25:18:15,25:18:15,NA998,13,,1,0,0,1
