stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
3009_stn,3009,RIDEAU,,,45.426197,-75.691716,,,1,,,,,
CD990,3009,RIDEAU O-TRAIN WEST / OUEST,,,45.426057,-75.692039,,,0,3009_stn,,,,1
CD995,3009,RIDEAU O-TRAIN EAST / EST,,,45.4261,-75.691918,,,0,3009_stn,,,,2
3010_stn,3010,PIMISI,,,45.413436,-75.713021,,,1,,,,,
CJ990,3010,PIMISI O-TRAIN WEST / OUEST,,,45.413693,-75.713222,,,0,3010_stn,,,,1
CJ995,3010,PIMISI O-TRAIN EAST / EST,,,45.413702,-75.713157,,,0,3010_stn,,,,2
3011_stn,3011,TUNNEY'S PASTURE,,,45.403641,-75.736404,,,1,,,,,
NA998,3011,TUNNEY'S PASTURE O-TRAIN,,,45.403789,-75.735094,,,0,3011_stn,,,,1
NA999,3011,TUNNEY'S PASTURE O-TRAIN EAST / EST,,,45.403704,-75.735246,,,0,3011_stn,,,,2
3021_stn,3021,UOTTAWA,,,45.42129,-75.681368,,,1,,,,,
CD998,3021,UOTTAWA O-TRAIN WEST / OUEST,,,45.420782,-75.682776,,,0,3021_stn,,,,1
CD999,3021,UOTTAWA O-TRAIN EAST / EST,,,45.420759,-75.682753,,,0,3021_stn,,,,2
3022_stn,3022,LEES,,,45.416263,-75.670152,,,1,,,,,
CE990,3022,LEES O-TRAIN WEST / OUEST,,,45.416342,-75.670478,,,0,3022_stn,,,,1
CE995,3022,LEES O-TRAIN EAST / EST,,,45.416346,-75.670514,,,0,3022_stn,,,,2
3023_stn,3023,HURDMAN,,,45.41218,-75.66566,,,1,,,,,
AF990,3023,HURDMAN O-TRAIN WEST / OUEST,,,45.412316,-75.6648,,,0,3023_stn,,,,1
AF995,3023,HURDMAN O-TRAIN EAST / EST,,,45.412381,-75.663798,,,0,3023_stn,,,,2
3024_stn,3024,TREMBLAY,,,45.417476,-75.652993,,,1,,,,,
AE990,3024,TREMBLAY O-TRAIN WEST / OUEST,,,45.416554,-75.654048,,,0,3024_stn,,,,1
AE995,3024,TREMBLAY O-TRAIN EAST / EST,,,45.416572,-75.653993,,,0,3024_stn,,,,2
3025_stn,3025,ST-LAURENT,,,45.42062,-75.637976,,,1,,,,,
EB990,3025,ST-LAURENT O-TRAIN WEST / OUEST,,,45.42062,-75.637847,,,0,3025_stn,,,,1
EB995,3025,ST-LAURENT O-TRAIN EAST / EST,,,45.420611,-75.637877,,,0,3025_stn,,,,2
3026_stn,3026,CYRVILLE,,,45.423135,-75.628388,,,1,,,,,
EC990,3026,CYRVILLE O-TRAIN WEST / OUEST,,,45.422603,-75.626354,,,0,3026_stn,,,,1
EC995,3026,CYRVILLE O-TRAIN EAST / EST,,,45.422531,-75.626397,,,0,3026_stn,,,,2
3027_stn,3027,BLAIR,,,45.43123,-75.608506,,,1,,,,,
EE990,3027,BLAIR O-TRAIN WEST / OUEST,,,45.430798,-75.608693,,,0,3027_stn,,,,1
EE995,3027,BLAIR O-TRAIN EAST / EST,,,45.430809,-75.608652,,,0,3027_stn,,,,2
3036_stn,3036,WALKLEY,,,45.368849,-75.666946,,,1,,,,,
RC990,3036,WALKLEY O-TRAIN,,,45.368483,-75.665271,,,0,3036_stn,,,,
3037_stn,3037,GREENBORO,,,45.359908,-75.658667,,,1,,,,,
RF990,3037,GREENBORO O-TRAIN,,,45.359698,-75.659482,,,0,3037_stn,,,,
3038_stn,3038,SOUTH KEYS,,,45.353706,-75.655324,,,1,,,,,
RF995,3038,SOUTH KEYS O-TRAIN NORTH / NORD,,,45.35352,-75.655619,,,0,3038_stn,,,,
RF996,3038,SOUTH KEYS O-TRAIN SOUTH / SUD,,,45.353494,-75.655707,,,0,3038_stn,,,,
3039_stn,3039,AIRPORT ~ AÉROPORT,,,45.323401,-75.668165,,,1,,,,,
RE992,3039,AIRPORT O-TRAIN NORTH / AÉROPORT O-TRAIN NORD,,,45.323299,-75.66877,,,0,3039_stn,,,,
3041_stn,3041,LEITRIM,,,45.314568,-75.631166,,,1,,,,,
RE994,3041,LEITRIM O-TRAIN SOUTH / SUD,,,45.313663,-75.631951,,,0,3041_stn,,,,
RE995,3041,LEITRIM O-TRAIN NORTH / NORD,,,45.313671,-75.631925,,,0,3041_stn,,,,
3051_stn,3051,LYON,,,45.418666,-75.704783,,,1,,,,,
CA990,3051,LYON O-TRAIN WEST / OUEST,,,45.419098,-75.704161,,,0,3051_stn,,,,1
CA995,3051,LYON O-TRAIN EAST / EST,,,45.418588,-75.705318,,,0,3051_stn,,,,2
3052_stn,3052,PARLIAMENT ~ PARLEMENT,,,45.421317,-75.699022,,,1,,,,,
CB990,3052,PARLIAMENT / PARLEMENT O-TRAIN WEST / OUEST,,,45.421542,-75.698485,,,0,3052_stn,,,,1
CB995,3052,PARLIAMENT / PARLEMENT O-TRAIN EAST / EST,,,45.421045,-75.699616,,,0,3052_stn,,,,2
3060_stn,3060,BAYVIEW,,,45.409139,-75.722147,,,1,,,,,
NA990,3060,BAYVIEW O-TRAIN WEST / OUEST,,,45.409388,-75.72206,,,0,3060_stn,,,,1
NA995,3060,BAYVIEW O-TRAIN EAST / EST,,,45.4094,-75.722016,,,0,3060_stn,,,,2
NA996,3060,BAYVIEW O-TRAIN SOUTH / SUD,,,45.409238,-75.722054,,,0,3060_stn,,,,
NA997,3060,BAYVIEW O-TRAIN,,,45.409249,-75.722031,,,0,3060_stn,,,,
