shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_1305101,40.732687806,-74.06322338,1,0
p_1305101,40.73245062267563,-74.06310098104754,2,28.29566879
p_1305101,40.731965843,-74.062547943,3,99.57447361000001
p_1305101,40.731381652,-74.061871298,4,186.03745213000002
p_1305101,40.730826003,-74.061198026,5,269.95534981000003
p_1305101,40.728661991,-74.058755574,6,586.69282605
p_1305101,40.727564997,-74.057529849,7,746.57553219
p_1305101,40.726993376,-74.056936398,8,827.46419489
p_1305101,40.726446986,-74.056491962,9,898.81765541
p_1305101,40.725561963,-74.055919045,10,1008.37029537
p_1305101,40.724730598,-74.055421963,11,1109.79487246
p_1305101,40.72401282,-74.054779973,12,1206.2064825300001
p_1305101,40.723080365,-74.053862081,13,1335.5740190000001
p_1305101,40.72281136,-74.053420745,14,1383.35151057
p_1305101,40.722654054,-74.053068491,15,1417.8603135800001
p_1305101,40.721968757,-74.050804744,16,1623.7024222300001
p_1305101,40.719489145,-74.042712861,17,2360.7482868
p_1305101,40.71941696,-74.042452961,18,2384.12483088
p_1305101,40.719421069,-74.042440277,19,2385.28961122
p_1305101,40.719254767,-74.041996817,20,2427.06200879
p_1305101,40.71802413340848,-74.03825283907592,21,2771.6551048300003
p_1305101,40.717978604026314,-74.03801701597521,22,2792.21190654
p_1305101,40.71793144747298,-74.03746890888384,23,2838.8181446400004
p_1305101,40.71804147937897,-74.03723485234248,24,2862.0645302700004
p_1305101,40.71817845761953,-74.03711634270081,25,2880.2756607300003
p_1305101,40.71843955846035,-74.03705589169843,26,2909.71694612
p_1305101,40.718760362545424,-74.03705219736331,27,2945.34311724
p_1305101,40.72099626533034,-74.03657446437565,28,3196.89623991
p_1305101,40.72235501952599,-74.03644366706966,29,3348.18803123
p_1305101,40.724213989830105,-74.03598780520991,30,3558.18598542
p_1305101,40.72545332011481,-74.03559591986914,31,3699.73819968
p_1305101,40.72647255548347,-74.03498411193732,32,3824.16623147
p_1305101,40.72700196434727,-74.0346246383783,33,3890.3368574600004
p_1305101,40.72717095766086,-74.03454774268141,34,3910.1959075100003
p_1305101,40.72719426705336,-74.03455158747529,35,3912.80468361
p_1305101,40.727639087901906,-74.03448538543245,36,3962.51704148
p_1305101,40.72885722016176,-74.03467938581576,37,4098.77820429
p_1305101,40.729150299311385,-74.03469205691876,38,4131.3418537
p_1305101,40.7303832132676,-74.03444145436904,39,4269.88240702
p_1305101,40.73095665484996,-74.03417740419434,40,4337.35608615
p_1305101,40.73122512374064,-74.03400038504452,41,4370.70937237
p_1305101,40.73144007301141,-74.03382035231401,42,4399.01247348
p_1305101,40.731593136124104,-74.03358879695804,43,4424.92653016
p_1305101,40.731684307420664,-74.03345462199545,44,4440.12440697
p_1305101,40.7317904135532,-74.03309900641032,45,4472.393360399999
p_1305101,40.73181736111596,-74.03279451056542,46,4498.2892232799995
p_1305101,40.73179378199933,-74.0324655661492,47,4526.1999950399995
p_1305101,40.731765278163664,-74.03238016107501,48,4534.078445679999
p_1305101,40.731681459711126,-74.03193329047917,49,4572.958618459999
p_1305101,40.73161608124579,-74.03149305657537,50,4610.84965219
p_1305101,40.73155848220898,-74.03046645213834,51,4697.808211189999
p_1305101,40.7314133300311,-74.02892768658894,52,4828.792098309999
p_1305101,40.73116401492152,-74.02491561835802,53,5168.844313129999
p_1305101,40.73108498075837,-74.02179921772876,54,5432.252122619999
