trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_2023635_b_none_tn_1,07:20:00,07:20:00,781718,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_2023635_b_none_tn_1,07:22:00,07:22:00,781720,2,,0,0,851.1852124330219,0,,,,,1,1,,,,,,,,,,,
t_2023635_b_none_tn_1,07:31:00,07:31:00,781722,3,,0,0,8999.013534968335,0,,,,,1,1,,,,,,,,,,,
t_2023635_b_none_tn_1,07:35:00,07:35:00,781726,4,,0,0,11396.317884833532,0,,,,,1,1,,,,,,,,,,,
t_2023635_b_none_tn_1,07:38:00,07:38:00,781730,5,,0,0,12297.203725396654,0,,,,,1,1,,,,,,,,,,,
t_2023635_b_none_tn_1,07:42:00,07:42:00,794724,6,,0,0,14101.794858650008,0,,,,,1,1,,,,,,,,,,,
t_2113634_b_none_tn_1,00:10:00,00:10:00,781741,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_2113634_b_none_tn_1,00:13:00,00:13:00,781737,2,,0,0,1494.0878667779507,0,,,,,1,1,,,,,,,,,,,
t_2113634_b_none_tn_1,00:16:00,00:16:00,781733,3,,0,0,2578.063883639068,0,,,,,1,1,,,,,,,,,,,
t_2113634_b_none_tn_1,00:24:00,00:27:00,781716,4,,0,0,5670.8642651775535,0,,,,,1,1,,,,,,,,,,,
t_2113634_b_none_tn_1,00:30:00,00:30:00,781729,5,,0,0,6951.613885620579,0,,,,,1,1,,,,,,,,,,,
t_2113634_b_none_tn_1,00:33:00,00:33:00,781727,6,,0,0,8461.255945666391,0,,,,,1,1,,,,,,,,,,,
t_2113634_b_none_tn_1,00:37:00,00:37:00,781724,7,,0,0,10839.104722020002,0,,,,,1,1,,,,,,,,,,,
t_2113635_b_none_tn_0,00:10:00,00:10:00,781723,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_2113635_b_none_tn_0,00:14:00,00:14:00,781726,2,,0,0,2384.124830888485,0,,,,,1,1,,,,,,,,,,,
t_2113635_b_none_tn_0,00:17:00,00:17:00,781728,3,,0,0,3910.1959075220343,0,,,,,1,1,,,,,,,,,,,
t_2113635_b_none_tn_0,00:23:00,00:23:00,781715,4,,0,0,5196.877584394355,0,,,,,1,1,,,,,,,,,,,
t_2113635_b_none_tn_0,00:31:00,00:31:00,781732,5,,0,0,8297.984618387833,0,,,,,1,1,,,,,,,,,,,
t_2113635_b_none_tn_0,00:34:00,00:34:00,781736,6,,0,0,9385.50592208626,0,,,,,1,1,,,,,,,,,,,
t_2113635_b_none_tn_0,00:37:00,00:37:00,781740,7,,0,0,10879.593788799999,0,,,,,1,1,,,,,,,,,,,
t_2113645_b_none_tn_1,04:45:00,04:45:00,781723,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_2113645_b_none_tn_1,04:49:00,04:49:00,781726,2,,0,0,2384.124830888485,1,,,,,1,1,,,,,,,,,,,
t_2113645_b_none_tn_1,04:52:00,04:52:00,781728,3,,0,0,3910.1959075220343,1,,,,,1,1,,,,,,,,,,,
t_2113645_b_none_tn_1,05:02:00,05:02:00,781732,4,,0,0,6820.874790364741,1,,,,,1,1,,,,,,,,,,,
t_2113645_b_none_tn_1,05:04:00,05:04:00,781734,5,,0,0,7506.724329335247,1,,,,,1,1,,,,,,,,,,,
t_2113645_b_none_tn_1,05:05:00,05:05:00,781736,6,,0,0,7904.998956356849,1,,,,,1,1,,,,,,,,,,,
t_2113645_b_none_tn_1,05:06:00,05:06:00,781738,7,,0,0,8610.778099020454,1,,,,,1,1,,,,,,,,,,,
t_2113645_b_none_tn_1,05:08:00,05:08:00,781740,8,,0,0,9400.296380999998,1,,,,,1,1,,,,,,,,,,,
t_5302274_b_none_tn_0,10:08:00,10:08:00,781716,1,,0,0,0,0,,,,,1,1,,,,,,,,,,,
t_5302274_b_none_tn_0,10:12:00,10:12:00,781729,2,,0,0,1275.9548312683755,0,,,,,1,1,,,,,,,,,,,
t_5302274_b_none_tn_0,10:15:00,10:15:00,781730,3,,0,0,2721.6655750435675,0,,,,,1,1,,,,,,,,,,,
