stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
26722,,,14th Street,,40.73735,-73.99684,,,1,,America/New_York,,,0,
26723,,,23rd Street,,40.7429,-73.99278,,,1,,America/New_York,,,0,
26724,,,33rd Street,,40.74912,-73.98827,,,1,,America/New_York,,,0,
26725,,,9th Street,,40.73424,-73.9991,,,1,,America/New_York,,,0,
26726,,,Christopher Street,,40.73295,-74.00707,,,1,,America/New_York,,,0,
26727,,,Exchange Place,,40.71676,-74.03238,,,1,,America/New_York,,,0,
26728,,,Grove Street,,40.71966,-74.04245,,,1,,America/New_York,,,0,
26729,,,Harrison,,40.73942,-74.15587,,,1,,America/New_York,,,0,
26730,,,Hoboken,,40.73586,-74.02922,,,1,,America/New_York,,,0,
26731,,,Journal Square,,40.73301,-74.06289,,,1,,America/New_York,,,0,
26732,,,Newport,,40.72699,-74.03383,,,1,,America/New_York,,,0,
26733,,,Newark,,40.73454,-74.16375,,,1,,America/New_York,,,0,
26734,,,World Trade Center,,40.71271,-74.01193,,,1,,America/New_York,,,0,
781715,,,Hoboken,,40.73586,-74.02922,,,0,26730,,,,0,
781716,,,Hoboken,,40.73586,-74.02922,,,0,26730,,,,0,
781717,,,Hoboken,,40.73586,-74.02922,,,0,26730,,,,0,
781718,,,Newark,,40.73454,-74.16375,,,0,26733,,,,0,
781719,,,Newark,,40.73454,-74.16375,,,0,26733,,,,0,
781720,,,Harrison,,40.73942,-74.15587,,,0,26729,,,,0,
781721,,,Harrison,,40.73942,-74.15587,,,0,26729,,,,0,
781722,,,Journal Square,,40.73301,-74.06289,,,0,26731,,,,0,
781723,,,Journal Square,,40.73301,-74.06289,,,0,26731,,,,0,
781724,,,Journal Square,,40.73301,-74.06289,,,0,26731,,,,0,
781725,,,Journal Square,,40.73301,-74.06289,,,0,26731,,,,0,
781726,,,Grove Street,,40.71966,-74.04245,,,0,26728,,,,0,
781727,,,Grove Street,,40.71966,-74.04245,,,0,26728,,,,0,
781728,,,Newport,,40.72699,-74.03383,,,0,26732,,,,0,
781729,,,Newport,,40.72699,-74.03383,,,0,26732,,,,0,
781730,,,Exchange Place,,40.71676,-74.03238,,,0,26727,,,,0,
781731,,,Exchange Place,,40.71676,-74.03238,,,0,26727,,,,0,
781732,,,Christopher Street,,40.73295,-74.00707,,,0,26726,,,,0,
781733,,,Christopher Street,,40.73295,-74.00707,,,0,26726,,,,0,
781734,,,9th Street,,40.73424,-73.9991,,,0,26725,,,,0,
781735,,,9th Street,,40.73424,-73.9991,,,0,26725,,,,0,
781736,,,14th Street,,40.73735,-73.99684,,,0,26722,,,,0,
781737,,,14th Street,,40.73735,-73.99684,,,0,26722,,,,0,
781738,,,23rd Street,,40.7429,-73.99278,,,0,26723,,,,0,
781739,,,23rd Street,,40.7429,-73.99278,,,0,26723,,,,0,
781740,,,33rd Street,,40.74912,-73.98827,,,0,26724,,,,0,
781741,,,33rd Street,,40.74912,-73.98827,,,0,26724,,,,0,
781763,,,World Trade Center,,40.71271,-74.01193,,,0,26734,,,,0,
794724,,,World Trade Center,,40.71271,-74.01193,,,0,26734,,,,0,
