shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SHP11,43.33310318,5.42970276,0,
SHP11,43.33249283,5.42923355,1,
SHP11,43.33209229,5.42889309,2,
SHP11,43.33192825,5.42874002,3,
SHP11,43.33174133,5.42853880,4,
SHP11,43.33125305,5.42805862,5,
SHP11,43.33092117,5.42774248,6,
SHP11,43.33077621,5.42762709,7,
SHP11,43.33057785,5.42750645,8,
SHP11,43.33051682,5.42747927,9,
SHP11,43.33039856,5.42745256,10,
SHP11,43.33019257,5.42741251,11,
SHP11,43.33009720,5.42740679,12,
SHP11,43.32962036,5.42743397,13,
SHP11,43.32936096,5.42747116,14,
SHP11,43.32913589,5.42749548,15,
SHP11,43.32899094,5.42750645,16,
SHP11,43.32862854,5.42751169,17,
SHP11,43.32835770,5.42746067,18,
SHP11,43.32817459,5.42737198,19,
SHP11,43.32798004,5.42726469,20,
SHP11,43.32780838,5.42714930,21,
SHP11,43.32775497,5.42708254,22,
SHP11,43.32769394,5.42698050,23,
SHP11,43.32721329,5.42617321,24,
SHP11,43.32645798,5.42495537,25,
SHP11,43.32610321,5.42441082,26,
SHP11,43.32549667,5.42323875,27,
SHP11,43.32531738,5.42285776,28,
SHP11,43.32509232,5.42241812,29,
SHP11,43.32484436,5.42193794,30,
SHP11,43.32474136,5.42173147,31,
SHP11,43.32468796,5.42162943,32,
SHP11,43.32462692,5.42151690,33,
SHP11,43.32428360,5.42088938,34,
SHP11,43.32386398,5.42020798,35,
SHP11,43.32365036,5.41987276,36,
SHP11,43.32344437,5.41954565,37,
SHP11,43.32304764,5.41899014,38,
SHP11,43.32277679,5.41861200,39,
SHP11,43.32248688,5.41823912,40,
SHP11,43.32134247,5.41687918,41,
SHP11,43.32096863,5.41645288,42,
SHP11,43.31993484,5.41528368,43,
SHP11,43.31922531,5.41446781,44,
SHP11,43.31867981,5.41380310,45,
SHP11,43.31819153,5.41315889,46,
SHP11,43.31765747,5.41235447,47,
SHP11,43.31727219,5.41172695,48,
SHP11,43.31682587,5.41094351,49,
SHP11,43.31644821,5.41012812,50,
SHP11,43.31616974,5.40955973,51,
SHP11,43.31611633,5.40937710,52,
SHP11,43.31605530,5.40918922,53,
SHP11,43.31594849,5.40872526,54,
SHP11,43.31568527,5.40754271,55,
SHP11,43.31553268,5.40683699,56,
SHP11,43.31545258,5.40639973,57,
SHP11,43.31548691,5.40639305,58,
SHP11,43.31545258,5.40639877,59,
SHP11,43.31539917,5.40614939,60,
SHP11,43.31529999,5.40568638,61,
SHP11,43.31526566,5.40554428,62,
SHP11,43.31521988,5.40541840,63,
SHP11,43.31519318,5.40530586,64,
SHP11,43.31515884,5.40521955,65,
SHP11,43.31513214,5.40516615,66,
SHP11,43.31492615,5.40479612,67,
SHP11,43.31483841,5.40471029,68,
SHP11,43.31475067,5.40460825,69,
SHP11,43.31468201,5.40454102,70,
SHP11,43.31461716,5.40448999,71,
SHP11,43.31457901,5.40446615,72,
SHP11,43.31453323,5.40443373,73,
SHP11,43.31435776,5.40429163,74,
SHP11,43.31416321,5.40414143,75,
SHP11,43.31396866,5.40399933,76,
SHP11,43.31375885,5.40384674,77,
SHP11,43.31358337,5.40372324,78,
SHP11,43.30915070,5.40143633,79,
SHP11,43.30915833,5.40139723,80,
SHP11,43.30915070,5.40143633,81,
SHP11,43.30906296,5.40138960,82,
SHP11,43.30789948,5.40073776,83,
SHP11,43.30685425,5.40019846,84,
SHP11,43.30644989,5.40002155,85,
SHP11,43.30618286,5.39988756,86,
SHP11,43.30591965,5.39973211,87,
SHP11,43.30573273,5.39961958,88,
SHP11,43.30550385,5.39948511,89,
SHP11,43.30530930,5.39934587,90,
SHP11,43.30516434,5.39922523,91,
SHP11,43.30505753,5.39913130,92,
SHP11,43.30497742,5.39905357,93,
SHP11,43.30488205,5.39889002,94,
SHP11,43.30478287,5.39873409,95,
SHP11,43.30470276,5.39856243,96,
SHP11,43.30462646,5.39839077,97,
SHP11,43.30456924,5.39824343,98,
SHP11,43.30451202,5.39806366,99,
SHP11,43.30440521,5.39773369,100,
SHP11,43.30432129,5.39743853,101,
SHP11,43.30428314,5.39723206,102,
SHP11,43.30421448,5.39686489,103,
SHP11,43.30414200,5.39647055,104,
SHP11,43.30408096,5.39611912,105,
SHP11,43.30408096,5.39611769,106,
SHP11,43.30395889,5.39532804,107,
SHP11,43.30383682,5.39450169,108,
SHP11,43.30357742,5.39310694,109,
SHP11,43.30068207,5.38672304,110,
SHP11,43.30057907,5.38656759,111,
SHP11,43.30037308,5.38619471,112,
SHP11,43.30037308,5.38619423,113,
SHP11,43.30015945,5.38572550,114,
SHP11,43.29998779,5.38517809,115,
SHP11,43.29989243,5.38470602,116,
SHP11,43.29987717,5.38429308,117,
SHP11,43.29990005,5.38399792,118,
SHP11,43.29993820,5.38361216,119,
SHP11,43.30001068,5.38336515,120,
SHP11,43.30016708,5.38301086,121,
SHP11,43.30036545,5.38252831,122,
SHP11,43.30049515,5.38228703,123,
SHP11,43.30059052,5.38210440,124,
SHP11,43.30075073,5.38186312,125,
SHP11,43.30105972,5.38145018,126,
SHP11,43.30128479,5.38117647,127,
SHP11,43.30152130,5.38093758,128,
SHP11,43.30196381,5.38048697,129,
SHP11,43.30236053,5.38013363,130,
SHP11,43.30236053,5.38013506,131,
SHP11,43.30262375,5.37985420,132,
SHP11,43.30340576,5.37906837,133,
SHP11,43.30352402,5.37888050,134,
SHP11,43.30361176,5.37868214,135,
SHP11,43.30364609,5.37855339,136,
SHP11,43.30368805,5.37844038,137,
SHP11,43.30372620,5.37826347,138,
SHP11,43.30374908,5.37809181,139,
SHP11,43.30375671,5.37790966,140,
SHP11,43.30377197,5.37776470,141,
SHP11,43.30376053,5.37759304,142,
SHP11,43.30373383,5.37743235,143,
SHP11,43.30364990,5.37715864,144,
SHP11,43.30352783,5.37684727,145,
SHP11,43.30341721,5.37663269,146,
SHP11,43.30333328,5.37650919,147,
SHP11,43.30313110,5.37625170,148,
SHP11,43.30274963,5.37570477,149,
SHP11,43.30232239,5.37529707,150,
SHP11,43.30190277,5.37495375,151,
SHP11,43.30152512,5.37477112,152,
SHP11,43.30046463,5.37438917,153,
SHP11,43.30041504,5.37437725,154,
SHP11,43.30031967,5.37436390,155,
SHP11,43.30031967,5.37433815,156,
SHP11,43.30031967,5.37436390,157,
SHP11,43.29961014,5.37418127,158,
SHP11,43.29937744,5.37413311,159,
SHP11,43.29909134,5.37410069,160,
SHP11,43.29808426,5.37405777,161,
SHP11,43.29730225,5.37404156,162,
SHP11,43.29713440,5.37403631,163,
SHP11,43.29695892,5.37404728,164,
SHP11,43.29660797,5.37406874,165,
SHP11,43.29600143,5.37414932,166,
SHP11,43.29581451,5.37418127,167,
SHP11,43.29564667,5.37421465,168,
SHP11,43.29563904,5.37418127,169,
SHP11,43.29564667,5.37421322,170,
SHP11,43.29430771,5.37452459,171,
SHP11,43.29374695,5.37456751,172,
SHP11,43.29323578,5.37464285,173,
SHP11,43.29316711,5.37465334,174,
SHP11,43.29310989,5.37466431,175,
SHP11,43.29301071,5.37470150,176,
SHP11,43.29290771,5.37478733,177,
SHP11,43.29283905,5.37486792,178,
SHP11,43.29273224,5.37502337,179,
SHP11,43.29262543,5.37524891,180,
SHP11,43.29249573,5.37558413,181,
SHP11,43.29233170,5.37590885,182,
SHP11,43.29211426,5.37627316,183,
SHP11,43.29184341,5.37663841,184,
SHP11,43.29159164,5.37693834,185,
SHP11,43.29138947,5.37712622,186,
SHP11,43.29126740,5.37726593,187,
SHP11,43.29108047,5.37744808,188,
SHP11,43.29097366,5.37753391,189,
SHP11,43.29066467,5.37774849,190,
SHP11,43.29032516,5.37799835,191,
SHP11,43.28944397,5.37860155,192,
SHP11,43.28881454,5.37885380,193,
SHP11,43.28709793,5.37957239,194,
SHP11,43.28668594,5.37979221,195,
SHP11,43.28641891,5.38006592,196,
SHP11,43.28630447,5.38018417,197,
SHP11,43.28623962,5.38025904,198,
SHP11,43.28604889,5.38061857,199,
SHP11,43.28583145,5.38131618,200,
SHP11,43.28577805,5.38206148,201,
SHP11,43.28574753,5.38279104,202,
SHP11,43.28583908,5.38335991,203,
SHP11,43.28594208,5.38385868,204,
SHP11,43.28615570,5.38453436,205,
SHP11,43.28814316,5.39198589,206,
SHP11,43.28813934,5.39198446,207,
SHP11,43.28960037,5.39767742,208,
SHP11,43.29003906,5.39922237,209,
SHP11,43.29018021,5.39945841,210,
SHP11,43.29037094,5.39965677,211,
SHP11,43.29075241,5.40002966,212,
SHP11,43.29099274,5.40026045,213,
SHP11,43.29115677,5.40043211,214,
SHP11,43.29115677,5.40043068,215,
SHP11,43.29130554,5.40057945,216,
SHP11,43.29154587,5.40079403,217,
SHP11,43.29212189,5.40141106,218,
SHP11,43.29236603,5.40167379,219,
SHP11,43.29288483,5.40251064,220,
SHP11,43.29324341,5.40310621,221,
SHP11,43.29418182,5.40428114,222,
SHP11,43.29513931,5.40545034,223,
SHP11,43.29549789,5.40615845,224,
SHP11,43.29550552,5.40614128,225,
SHP11,43.29559326,5.40630054,226,
SHP11,43.29651260,5.40790606,227,
SHP11,43.29717255,5.40905380,228,
SHP11,43.29836655,5.41107512,229,
SHP11,43.29896545,5.41208887,230,
SHP11,43.29919052,5.41245890,231,
SHP11,43.29956818,5.41302252,232,
SHP11,43.29998016,5.41358566,233,
SHP11,43.29998779,5.41358137,234,
SHP11,43.30141830,5.41466093,235,
SHP11,43.30173874,5.41495609,236,
SHP11,43.30199432,5.41521883,237,
SHP11,43.30223083,5.41557837,238,
SHP11,43.30242920,5.41599131,239,
SHP11,43.30271530,5.41664076,240,
SHP11,43.30328369,5.41860962,241,
SHP11,43.30328369,5.41861343,242,
SHP11,43.30349731,5.42080879,243,
SHP11,43.30370331,5.42271328,244,
SHP11,43.30380249,5.42377520,245,
SHP11,43.30384064,5.42421532,246,
SHP18,43.32793045,5.36728287,0,
SHP18,43.32736969,5.36743832,1,
SHP18,43.32713318,5.36758232,2,
SHP18,43.32691956,5.36773729,3,
SHP18,43.32663345,5.36800671,4,
SHP18,43.32605743,5.36855555,5,
SHP18,43.32547760,5.36909294,6,
SHP18,43.32497787,5.36942291,7,
SHP18,43.32440186,5.36977577,8,
SHP18,43.32351685,5.37034178,9,
SHP18,43.32291412,5.37079906,10,
SHP18,43.32270813,5.37097311,11,
SHP18,43.32249451,5.37110758,12,
