trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
RTM-186394_01M1HSA0101,05:00:00,05:00:00,RTM-00003493,0,,0,0,,1
RTM-186394_01M1HSA0101,05:01:02,05:01:02,RTM-00003494,1,,0,0,,1
RTM-186394_01M1HSA0101,05:02:09,05:02:09,RTM-00003495,2,,0,0,,1
RTM-186394_01M1HSA0101,05:03:24,05:03:24,RTM-00003496,3,,0,0,,1
RTM-186394_01M1HSA0101,05:04:41,05:04:41,RTM-00002472,4,,0,0,,1
RTM-186394_01M1HSA0101,05:06:05,05:06:05,RTM-00002468,5,,0,0,,1
RTM-186394_01M1HSA0101,05:07:44,05:07:44,RTM-00002467,6,,0,0,,1
RTM-186394_01M1HSA0101,05:09:16,05:09:16,RTM-00002301,7,,0,0,,1
RTM-186394_01M1HSA0101,05:10:45,05:10:45,RTM-00002300,8,,0,0,,1
RTM-186394_01M1HSA0101,05:12:01,05:12:01,RTM-00002299,9,,0,0,,1
RTM-186394_01M1HSA0101,05:13:31,05:13:31,RTM-00002298,10,,0,0,,1
RTM-186394_01M1HSA0101,05:14:58,05:14:58,RTM-00002297,11,,0,0,,1
RTM-186394_01M1HSA0101,05:16:32,05:16:32,RTM-00002296,12,,0,0,,1
RTM-186394_01M1HSA0101,05:17:51,05:17:51,RTM-00002295,13,,0,0,,1
RTM-186394_01M1HSA0101,05:19:27,05:19:27,RTM-00002294,14,,0,0,,1
RTM-186394_01M1HSA0101,05:21:04,05:21:04,RTM-00002293,15,,0,0,,1
RTM-186394_01M1HSA0101,05:22:21,05:22:21,RTM-00002292,16,,0,0,,1
RTM-186394_01M1HSA0101,05:23:41,05:23:41,RTM-00002388,17,,0,0,,1
RTM-186395_01M1HSA0101,05:00:00,05:00:00,RTM-00002275,0,,0,0,,1
RTM-186395_01M1HSA0101,05:01:42,05:01:42,RTM-00002277,1,,0,0,,1
RTM-186395_01M1HSA0101,05:03:01,05:03:01,RTM-00002278,2,,0,0,,1
RTM-186395_01M1HSA0101,05:04:36,05:04:36,RTM-00002279,3,,0,0,,1
RTM-186395_01M1HSA0101,05:05:59,05:05:59,RTM-00002280,4,,0,0,,1
RTM-186395_01M1HSA0101,05:07:22,05:07:22,RTM-00002281,5,,0,0,,1
RTM-186395_01M1HSA0101,05:08:54,05:08:54,RTM-00002282,6,,0,0,,1
RTM-186395_01M1HSA0101,05:10:23,05:10:23,RTM-00002283,7,,0,0,,1
RTM-186395_01M1HSA0101,05:11:44,05:11:44,RTM-00002284,8,,0,0,,1
RTM-186395_01M1HSA0101,05:13:02,05:13:02,RTM-00002285,9,,0,0,,1
RTM-186395_01M1HSA0101,05:14:32,05:14:32,RTM-00002286,10,,0,0,,1
RTM-186395_01M1HSA0101,05:16:22,05:16:22,RTM-00002287,11,,0,0,,1
RTM-186395_01M1HSA0101,05:17:43,05:17:43,RTM-00002302,12,,0,0,,1
RTM-186395_01M1HSA0101,05:19:25,05:19:25,RTM-00002303,13,,0,0,,1
RTM-186395_01M1HSA0101,05:20:40,05:20:40,RTM-00003489,14,,0,0,,1
RTM-186395_01M1HSA0101,05:21:59,05:21:59,RTM-00003490,15,,0,0,,1
RTM-186395_01M1HSA0101,05:23:11,05:23:11,RTM-00003491,16,,0,0,,1
RTM-186395_01M1HSA0101,05:23:53,05:23:53,RTM-00003493,17,,0,0,,1
RTM-196766_01M2HSA0101,04:50:00,04:50:00,RTM-00004263,0,,0,0,,1
RTM-196766_01M2HSA0101,04:51:54,04:51:54,RTM-00002304,1,,0,0,,1
RTM-196766_01M2HSA0101,04:53:07,04:53:07,RTM-00002305,2,,0,0,,1
RTM-196766_01M2HSA0101,04:54:22,04:54:22,RTM-00002306,3,,0,0,,1
RTM-196766_01M2HSA0101,04:55:48,04:55:48,RTM-00002307,4,,0,0,,1
RTM-196766_01M2HSA0101,04:56:57,04:56:57,RTM-00002308,5,,0,0,,1
RTM-196766_01M2HSA0101,04:58:10,04:58:10,RTM-00002309,6,,0,0,,1
RTM-196766_01M2HSA0101,04:59:23,04:59:23,RTM-00002310,7,,0,0,,1
RTM-196766_01M2HSA0101,05:00:26,05:00:26,RTM-00002311,8,,0,0,,1
RTM-196766_01M2HSA0101,05:01:54,05:01:54,RTM-00002313,9,,0,0,,1
RTM-196766_01M2HSA0101,05:03:08,05:03:08,RTM-00002314,10,,0,0,,1
RTM-196766_01M2HSA0101,05:04:30,05:04:30,RTM-00002315,11,,0,0,,1
