stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,ext_netex_id
RTM-00002275,00002275,La Rose,,43.33313800,5.42963450,,,0,,2,RTM:PNT:00002275
RTM-00002277,00002277,Frais Vallon,,43.32554050,5.42320150,,,0,,2,RTM:PNT:00002277
RTM-00002278,00002278,Malpassé,,43.32098550,5.41643150,,,0,,2,RTM:PNT:00002278
RTM-00002279,00002279,Saint-Just,,43.31548600,5.40639300,,,0,,2,RTM:PNT:00002279
RTM-00002280,00002280,Chartreux,,43.30915900,5.40139700,,,0,,2,RTM:PNT:00002280
RTM-00002281,00002281,Cinq Avenues Longchamp,,43.30410250,5.39611100,,,0,,2,RTM:PNT:00002281
RTM-00002282,00002282,Réformés Canebière,,43.30041950,5.38616300,,,0,,2,RTM:PNT:00002282
RTM-00002283,00002283,Saint-Charles,,43.30237050,5.38015250,,,0,,2,RTM:PNT:00002283
RTM-00002284,00002284,Colbert,,43.30031950,5.37433800,,,0,,2,RTM:PNT:00002284
RTM-00002285,00002285,Vieux-Port,,43.29563900,5.37418150,,,0,,2,RTM:PNT:00002285
RTM-00002286,00002286,Estrangin,,43.29031000,5.37796350,,,0,,2,RTM:PNT:00002286
RTM-00002287,00002287,Castellane,,43.28611850,5.38455200,,,0,,2,RTM:PNT:00002287
RTM-00002292,00002292,Frais Vallon,,43.32546700,5.42325800,,,0,,2,RTM:PNT:00002292
RTM-00002293,00002293,Malpassé,,43.32094450,5.41644000,,,0,,2,RTM:PNT:00002293
RTM-00002294,00002294,Saint-Just,,43.31541150,5.40643650,,,0,,2,RTM:PNT:00002294
RTM-00002295,00002295,Chartreux,,43.30910600,5.40148200,,,0,,2,RTM:PNT:00002295
RTM-00002296,00002296,Cinq Avenues Longchamp,,43.30405850,5.39610850,,,0,,2,RTM:PNT:00002296
RTM-00002297,00002297,Réformés Canebière,,43.30040100,5.38620250,,,0,,2,RTM:PNT:00002297
RTM-00002298,00002298,Saint-Charles,,43.30233000,5.38010500,,,0,,2,RTM:PNT:00002298
RTM-00002299,00002299,Colbert,,43.30029550,5.37439800,,,0,,2,RTM:PNT:00002299
RTM-00002300,00002300,Vieux-Port,,43.29565450,5.37424650,,,0,,2,RTM:PNT:00002300
RTM-00002301,00002301,Estrangin,,43.29032900,5.37802700,,,0,,2,RTM:PNT:00002301
RTM-00002302,00002302,Baille,,43.28808900,5.39200850,,,0,,2,RTM:PNT:00002302
RTM-00002303,00002303,La Timone,M1,43.29112200,5.40048350,,,0,,2,RTM:PNT:00002303
RTM-00002304,00002304,Bougainville,,43.32084650,5.37135200,,,0,,2,RTM:PNT:00002304
RTM-00002305,00002305,National,,43.31512350,5.37296900,,,0,,2,RTM:PNT:00002305
RTM-00002306,00002306,Désirée Clary,,43.30939900,5.37231950,,,0,,2,RTM:PNT:00002306
RTM-00002307,00002307,Joliette,,43.30388050,5.36786700,,,0,,2,RTM:PNT:00002307
RTM-00002308,00002308,Jules Guesde,,43.30195700,5.37402500,,,0,,2,RTM:PNT:00002308
RTM-00002309,00002309,Saint-Charles,,43.30228400,5.38000700,,,0,,2,RTM:PNT:00002309
RTM-00002310,00002310,Noailles,,43.29678050,5.38121200,,,0,,2,RTM:PNT:00002310
RTM-00002311,00002311,Notre-Dame du Mont,,43.29281200,5.38363650,,,0,,2,RTM:PNT:00002311
RTM-00002313,00002313,Castellane,piv métro,43.28514350,5.38433100,,,0,,2,RTM:PNT:00002313
RTM-00002314,00002314,Périer,,43.27937950,5.38758800,,,0,,2,RTM:PNT:00002314
RTM-00002315,00002315,Rond-Point du Prado,,43.27138700,5.39249400,,,0,,2,RTM:PNT:00002315
RTM-00002316,00002316,Sainte-Marguerite Dromel,,43.27054450,5.40219750,,,0,,2,RTM:PNT:00002316
RTM-00002317,00002317,National,,43.31512450,5.37307901,,,0,,2,RTM:PNT:00002317
RTM-00002318,00002318,Désirée Clary,,43.30932950,5.37237550,,,0,,2,RTM:PNT:00002318
RTM-00002319,00002319,Joliette,,43.30391050,5.36797350,,,0,,2,RTM:PNT:00002319
RTM-00002320,00002320,Jules Guesde,,43.30200000,5.37398550,,,0,,2,RTM:PNT:00002320
RTM-00002321,00002321,Saint-Charles,,43.30240800,5.38025750,,,0,,2,RTM:PNT:00002321
RTM-00002322,00002322,Noailles,,43.29677350,5.38127700,,,0,,2,RTM:PNT:00002322
RTM-00002323,00002323,Notre-Dame du Mont,,43.29282650,5.38369050,,,0,,2,RTM:PNT:00002323
RTM-00002324,00002324,Castellane,,43.28517550,5.38443350,,,0,,2,RTM:PNT:00002324
RTM-00002325,00002325,Périer,,43.27940500,5.38768950,,,0,,2,RTM:PNT:00002325
RTM-00002326,00002326,Rond-Point du Prado,,43.27143000,5.39265200,,,0,,2,RTM:PNT:00002326
RTM-00002327,00002327,Sainte-Marguerite Dromel,,43.27061800,5.40213150,,,0,,2,RTM:PNT:00002327
RTM-00002333,00002333,Bougainville,,43.32084400,5.37146250,,,0,,2,RTM:PNT:00002333
RTM-00002388,00002388,La Rose,,43.33309700,5.42974050,,,0,,2,RTM:PNT:00002388
RTM-00002467,00002467,Castellane,,43.28619500,5.38451200,,,0,,2,RTM:PNT:00002467
RTM-00002468,00002468,Baille,,43.28816850,5.39197650,,,0,,2,RTM:PNT:00002468
RTM-00002472,00002472,La Timone,,43.29117250,5.40038850,,,0,,2,RTM:PNT:00002472
RTM-00003489,00003489,La Blancarde,,43.29543800,5.40619900,,,0,,2,RTM:PNT:00003489
RTM-00003490,00003490,Louis Armand,,43.29995100,5.41363000,,,0,,2,RTM:PNT:00003490
RTM-00003491,00003491,Saint-Barnabé,,43.30324100,5.41861800,,,0,,2,RTM:PNT:00003491
RTM-00003493,00003493,La Fourragère,,43.30387700,5.42421050,,,0,,2,RTM:PNT:00003493
RTM-00003494,00003494,Saint-Barnabé,,43.30331800,5.41859250,,,0,,2,RTM:PNT:00003494
RTM-00003495,00003495,Louis Armand,,43.30001300,5.41355750,,,0,,2,RTM:PNT:00003495
RTM-00003496,00003496,La Blancarde,,43.29551000,5.40612400,,,0,,2,RTM:PNT:00003496
RTM-00004263,00004263,Gèze,,43.32792836,5.36724843,,,0,,2,RTM:PNT:00004263
RTM-00004265,00004265,Gèze,,43.32794836,5.36735773,,,0,,2,RTM:PNT:00004265
