trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
941280,05:05:00,05:05:00,31790,1,,0,0,,1
941280,05:06:53,05:06:53,1917,2,,0,0,1.5182,0
941280,05:08:00,05:08:00,1918,3,,0,0,2.3905,1
941280,05:08:33,05:08:33,1919,4,,0,0,3.1327,0
941280,05:09:15,05:09:15,1908,5,,0,0,4.0639,0
941280,05:10:00,05:10:00,1921,6,,0,0,5.0282,1
941280,05:10:47,05:10:47,30519,7,,0,0,5.5939,0
941280,05:11:41,05:11:41,1923,8,,0,0,6.243,0
941280,05:13:21,05:13:21,1924,9,,0,0,7.4508,0
941280,05:15:00,05:15:00,1925,10,,0,0,8.6183,1
941280,05:15:53,05:15:53,1902,11,,0,0,9.3331,0
941280,05:17:00,05:17:00,1927,12,,0,0,10.2348,0
941280,05:17:48,05:17:48,1900,13,,0,0,10.8799,0
941280,05:18:12,05:18:12,1929,14,,0,0,11.2075,0
941280,05:20:00,05:20:00,1930,15,,0,0,12.6404,1
941280,05:20:52,05:20:52,1931,16,,0,0,13.7425,0
941280,05:21:49,05:21:49,1932,17,,0,0,14.9604,0
941280,05:23:00,05:23:00,1895,18,,0,0,16.4378,1
941280,05:25:00,05:25:00,1934,19,,0,0,17.7673,1
941280,05:27:52,05:27:52,1935,20,,0,0,19.7772,0
941280,05:29:00,05:29:00,1892,21,,0,0,20.5613,1
941280,05:32:00,05:32:00,30520,22,,0,0,21.5633,1
941374,05:41:00,05:41:00,32185,1,,0,0,,1
941374,05:43:00,05:43:00,32186,2,,0,0,1.0029,1
941374,05:44:07,05:44:07,32187,3,,0,0,1.7821,0
941374,05:47:00,05:47:00,32188,4,,0,0,3.7937,1
941374,05:48:00,05:48:00,32189,5,,0,0,5.1189,1
941374,05:49:34,05:49:34,32190,6,,0,0,6.6079,0
941374,05:50:50,05:50:50,32191,7,,0,0,7.8177,0
941374,05:52:00,05:52:00,32192,8,,0,0,8.9157,1
941374,05:53:47,05:53:47,32193,9,,0,0,10.3599,0
941374,05:54:11,05:54:11,32194,10,,0,0,10.6834,0
941374,05:54:58,05:54:58,32195,11,,0,0,11.3262,0
941374,05:56:04,05:56:04,32196,12,,0,0,12.2252,0
941374,05:57:00,05:57:00,32197,13,,0,0,12.9522,1
941374,05:58:37,05:58:37,32198,14,,0,0,14.1148,0
941374,06:00:18,06:00:18,32199,15,,0,0,15.3261,0
941374,06:01:11,06:01:11,32200,16,,0,0,15.9622,0
941374,06:02:00,06:02:00,32201,17,,0,0,16.5316,1
941374,06:03:28,06:03:28,32202,18,,0,0,17.5008,0
941374,06:04:52,06:04:52,32203,19,,0,0,18.4275,0
941374,06:06:00,06:06:00,32204,20,,0,0,19.1728,1
941374,06:08:11,06:08:11,32207,21,,0,0,20.0442,0
941374,06:12:00,06:12:00,32206,22,,0,0,21.5633,1
977710,09:05:15,09:05:15,32134,1,,0,0,,1
977710,09:07:30,09:07:30,32135,2,,0,0,1.2904,1
977710,09:09:15,09:09:15,32136,3,,0,0,2.1525,1
977710,09:10:45,09:10:45,32137,4,,0,0,2.7694,1
977710,09:12:15,09:12:15,32138,5,,0,0,3.4928,1
977710,09:14:00,09:14:00,32139,6,,0,0,4.3894,1
977710,09:15:30,09:15:30,32140,7,,0,0,4.9182,1
977710,09:17:00,09:17:00,33030,8,,0,0,5.3434,1
977710,09:19:00,09:19:00,32142,9,,0,0,5.899,1
977710,09:20:30,09:20:30,32143,10,,0,0,6.5059,1
977710,09:22:00,09:22:00,32146,11,,0,0,7.0368,1
977710,09:23:30,09:23:30,32147,12,,0,0,7.5384,1
977710,09:25:30,09:25:30,32148,13,,0,0,8.3569,1
977710,09:27:15,09:27:15,32149,14,,0,0,9.3059,1
977710,09:28:45,09:28:45,32150,15,,0,0,10.0923,1
977710,09:30:15,09:30:15,32151,16,,0,0,10.9616,1
977710,09:32:00,09:32:00,32152,17,,0,0,11.8299,1
977710,09:34:00,09:34:00,32153,18,,0,0,12.7043,1
977710,09:35:15,09:35:15,32154,19,,0,0,13.5706,1
977710,09:36:30,09:36:30,32155,20,,0,0,14.2586,1
977710,09:38:15,09:38:15,33028,21,,0,0,15.2167,1
977710,09:43:00,09:43:00,20965,22,,0,0,16.6763,1
979179,20:58:00,20:58:00,32144,1,,0,0,,1
979179,20:59:30,20:59:30,32145,2,,0,0,0.4416,1
979179,21:01:15,21:01:15,32146,3,,0,0,1.9491,1
979179,21:03:00,21:03:00,32147,4,,0,0,2.4507,1
979179,21:05:30,21:05:30,32150,5,,0,0,5.0046,1
979179,21:07:45,21:07:45,32152,6,,0,0,6.7423,1
979179,21:12:00,21:12:00,32156,7,,0,0,10.1291,1
979179,21:16:45,21:16:45,20965,8,,0,0,11.5887,1
