stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,level_id
82,82,Olney Transit Center - B2 & B3,40.039066,-75.144749,,,0,32095,1,
140,140,Erie,40.009234,-75.15125,50,,0,,2,
152,152,NRG Station,39.905433,-75.17391,,,0,33036,1,
1279,1279,Broad-Spring Garden,39.962392,-75.161471,50,,0,,1,
1280,1280,Race-Vine,39.95703,-75.162601,50,,0,32370,1,
1281,1281,15th St/City Hall - B2,39.952473,-75.164129,,,0,33034,2,
1282,1282,Walnut-Locust,39.948734,-75.164462,50,,0,,1,
1892,1892,Bridgeport,40.104946,-75.348094,1,,0,,2,
1895,1895,Gulph Mills,40.070847,-75.342278,1,,0,31031,1,
1900,1900,Stadium,40.032699,-75.340729,1,,0,,1,
1902,1902,Roberts Rd,40.021401,-75.330234,1,,0,,2,
1908,1908,Beechwood-Brookline,39.986548,-75.291448,1,,0,,2,
1917,1917,Parkview,39.969026,-75.27478,1,,0,,2,
1918,1918,Township Line Rd,39.974818,-75.281536,1,,0,,2,
1919,1919,Penfield,39.980997,-75.283933,1,,0,,2,
1921,1921,Wynnewood Rd,39.9934,-75.298182,1,,0,,1,
1923,1923,Ardmore Av,39.999936,-75.309419,1,,0,,1,
1924,1924,Haverford South,40.00983,-75.315099,1,,0,,2,
1925,1925,Bryn Mawr South,40.018084,-75.323383,1,,0,,2,
1927,1927,Garrett Hill,40.027974,-75.336361,1,,0,,2,
1929,1929,Villanova South,40.034085,-75.344025,1,,0,,1,
1930,1930,Radnor South,40.042052,-75.353558,1,,0,,2,
1931,1931,County Line,40.050063,-75.347341,1,,0,,2,
1932,1932,Matsonford,40.058206,-75.339408,1,,0,,2,
1934,1934,Hughes Park,40.081535,-75.349079,1,,0,,2,
1935,1935,DeKalb St,40.098736,-75.352018,1,,0,,2,
20845,20845,69th St Transit Center,39.962526,-75.258602,,,0,31034,1,
20965,20965,Fern Rock Transit Center,40.04185,-75.136757,50,,0,,1,
20966,20966,Broad-Girard,39.971473,-75.159488,50,,0,,1,
30519,30519,Ardmore Junction,39.996289,-75.303659,1,,0,,2,
30520,30520,Norristown Transit Center,40.113459,-75.345114,1,,0,31038,1,
31031,31031,Gulph Mills Station,40.070731,-75.342408,1,,1,,1,
31033,31033,Frankford Transit Center,40.023303,-75.077078,,,1,,1,
31034,31034,69th Street Transit Center,39.962267,-75.258756,,,1,,1,
31038,31038,Norristown Transit Center,40.113566,-75.344971,1,,1,,1,
31790,31790,69th St Transit Center,39.962759,-75.259156,,,0,31034,1,
32095,32095,Olney Transit Center,40.038747,-75.144114,,,1,,1,
32134,32134,NRG Station,39.905424,-75.173804,,,0,33036,1,
32135,32135,Oregon,39.91678,-75.171332,50,,0,,1,
32136,32136,Snyder,39.924371,-75.169652,50,,0,,2,
32137,32137,Tasker-Morris,39.929804,-75.168475,50,,0,,1,
32138,32138,Ellsworth-Federal,39.936173,-75.167082,50,,0,,2,
32139,32139,Lombard-South,39.944068,-75.165377,50,,0,,2,
32140,32140,Walnut-Locust,39.948734,-75.164368,50,,0,,1,
32142,32142,Race-Vine,39.957021,-75.162589,50,,0,32370,1,
32143,32143,Broad-Spring Garden,39.962374,-75.161388,50,,0,,1,
32144,32144,8th-Market,39.951138,-75.153542,50,,0,,1,
32145,32145,Chinatown,39.955027,-75.1527,50,,0,,2,
32146,32146,Fairmount,39.96703,-75.160379,50,,0,,2,
32147,32147,Broad-Girard,39.971464,-75.159393,50,,0,,1,
32148,32148,Cecil B. Moore,39.978663,-75.157842,50,,0,,1,
32149,32149,Susquehanna-Dauphin,39.987022,-75.156027,50,,0,,1,
32150,32150,North Philadelphia,39.993935,-75.154547,50,,0,,1,
32151,32151,Broad-Allegheny,40.001589,-75.152828,50,,0,,1,
32152,32152,Erie,40.009234,-75.151155,50,,0,,2,
32153,32153,Hunting Park,40.016933,-75.149482,50,,0,,2,
32154,32154,Wyoming,40.02456,-75.147809,50,,0,,2,
32155,32155,Logan,40.030617,-75.146485,50,,0,,2,
32156,32156,Olney Transit Center - B2 & B3,40.039039,-75.144678,,,0,32095,1,32095_PLATFORM
32158,32158,Frankford Transit Center,40.023063,-75.078038,,,0,31033,1,31033_PLATFORM
32159,32159,Arrott Transit Center,40.016609,-75.083885,50,,0,,1,
32160,32160,Church,40.010937,-75.088758,50,,0,,1,
32161,32161,Erie-Torresdale,40.005888,-75.096463,50,,0,,1,
32162,32162,Tioga,40.000354,-75.106498,50,,0,,1,
32163,32163,Kensington-Allegheny,39.996534,-75.113499,50,,0,,1,
32164,32164,Somerset,39.991487,-75.122548,50,,0,,1,
32165,32165,Huntingdon,39.988866,-75.127332,50,,0,,1,
32166,32166,York-Dauphin,39.985539,-75.132084,50,,0,,1,
32167,32167,Berks,39.978626,-75.133566,50,,0,,1,
32168,32168,Front-Girard,39.968895,-75.136252,50,,0,,1,
32169,32169,Spring Garden,39.960551,-75.140467,50,,0,,2,
32170,32170,2nd St,39.949858,-75.143746,50,,0,,1,
32171,32171,5th St/Independence Hall,39.950601,-75.148939,50,,0,,1,
32172,32172,8th-Market,39.951174,-75.153589,50,,0,,1,
32174,32174,13th St,39.952137,-75.16145,50,,0,,1,
32175,32175,15th St/City Hall,39.952645,-75.165286,,,0,33034,1,
32176,32176,Drexel Station at 30th St,39.954886,-75.183252,,,0,33035,1,
32177,32177,34th St,39.955901,-75.19148,50,,0,,2,
32178,32178,40th St,39.957188,-75.201963,50,,0,,1,
