trip_id,arrival_time,departure_time,stop_id,pickup_type,drop_off_type,stop_sequence,shape_dist_traveled,timepoint,stop_headsign
2322137,05:15:19,05:15:19,stop_point:SP_1831,0,1,1,0,0,
2322137,05:16:40,05:16:40,stop_point:SP_3642,0,0,2,820.74277692,0,
2322137,05:17:58,05:17:58,stop_point:SP_3475,0,0,3,1355.90608626,0,
2322137,05:19:03,05:19:03,stop_point:SP_3788,0,0,4,1853.28566942,0,
2322137,05:20:45,05:20:45,stop_point:SP_3283,0,0,5,2992.61374365,0,
2322137,05:21:48,05:21:48,stop_point:SP_2832,0,0,6,3459.42158887,0,
2322137,05:22:58,05:22:58,stop_point:SP_1664,0,0,7,3967.88743252,0,
2322137,05:24:16,05:24:16,stop_point:SP_2897,0,0,8,4610.39000704,0,
2322137,05:25:26,05:25:26,stop_point:SP_836,0,0,9,5109.20208477,0,
2322137,05:26:44,05:26:44,stop_point:SP_799,0,0,10,5815.01735067,0,
2322137,05:28:32,05:28:32,stop_point:SP_2221,0,0,11,6991.27769022,0,
2322137,05:29:46,05:29:46,stop_point:SP_2757,0,0,12,7485.38022361,0,
2322137,05:30:57,05:30:57,stop_point:SP_1572,0,0,13,7757.0447572,0,
2322137,05:32:19,05:32:19,stop_point:SP_644,0,0,14,8517.87073515,0,
2322137,05:33:53,05:33:53,stop_point:SP_375,0,0,15,9364.58658989001,0,
2322137,05:35:14,05:35:14,stop_point:SP_1224,0,0,16,10069.83948427,0,
2322137,05:36:33,05:36:33,stop_point:SP_371,0,0,17,10849.04473074,0,
2322137,05:38:15,05:38:15,stop_point:SP_2181,1,0,18,11616.93474226,0,
2322314,05:42:19,05:42:19,stop_point:SP_2236,0,1,1,0,0,
2322314,05:43:48,05:43:48,stop_point:SP_3942,0,0,2,767.72227063,0,
2322314,05:45:07,05:45:07,stop_point:SP_2988,0,0,3,1547.04384975,0,
2322314,05:46:33,05:46:33,stop_point:SP_3480,0,0,4,2252.39564407,0,
2322314,05:48:02,05:48:02,stop_point:SP_2916,0,0,5,3099.37852476,0,
2322314,05:49:24,05:49:24,stop_point:SP_147,0,0,6,3860.3391614,0,
2322314,05:50:33,05:50:33,stop_point:SP_1912,0,0,7,4130.95129844,0,
2322314,05:51:45,05:51:45,stop_point:SP_3168,0,0,8,4625.9502988,0,
2322314,05:53:28,05:53:28,stop_point:SP_3498,0,0,9,5802.19539075,0,
2322314,05:54:46,05:54:46,stop_point:SP_961,0,0,10,6508.20237336001,0,
2322314,05:55:58,05:55:58,stop_point:SP_3042,0,0,11,7007.27578344,0,
2322314,05:57:14,05:57:14,stop_point:SP_2037,0,0,12,7649.32257355,0,
2322314,05:58:23,05:58:23,stop_point:SP_3011,0,0,13,8156.74813377001,0,
2322314,05:59:27,05:59:27,stop_point:SP_2569,0,0,14,8624.65132265,0,
2322314,06:01:15,06:01:15,stop_point:SP_264,0,0,15,9764.0427747,0,
2322314,06:02:18,06:02:18,stop_point:SP_3069,0,0,16,10261.31703916,0,
2322314,06:03:38,06:03:38,stop_point:SP_3411,0,0,17,10796.98896704,0,
2322314,06:05:06,06:05:06,stop_point:SP_3055,1,0,18,11617.16692501,0,
2383555,05:15:19,05:15:19,stop_point:SP_3137,0,1,1,0,0,
2383555,05:17:11,05:17:11,stop_point:SP_793,0,0,2,1280.30327651,0,
2383555,05:18:39,05:18:39,stop_point:SP_3284,0,0,3,2113.16820637,0,
2383555,05:19:59,05:19:59,stop_point:SP_335,0,0,4,2915.0849006,0,
2383555,05:21:15,05:21:15,stop_point:SP_1527,0,0,5,3529.3857278,0,
2383555,05:22:36,05:22:36,stop_point:SP_635,0,0,6,4345.53181912,0,
2383555,05:24:17,05:24:17,stop_point:SP_1809,0,0,7,5374.37042338,0,
2383555,05:25:49,05:25:49,stop_point:SP_3815,0,0,8,6264.6525427,0,
2383555,05:27:07,05:27:07,stop_point:SP_1013,0,0,9,7034.74757551,0,
2383555,05:28:21,05:28:21,stop_point:SP_2739,0,0,10,7637.78663641,0,
2383555,05:29:43,05:29:43,stop_point:SP_2621,0,0,11,8417.48075598,0,
2383555,05:31:04,05:31:04,stop_point:SP_1984,0,0,12,9087.1769673,0,
2383555,05:32:15,05:32:15,stop_point:SP_962,0,0,13,9530.76757817,0,
2383555,05:33:47,05:33:47,stop_point:SP_56,0,0,14,10461.34784984,0,
2383555,05:35:18,05:35:18,stop_point:SP_2012,0,0,15,11444.7259467,0,
2383555,05:36:31,05:36:31,stop_point:SP_2699,0,0,16,12146.39507857,0,
2383555,05:37:50,05:37:50,stop_point:SP_3449,0,0,17,12860.70592982,0,
2383555,05:39:17,05:39:17,stop_point:SP_2297,0,0,18,13619.2338349,0,
2383555,05:40:43,05:40:43,stop_point:SP_3067,0,0,19,14532.84755625,0,
2383555,05:42:19,05:42:19,stop_point:SP_2851,1,0,20,15387.80927385,0,
2383556,05:15:19,05:15:19,stop_point:SP_2934,0,1,1,0,0,
2383556,05:16:43,05:16:43,stop_point:SP_2035,0,0,2,855.23631215,0,
2383556,05:18:09,05:18:09,stop_point:SP_3102,0,0,3,1768.85171013,0,
2383556,05:19:35,05:19:35,stop_point:SP_2224,0,0,4,2527.69527714,0,
2383556,05:20:55,05:20:55,stop_point:SP_2708,0,0,5,3242.3217577,0,
2383556,05:22:07,05:22:07,stop_point:SP_1138,0,0,6,3943.14439875,0,
2383556,05:23:43,05:23:43,stop_point:SP_2860,0,0,7,4925.9354068,0,
2383556,05:25:17,05:25:17,stop_point:SP_2676,0,0,8,5856.010331,0,
2383556,05:26:30,05:26:30,stop_point:SP_676,0,0,9,6299.69740103,0,
2383556,05:27:44,05:27:44,stop_point:SP_540,0,0,10,6969.40103606,0,
2383556,05:29:06,05:29:06,stop_point:SP_2737,0,0,11,7748.24189336999,0,
2383556,05:30:20,05:30:20,stop_point:SP_169,0,0,12,8352.63858703999,0,
2383556,05:31:38,05:31:38,stop_point:SP_2481,0,0,13,9122.19389474999,0,
2383556,05:33:09,05:33:09,stop_point:SP_3519,0,0,14,10012.14763963,0,
2383556,05:34:50,05:34:50,stop_point:SP_685,0,0,15,11041.96193482,0,
2383556,05:36:09,05:36:09,stop_point:SP_3848,0,0,16,11860.38699513,0,
2383556,05:37:25,05:37:25,stop_point:SP_1141,0,0,17,12472.16559872,0,
2383556,05:38:49,05:38:49,stop_point:SP_332,0,0,18,13274.83136393,0,
2383556,05:40:17,05:40:17,stop_point:SP_3476,0,0,19,14108.93906322,0,
2383556,05:42:16,05:42:16,stop_point:SP_645,1,0,20,15388.92656167,0,
