trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
15501412,24:46:00,24:46:00,11295,1,,0,0,,1
15501412,25:06:00,25:06:00,11279,10,,0,0,11.1545,1
15501412,25:07:00,25:07:00,11277,11,,0,0,11.5436,1
15501412,25:09:00,25:09:00,11275,12,,0,0,12.526,1
15501412,25:11:00,25:11:00,11273,13,,0,0,13.7046,1
15501412,25:13:00,25:13:00,11303,14,,1,0,14.1459,1
15501412,24:48:00,24:48:00,11293,2,,0,0,0.7493,1
15501412,24:50:00,24:50:00,11291,3,,0,0,1.7877,1
15501412,24:51:00,24:51:00,12946,4,,0,0,2.4253,1
15501412,24:53:00,24:53:00,11289,5,,0,0,3.3384,1
15501412,24:56:00,24:56:00,11287,6,,0,0,5.1704,1
15501412,24:58:00,24:58:00,11285,7,,0,0,6.9583,1
15501412,25:00:00,25:00:00,11283,8,,0,0,7.7677,1
15501412,25:03:00,25:03:00,11281,9,,0,0,9.6126,1
15501413,24:54:00,24:54:00,11301,1,,0,0,,1
15501413,25:15:00,25:15:00,11277,10,,0,0,12.3115,1
15501413,25:16:00,25:16:00,11275,11,,0,0,13.2939,1
15501413,25:19:00,25:19:00,11273,12,,0,0,14.4725,1
15501413,25:20:00,25:20:00,11303,13,,1,0,14.9138,1
15501413,24:56:00,24:56:00,11299,2,,0,0,1.4394,1
15501413,24:58:00,24:58:00,11297,3,,0,0,2.4948,1
15501413,25:01:00,25:01:00,11289,4,,0,0,4.1063,1
15501413,25:04:00,25:04:00,11287,5,,0,0,5.9384,1
15501413,25:06:00,25:06:00,11285,6,,0,0,7.7262,1
15501413,25:07:00,25:07:00,11283,7,,0,0,8.5356,1
15501413,25:11:00,25:11:00,11281,8,,0,0,10.3805,1
15501413,25:13:00,25:13:00,11279,9,,0,0,11.9224,1
15501732,25:08:00,25:08:00,11302,1,,0,0,,1
15501732,25:27:00,25:27:00,11288,10,,0,0,10.8066,1
