stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
10374,60825,VCC-Clark Station @ Platform 2,,49.265799,-123.079054,ZN 1,,0,99916,1
10375,60824,VCC-Clark Station @ Platform 1,,49.265873,-123.079049,ZN 1,,0,99916,1
11272,61363,Vancouver City Centre Station @ Platform 2,,49.282462,-123.118283,ZN 1,,0,99915,1
11273,61364,Vancouver City Centre Station @ Platform 1,,49.282352,-123.118143,ZN 1,,0,99915,1
11274,61365,Yaletown-Roundhouse Station @ Platform 2,,49.274467,-123.122124,ZN 1,,0,99914,1
11275,61366,Yaletown-Roundhouse Station @ Platform 1,,49.274508,-123.122015,ZN 1,,0,99914,1
11276,61367,Olympic Village Station @ Platform 2,,49.266616,-123.115218,ZN 1,,0,99913,1
11277,61368,Olympic Village Station @ Platform 1,,49.266557,-123.115527,ZN 1,,0,99913,1
11278,61369,Broadway-City Hall Station @ Platform 2,,49.262684,-123.114856,ZN 1,,0,99912,1
11279,61370,Broadway-City Hall Station @ Platform 1,,49.262725,-123.114753,ZN 1,,0,99912,1
11280,61371,King Edward Station @ Platform 2,,49.249186,-123.115716,ZN 1,,0,99911,1
11281,61372,King Edward Station @ Platform 1,,49.249172,-123.115228,ZN 1,,0,99911,1
11282,61373,Oakridge-41st Avenue Station @ Platform 2,,49.233747,-123.116422,ZN 1,,0,99910,1
11283,61374,Oakridge-41st Avenue Station @ Platform 1,,49.233731,-123.116176,ZN 1,,0,99910,1
11284,61375,Langara-49th Avenue Station @ Platform 2,,49.225743,-123.116752,ZN 1,,0,99909,1
11285,61376,Langara-49th Avenue Station @ Platform 1,,49.225709,-123.116289,ZN 1,,0,99909,1
11286,61377,Marine Drive Station @ Platform 2,,49.209661,-123.117078,ZN 1,,0,99908,1
11287,61378,Marine Drive Station @ Platform 1,,49.209663,-123.116921,ZN 1,,0,99908,1
11288,61379,Bridgeport Station @ Platform 2,,49.195558,-123.126076,ZN 2,,0,99907,1
11289,61380,Bridgeport Station @ Platform 1,,49.195514,-123.126006,ZN 2,,0,99907,1
11290,61381,Aberdeen Station @ Platform 2,,49.184,-123.136398,ZN 2,,0,99906,1
11291,61382,Aberdeen Station @ Platform 1,,49.183991,-123.13622,ZN 2,,0,99906,1
11292,61383,Lansdowne Station @ Platform 2,,49.174762,-123.136507,ZN 2,,0,99905,1
11293,61384,Lansdowne Station @ Platform 1,,49.174766,-123.136322,ZN 2,,0,99905,1
11294,61385,Richmond-Brighouse Station @ Canada Line,,49.168092,-123.136247,ZN 2,,0,99904,1
11295,61386,Richmond-Brighouse Station @ Platform 1,,49.168092,-123.136174,ZN 2,,0,99904,1
11296,61387,Templeton Station @ Platform 2,,49.196715,-123.146335,ZN 2,,0,99903,1
11297,61388,Templeton Station @ Platform 1,,49.196655,-123.146307,CL_AD,,0,99903,1
11298,61389,Sea Island Centre Station @ Platform 2,,49.193053,-123.157851,ZN 2,,0,99902,1
11299,61390,Sea Island Centre Station @ Platform 1,,49.19293,-123.157884,CL_AD,,0,99902,1
11300,61391,YVR-Airport Station @ Canada Line,,49.194189,-123.178251,ZN 2,,0,99901,1
11301,61392,YVR-Airport Station @ Platform 1,,49.194177,-123.178108,CL_AD,,0,99901,1
11302,61393,Waterfront Station @ Platform 4,,49.285139,-123.114206,ZN 1,,0,12034,1
11303,61394,Waterfront Station @ Platform 5,,49.285093,-123.114139,ZN 1,,0,12034,1
12034,61925,Waterfront Station,,49.285687,-123.111773,ZN 1,https://translink.ca/schedules-and-maps/station/waterfront/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_station&utm_term=waterfront,1,,1
12227,60084,Lougheed Town Centre Station @ Platform 3,,49.248611,-122.896818,ZN 2,,0,99926,1
12228,60085,Burquitlam Station @ Platform 1,,49.261421,-122.889853,ZN 3,,0,99927,1
12229,60086,Burquitlam Station @ Platform 2,,49.261375,-122.889784,ZN 3,,0,99927,1
12230,60087,Moody Centre Station @ Platform 1,,49.27798,-122.845609,ZN 3,,0,99928,1
12231,60088,Moody Centre Station @ Platform 2,,49.277941,-122.845608,ZN 3,,0,99928,1
12232,60089,Inlet Centre Station @ Platform 1,,49.277294,-122.828164,ZN 3,,0,99929,1
12233,60090,Inlet Centre Station @ Platform 2,,49.277118,-122.828183,ZN 3,,0,99929,1
12234,60091,Coquitlam Central Station @ Platform 1,,49.274919,-122.800551,ZN 3,,0,99930,1
12235,60092,Coquitlam Central Station @ Platform 2,,49.274738,-122.800643,ZN 3,,0,99930,1
12236,60093,Lincoln Station @ Platform 1,,49.280417,-122.794097,ZN 3,,0,99931,1
12237,60094,Lincoln Station @ Platform 2,,49.28041,-122.793805,ZN 3,,0,99931,1
12238,60095,Lafarge Lake-Douglas Station @ Platform 1,,49.285743,-122.791623,ZN 3,,0,99932,1
