trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
134936046,25:20:00,25:20:00,14111,1,,0,0,,
134936046,25:22:08,25:22:08,13789,2,,0,0,1.5224,
134936046,25:23:15,25:23:15,13860,3,,0,0,2.3171,
134936046,25:26:02,25:26:02,13792,4,,0,0,4.2739,
134936046,25:29:02,25:29:02,13793,5,,0,0,6.2998,
134936046,25:32:16,25:32:16,13795,6,,0,0,8.6267,
134936046,25:33:53,25:33:53,13798,7,,0,0,9.4926,
134936046,25:36:00,25:36:00,13799,8,,0,0,10.6211,
134936046,25:37:15,25:37:15,13802,9,,0,0,11.2508,
134936046,25:38:39,25:38:39,13803,10,,0,0,11.9552,
134936046,25:40:06,25:40:06,13864,11,,0,0,12.6598,
134936046,25:41:32,25:41:32,13806,12,,0,0,13.2491,
134936046,25:42:51,25:42:51,13807,13,,0,0,13.7965,
134936046,25:44:04,25:44:04,13810,14,,0,0,14.2906,
134936046,25:45:12,25:45:12,13811,15,,0,0,14.7325,
134936046,25:46:18,25:46:18,13814,16,,0,0,15.161,
134936046,25:47:40,25:47:40,13815,17,,0,0,15.6742,
134936046,25:49:00,25:49:00,13817,18,,0,0,16.1591,
134936046,25:50:10,25:50:10,13820,19,,0,0,16.5799,
134936046,25:51:19,25:51:19,13821,20,,0,0,16.9884,
134936046,25:52:42,25:52:42,13824,21,,0,0,17.6088,
134936046,25:54:27,25:54:27,13825,22,,0,0,18.3984,
134936046,25:55:48,25:55:48,13858,23,,0,0,18.995,
134936046,25:57:11,25:57:11,13853,24,,0,0,19.6782,
134936046,25:58:17,25:58:17,13828,25,,0,0,20.2255,
134936046,26:01:22,26:01:22,13829,26,,0,0,21.7249,
134936046,26:05:37,26:05:37,13832,27,,0,0,24.2963,
134936046,26:07:17,26:07:17,13833,28,,0,0,25.3034,
134936046,26:08:45,26:08:45,13836,29,,0,0,26.0912,
134936046,26:10:47,26:10:47,13837,30,,0,0,27.1846,
134936046,26:12:54,26:12:54,13840,31,,0,0,28.3013,
134936046,26:17:14,26:17:14,14945,32,,0,0,30.3284,
134936046,26:19:40,26:19:40,15664,33,,0,0,31.9296,
134936046,26:22:18,26:22:18,15659,34,,0,0,33.8754,
134936046,26:24:30,26:24:30,15666,35,,0,0,35.225,
134936046,26:26:22,26:26:22,15656,36,,0,0,36.0378,
134936046,26:28:25,26:28:25,15661,37,,0,0,37.4393,
134936046,26:30:26,26:30:26,15662,38,,0,0,38.9837,
134936304,25:04:00,25:04:00,15663,1,,0,0,,
134936304,25:06:01,25:06:01,15660,2,,0,0,1.5444,
134936304,25:08:04,25:08:04,15657,3,,0,0,2.9427,
134936304,25:09:56,25:09:56,15667,4,,0,0,3.7587,
134936304,25:12:08,25:12:08,15658,5,,0,0,5.1083,
134936304,25:14:46,25:14:46,15665,6,,0,0,7.0541,
134936304,25:17:12,25:17:12,14110,7,,0,0,8.7861,
134936304,25:20:05,25:20:05,13839,8,,0,0,10.8182,
134936304,25:22:02,25:22:02,13838,9,,0,0,11.9472,
134936304,25:23:52,25:23:52,13835,10,,0,0,13.0092,
134936304,25:25:16,25:25:16,13834,11,,0,0,13.8158,
134936304,25:26:54,25:26:54,13831,12,,0,0,14.8356,
134936304,25:31:03,25:31:03,13830,13,,0,0,17.3989,
134936304,25:34:11,25:34:11,13827,14,,0,0,18.8965,
134936304,25:35:19,25:35:19,13854,15,,0,0,19.4416,
134936304,25:36:47,25:36:47,13857,16,,0,0,20.1374,
134936304,25:38:10,25:38:10,13826,17,,0,0,20.7343,
134936304,25:40:00,25:40:00,13823,18,,0,0,21.5233,
134936304,25:41:26,25:41:26,13822,19,,0,0,22.133,
134936304,25:42:33,25:42:33,13819,20,,0,0,22.5521,
134936304,25:43:40,25:43:40,13818,21,,0,0,22.9676,
134936304,25:45:00,25:45:00,13816,22,,0,0,23.4569,
134936304,25:46:34,25:46:34,13813,23,,0,0,23.9574,
134936304,25:47:55,25:47:55,13812,24,,0,0,24.3881,
134936304,25:49:20,25:49:20,13809,25,,0,0,24.8314,
134936304,25:50:35,25:50:35,13808,26,,0,0,25.3356,
134936304,25:51:54,25:51:54,13805,27,,0,0,25.8704,
134936304,25:53:21,25:53:21,13863,28,,0,0,26.4427,
134936304,25:55:04,25:55:04,13804,29,,0,0,27.168,
134936304,25:56:45,25:56:45,13801,30,,0,0,27.8806,
134936304,25:58:14,25:58:14,13800,31,,0,0,28.5003,
134936304,26:00:22,26:00:22,13797,32,,0,0,29.6278,
134936304,26:02:11,26:02:11,13796,33,,0,0,30.5746,
134936304,26:05:37,26:05:37,13794,34,,0,0,32.8194,
134936304,26:08:21,26:08:21,13791,35,,0,0,34.8441,
134936304,26:11:49,26:11:49,13859,36,,0,0,36.8118,
134936304,26:13:12,26:13:12,13790,37,,0,0,37.5943,
134936304,26:16:34,26:16:34,14944,38,,0,0,38.9837,
134936560,25:31:00,25:31:00,13785,1,,0,0,,
134936560,25:33:04,25:33:04,13784,2,,0,0,1.3606,
134936560,25:34:55,25:34:55,13781,3,,0,0,2.5819,
134936560,25:36:53,25:36:53,13780,4,,0,0,3.8732,
134936560,25:38:20,25:38:20,13777,5,,0,0,4.8021,
134936560,25:39:20,25:39:20,13776,6,,0,0,5.4737,
134936560,25:40:41,25:40:41,13773,7,,0,0,6.1466,
134936560,25:42:05,25:42:05,13772,8,,0,0,6.8431,
134936560,25:43:15,25:43:15,13769,9,,0,0,7.4856,
134936560,25:44:34,25:44:34,13768,10,,0,0,8.2101,
134936560,25:45:52,25:45:52,13765,11,,0,0,8.9279,
134936560,25:47:05,25:47:05,13764,12,,0,0,9.5772,
134936560,25:48:36,25:48:36,13761,13,,0,0,10.3207,
134936560,25:49:45,25:49:45,13760,14,,0,0,10.8869,
134936560,25:50:53,25:50:53,13852,15,,0,0,11.4434,
134936560,25:51:55,25:51:55,13856,16,,0,0,11.9396,
134936560,25:53:29,25:53:29,13757,17,,0,0,12.5975,
134936560,25:54:20,25:54:20,13756,18,,0,0,12.9491,
134936560,25:55:49,25:55:49,13753,19,,0,0,13.7467,
134936560,25:57:06,25:57:06,13752,20,,0,0,14.4379,
134936560,25:58:45,25:58:45,13749,21,,0,0,15.3185,
134936560,25:59:44,25:59:44,13748,22,,0,0,15.7938,
134936560,26:01:11,26:01:11,13746,23,,0,0,16.4941,
134936560,26:02:20,26:02:20,13743,24,,0,0,17.0412,
134936560,26:03:20,26:03:20,13742,25,,0,0,17.5309,
134936560,26:04:20,26:04:20,13739,26,,0,0,18.342,
134936560,26:06:20,26:06:20,13738,27,,0,0,19.156,
134936560,26:07:48,26:07:48,13735,28,,0,0,20.131,
134936560,26:09:38,26:09:38,13734,29,,0,0,21.3551,
134936560,26:12:55,26:12:55,13732,30,,0,0,23.5284,
134936560,26:16:15,26:16:15,14947,31,,0,0,26.1379,
134936812,25:31:00,25:31:00,13865,1,,0,0,,
134936812,25:34:37,25:34:37,13731,2,,0,0,2.7446,
134936812,25:37:29,25:37:29,13733,3,,0,0,4.9228,
134936812,25:39:06,25:39:06,13736,4,,0,0,6.1462,
134936812,25:40:25,25:40:25,13737,5,,0,0,7.1231,
134936812,25:41:25,25:41:25,13740,6,,0,0,7.9361,
134936812,25:42:45,25:42:45,13741,7,,0,0,8.4659,
134936812,25:43:45,25:43:45,13744,8,,0,0,9.2348,
134936812,25:45:04,25:45:04,13745,9,,0,0,9.7841,
134936812,25:46:25,25:46:25,13747,10,,0,0,10.346,
134936812,25:47:25,25:47:25,13750,11,,0,0,10.9631,
134936812,25:48:25,25:48:25,13751,12,,0,0,11.8476,
134936812,25:49:25,25:49:25,13754,13,,0,0,12.3902,
134936812,25:51:45,25:51:45,13755,14,,0,0,13.2548,
134936812,25:52:39,25:52:39,13758,15,,0,0,13.6807,
134936812,25:54:05,25:54:05,13855,16,,0,0,14.3398,
134936812,25:55:05,25:55:05,13851,17,,0,0,14.843,
134936812,25:56:23,25:56:23,13759,18,,0,0,15.3928,
134936812,25:57:45,25:57:45,13762,19,,0,0,15.9571,
134936812,25:59:15,25:59:15,13763,20,,0,0,16.7095,
134936812,26:00:03,26:00:03,13766,21,,0,0,17.3595,
134936812,26:00:45,26:00:45,13767,22,,0,0,17.9268,
134936812,26:02:51,26:02:51,13770,23,,0,0,18.7914,
134936812,26:04:25,26:04:25,13771,24,,0,0,19.4352,
134936812,26:05:39,26:05:39,13774,25,,0,0,20.1318,
134936812,26:06:51,26:06:51,13775,26,,0,0,20.805,
134936812,26:08:05,26:08:05,13778,27,,0,0,21.48,
134936812,26:09:35,26:09:35,13779,28,,0,0,22.4015,
134936812,26:11:44,26:11:44,13782,29,,0,0,23.7012,
134936812,26:13:45,26:13:45,13783,30,,0,0,24.918,
134936812,26:16:15,26:16:15,14948,31,,0,0,26.1379,
