stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,tts_stop_name
3194,3194,Woodbine,Parent station node for Woodbine,43.686546,-79.312683,,,1,,,1,,
3529,3529,Dundas West,Parent station node for Dundas West,43.656849,-79.453392,,,1,,,1,,
3667,3667,Greenwood,Parent station node for Greenwood,43.682648,-79.330284,,,1,,,1,,
7129,7129,Sheppard-Yonge,Parent station node for Sheppard-Yonge,43.761646,-79.41169,,,1,,,1,,
7906,7906,Kipling,Parent station node for Kipling,43.63715,-79.535995,,,1,,,1,,
11860,11860,Sheppard West,Parent station node for Sheppard West,43.750046,-79.462593,,,1,,,1,,
13682,13682,Don Mills,Parent station node for Don Mills,43.775547,-79.346588,,,1,,,1,,
13689,13689,Leslie,Parent station node for Leslie,43.770847,-79.36779,,,1,,,1,,
13731,13731,Warden Station - Westbound Platform,,43.710949,-79.279085,,,0,43294,,1,300222,
13732,13732,Warden Station - Eastbound Platform,,43.712149,-79.278785,,,0,43294,,1,300222,
13733,13733,Victoria Park Station - Westbound Platform,,43.694649,-79.289485,,,0,43293,,1,300219,
13734,13734,Victoria Park Station - Eastbound Platform,,43.695149,-79.287885,,,0,43293,,1,300219,
13735,13735,Main Street Station - Eastbound Platform,,43.689249,-79.300686,,,0,43292,,1,300123,
13736,13736,Main Street Station - Westbound Platform,,43.688949,-79.302386,,,0,43292,,1,300123,
13737,13737,Woodbine Station - Westbound Platform,,43.686349,-79.313986,,,0,3194,,1,300231,
13738,13738,Woodbine Station - Eastbound Platform,,43.686649,-79.312286,,,0,3194,,1,300231,
13739,13739,Coxwell Station - Eastbound Platform,,43.684549,-79.321986,,,0,43291,,1,300030,
13740,13740,Coxwell Station - Westbound Platform,,43.684249,-79.323686,,,0,43291,,1,300030,
13741,13741,Greenwood Station - Westbound Platform,,43.682849,-79.329987,,,0,3667,,1,300078,
13742,13742,Greenwood Station - Eastbound Platform,,43.682549,-79.331687,,,0,3667,,1,300078,
13743,13743,Donlands Station - Eastbound Platform,,43.681149,-79.337487,,,0,43290,,1,300040,
13744,13744,Donlands Station - Westbound Platform,,43.680949,-79.339187,,,0,43290,,1,300040,
13745,13745,Pape Station - Westbound Platform,,43.679649,-79.345787,,,0,43289,,1,300147,
13746,13746,Pape Station - Eastbound Platform,,43.679949,-79.344087,,,0,43289,,1,300147,
13747,13747,Chester Station - Westbound Platform,,43.678351,-79.352537,,,0,14573,,1,300021,
13748,13748,Chester Station - Eastbound Platform,,43.678241,-79.352502,,,0,14573,,1,300021,
13749,13749,Broadview Station - Eastbound Platform,,43.677049,-79.358088,,,0,43288,,1,300015,
13750,13750,Broadview Station - Westbound Platform,,43.676349,-79.359588,,,0,43288,,1,300015,
13751,13751,Castle Frank Station - Westbound Platform,,43.673549,-79.369788,,,0,43287,,1,300018,
13752,13752,Castle Frank Station - Eastbound Platform,,43.674049,-79.368088,,,0,43287,,1,300018,
13753,13753,Sherbourne Station - Eastbound Platform,,43.672103,-79.376162,,,0,14574,,1,300182,
13754,13754,Sherbourne Station - Westbound Platform,,43.672174,-79.376173,,,0,14574,,1,300182,
13755,13755,Yonge Station - Westbound Platform,,43.671049,-79.386789,,,0,14572,,1,300234,
13756,13756,Yonge Station - Eastbound Platform,,43.670997,-79.385956,,,0,14572,,1,300234,
13757,13757,Bay Station - Eastbound Platform,,43.670149,-79.390089,,,0,14579,,1,300006,
13758,13758,Bay Station - Westbound Platform,,43.669849,-79.391789,,,0,14579,,1,300006,
13759,13759,Bathurst Station - Westbound Platform,,43.665649,-79.41229,,,0,43286,,1,300002,
13760,13760,Bathurst Station - Eastbound Platform,,43.665949,-79.410589,,,0,43286,,1,300002,
13761,13761,Christie Station - Eastbound Platform,,43.664449,-79.41729,,,0,14595,,1,300024,
13762,13762,Christie Station - Westbound Platform,,43.664149,-79.41899,,,0,14595,,1,300024,
13763,13763,Ossington Station - Westbound Platform,,43.662049,-79.42789,,,0,43285,,1,300145,
13764,13764,Ossington Station - Eastbound Platform,,43.662349,-79.42609,,,0,43285,,1,300145,
13765,13765,Dufferin Station - Eastbound Platform,,43.660849,-79.43389,,,0,14594,,1,300046,
13766,13766,Dufferin Station - Westbound Platform,,43.660549,-79.43569,,,0,14594,,1,300046,
13767,13767,Lansdowne Station - Westbound Platform,,43.659314,-79.442471,,,0,14575,,1,300107,
13768,13768,Lansdowne Station - Eastbound Platform,,43.659246,-79.442463,,,0,14575,,1,300107,
13769,13769,Dundas West Station - Eastbound Platform,,43.657449,-79.451091,,,0,3529,,1,300051,
13770,13770,Dundas West Station - Westbound Platform,,43.657149,-79.452791,,,0,3529,,1,300051,
13771,13771,Keele Station - Westbound Platform,,43.655349,-79.460391,,,0,43284,,1,300094,
13772,13772,Keele Station - Eastbound Platform,,43.655649,-79.458691,,,0,43284,,1,300094,
13773,13773,High Park Station - Eastbound Platform,,43.653849,-79.466991,,,0,43283,,1,300082,
13774,13774,High Park Station - Westbound Platform,,43.653549,-79.468691,,,0,43283,,1,300082,
13775,13775,Runnymede Station - Westbound Platform,,43.651749,-79.476692,,,0,43282,,1,300169,
13776,13776,Runnymede Station - Eastbound Platform,,43.652049,-79.474992,,,0,43282,,1,300169,
13777,13777,Jane Station - Eastbound Platform,,43.650149,-79.482892,,,0,43281,,1,300092,
13778,13778,Jane Station - Westbound Platform,,43.649749,-79.484592,,,0,43281,,1,300092,
13779,13779,Old Mill Station - Westbound Platform,,43.650048,-79.494892,,,0,43280,,2,300139,
13780,13780,Old Mill Station - Eastbound Platform,,43.649448,-79.493392,,,0,43280,,2,300139,
13781,13781,Royal York Station - Eastbound Platform,,43.648548,-79.508693,,,0,43279,,1,300166,
13782,13782,Royal York Station - Westbound Platform,,43.648348,-79.510493,,,0,43279,,1,300166,
13783,13783,Islington Station - Westbound Platform,,43.645248,-79.524994,,,0,43278,,2,300089,
13784,13784,Islington Station - Eastbound Platform,,43.645548,-79.523293,,,0,43278,,2,300089,
13785,13785,Kipling Station - Eastbound Platform,,43.637648,-79.535694,,,0,7906,,1,300105,
13789,13789,North York Centre Station - Southbound Platform,,43.767347,-79.412492,,,0,14591,,1,300136,
13790,13790,North York Centre Station - Northbound Platform,,43.768547,-79.412592,,,0,14591,,1,300136,
13791,13791,York Mills Station - Northbound Platform,,43.744448,-79.406191,,,0,43276,,1,300235,
13792,13792,York Mills Station - Southbound Platform,,43.743248,-79.405991,,,0,43276,,1,300235,
13793,13793,Lawrence Station - Southbound Platform,,43.725348,-79.40229,,,0,43275,,1,300112,
13794,13794,Lawrence Station - Northbound Platform,,43.726548,-79.40249,,,0,43275,,1,300112,
13795,13795,Eglinton Station - Southbound Platform,,43.704648,-79.39889,,,0,43274,,1,300059,
13796,13796,Eglinton Station - Northbound Platform,,43.706548,-79.39839,,,0,43274,,1,300059,
13797,13797,Davisville Station - Northbound Platform,,43.698248,-79.39729,,,0,43273,,1,300033,
13798,13798,Davisville Station - Southbound Platform,,43.697048,-79.39689,,,0,43273,,1,300033,
13799,13799,St Clair Station - Southbound Platform,,43.687449,-79.393089,,,0,43272,,1,300196,
13800,13800,St Clair Station - Northbound Platform,,43.688649,-79.393489,,,0,43272,,1,300196,
13801,13801,Summerhill Station - Northbound Platform,,43.683349,-79.391189,,,0,14590,,1,300210,
13802,13802,Summerhill Station - Southbound Platform,,43.682049,-79.390789,,,0,14590,,1,300210,
13803,13803,Rosedale Station - Southbound Platform,,43.676049,-79.388089,,,0,43271,,1,300164,
13804,13804,Rosedale Station - Northbound Platform,,43.677249,-79.388589,,,0,43271,,1,300164,
13805,13805,Wellesley Station - Northbound Platform,,43.666149,-79.383788,,,0,43270,,1,300226,
13806,13806,Wellesley Station - Southbound Platform,,43.664949,-79.383488,,,0,43270,,1,300226,
13807,13807,College Station - Southbound Platform,,43.660149,-79.382688,,,0,14589,,2,300027,
13808,13808,College Station - Northbound Platform,,43.661449,-79.383088,,,0,14589,,2,300027,
13809,13809,TMU Station - Northbound Platform,,43.657149,-79.381188,,,0,14588,,1,300050,
13810,13810,TMU Station - Southbound Platform,,43.655949,-79.380788,,,0,14588,,1,300050,
13811,13811,Queen Station - Southbound Platform,,43.652149,-79.379188,,,0,14587,,1,300158,
13812,13812,Queen Station - Northbound Platform,,43.653349,-79.379588,,,0,14587,,1,300158,
13813,13813,King Station - Northbound Platform,,43.649649,-79.378088,,,0,14586,,2,300101,
13814,13814,King Station - Southbound Platform,,43.648449,-79.377688,,,0,14586,,2,300101,
13815,13815,Union Station - Northbound Platform Towards Vaughan Metropolitan Centre,,43.645549,-79.381488,,,0,15772,,1,300211,
13816,13816,Union Station - Northbound Platform Towards Finch,,43.645849,-79.379688,,,0,15772,,1,300211,
13817,13817,St Andrew Station - Northbound Platform,,43.648249,-79.385088,,,0,14585,,1,300191,
13818,13818,St Andrew Station - Southbound Platform,,43.647049,-79.384488,,,0,14585,,1,300191,
13819,13819,Osgoode Station - Southbound Platform,,43.650449,-79.386488,,,0,14584,,1,300142,
13820,13820,Osgoode Station - Northbound Platform,,43.651749,-79.386888,,,0,14584,,1,300142,
13821,13821,St Patrick Station - Northbound Platform,,43.655249,-79.388388,,,0,14571,,1,300207,
13822,13822,St Patrick Station - Southbound Platform,,43.654049,-79.387988,,,0,14571,,1,300207,
13823,13823,Queen's Park Station - Southbound Platform,,43.659249,-79.390289,,,0,14583,,1,300161,
13824,13824,Queen's Park Station - Northbound Platform,,43.660549,-79.390689,,,0,14583,,1,300161,
13825,13825,Museum Station - Northbound Platform,,43.667249,-79.393389,,,0,14582,,2,300131,
13826,13826,Museum Station - Southbound Platform,,43.665949,-79.392989,,,0,14582,,2,300131,
13827,13827,Dupont Station - Southbound Platform,,43.673749,-79.406689,,,0,14581,,1,300056,
13828,13828,Dupont Station - Northbound Platform,,43.674949,-79.40709,,,0,14581,,1,300056,
13829,13829,St Clair West Station - Northbound Platform,,43.685148,-79.41589,,,0,43267,,1,300198,
13830,13830,St Clair West Station - Southbound Platform,,43.683948,-79.41539,,,0,43267,,1,300198,
