shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S10014,45.438003,-73.430645,10001,0.000
S10014,45.438189,-73.430060,10002,0.050
S10014,45.438301,-73.429711,10003,0.080
S10014,45.438412,-73.429361,10004,0.110
S10014,45.438572,-73.428858,10005,0.153
S10014,45.438743,-73.428321,10006,0.200
S10014,45.438826,-73.428062,10007,0.222
S10014,45.438894,-73.427847,10008,0.240
S10014,45.439019,-73.427466,10009,0.273
S10014,45.439064,-73.427340,10010,0.284
S10014,45.439111,-73.427218,10011,0.295
S10014,45.439161,-73.427097,10012,0.306
S10014,45.439226,-73.426958,10013,0.319
S10014,45.439295,-73.426822,10014,0.332
S10014,45.439369,-73.426693,10015,0.345
S10014,45.439447,-73.426569,10016,0.358
S10014,45.439530,-73.426451,10017,0.371
S10014,45.439617,-73.426339,10018,0.384
S10014,45.439708,-73.426234,10019,0.397
S10014,45.439802,-73.426135,10020,0.410
S10014,45.439900,-73.426043,10021,0.423
S10014,45.440001,-73.425959,10022,0.436
S10014,45.440105,-73.425881,10023,0.449
S10014,45.440215,-73.425809,10024,0.463
S10014,45.440328,-73.425746,10025,0.476
S10014,45.440443,-73.425691,10026,0.490
S10014,45.440559,-73.425645,10027,0.503
S10014,45.440678,-73.425608,10028,0.517
S10014,45.440798,-73.425578,10029,0.530
S10014,45.440918,-73.425559,10030,0.544
S10014,45.441039,-73.425548,10031,0.557
S10014,45.441160,-73.425547,10032,0.571
S10014,45.441281,-73.425554,10033,0.584
S10014,45.441402,-73.425571,10034,0.598
S10014,45.441522,-73.425596,10035,0.611
S10014,45.441641,-73.425631,10036,0.625
S10014,45.441758,-73.425674,10037,0.638
S10014,45.441874,-73.425726,10038,0.651
S10014,45.441987,-73.425787,10039,0.665
S10014,45.442100,-73.425858,10040,0.679
S10014,45.442209,-73.425935,10041,0.692
S10014,45.442316,-73.426022,10042,0.706
S10014,45.442419,-73.426117,10043,0.720
S10014,45.442519,-73.426219,10044,0.733
S10014,45.442614,-73.426329,10045,0.747
S10014,45.442698,-73.426435,10046,0.759
S10014,45.442779,-73.426546,10047,0.772
S10014,45.442857,-73.426662,10048,0.784
S10014,45.442931,-73.426782,10049,0.797
S10014,45.443075,-73.427027,10050,0.822
S10014,45.443216,-73.427276,10051,0.847
S10014,45.443601,-73.427967,10052,0.916
S10014,45.443723,-73.428188,10053,0.938
S10014,45.443846,-73.428409,10054,0.960
S10014,45.443969,-73.428630,10055,0.982
S10014,45.444092,-73.428851,10056,1.004
S10014,45.444470,-73.429531,10057,1.072
S10014,45.444805,-73.430133,10058,1.132
S10014,45.445218,-73.430875,10059,1.206
S10014,45.445335,-73.431086,10060,1.227
S10014,45.445454,-73.431294,10061,1.248
S10014,45.445599,-73.431542,10062,1.273
S10014,45.445748,-73.431786,10063,1.298
S10014,45.445900,-73.432024,10064,1.323
S10014,45.446056,-73.432260,10065,1.349
S10014,45.446095,-73.432316,10066,1.355
S10014,45.446227,-73.432506,10067,1.376
S10014,45.446361,-73.432696,10068,1.397
S10014,45.446437,-73.432802,10069,1.409
S10014,45.446947,-73.433524,10070,1.489
S10014,45.446947,-73.433524,20001,1.489
S10014,45.447363,-73.434112,20002,1.554
S10014,45.447512,-73.434322,20003,1.577
S10014,45.447746,-73.434652,20004,1.614
S10014,45.447961,-73.434959,20005,1.648
S10014,45.448657,-73.435946,20006,1.757
S10014,45.448925,-73.436324,20007,1.799
S10014,45.449193,-73.436700,20008,1.841
S10014,45.450485,-73.438494,20009,2.042
S10014,45.451257,-73.439568,20010,2.162
S10014,45.452472,-73.441256,20011,2.350
S10014,45.452925,-73.441885,20012,2.421
S10014,45.453351,-73.442479,20013,2.487
S10014,45.453804,-73.443114,20014,2.558
S10014,45.454258,-73.443749,20015,2.629
S10014,45.454559,-73.444166,20016,2.675
S10014,45.454711,-73.444372,20017,2.699
S10014,45.455047,-73.444826,20018,2.750
S10014,45.455291,-73.445157,20019,2.788
S10014,45.455536,-73.445487,20020,2.825
S10014,45.455736,-73.445759,20021,2.856
S10014,45.455935,-73.446033,20022,2.887
S10014,45.456179,-73.446375,20023,2.925
S10014,45.456424,-73.446716,20024,2.963
S10014,45.456804,-73.447247,20025,3.022
S10014,45.457388,-73.448070,20026,3.114
S10014,45.458179,-73.449191,20027,3.238
S10014,45.458452,-73.449574,20028,3.280
S10014,45.458725,-73.449956,20029,3.323
S10014,45.458895,-73.450193,20030,3.349
S10014,45.459336,-73.450803,20031,3.418
S10014,45.459776,-73.451414,20032,3.486
S10014,45.462501,-73.455194,20033,3.909
S10014,45.462745,-73.455534,20034,3.947
S10014,45.462864,-73.455708,20035,3.966
S10014,45.462982,-73.455886,20036,3.986
S10014,45.463076,-73.456033,20037,4.001
S10014,45.463167,-73.456184,20038,4.017
S10014,45.463295,-73.456407,20039,4.039
S10014,45.463418,-73.456636,20040,4.062
S10014,45.463536,-73.456870,20041,4.084
S10014,45.463649,-73.457109,20042,4.107
S10014,45.463756,-73.457353,20043,4.129
S10014,45.463858,-73.457603,20044,4.152
S10014,45.463954,-73.457857,20045,4.174
S10014,45.464045,-73.458114,20046,4.197
S10014,45.464130,-73.458376,20047,4.219
S10014,45.464208,-73.458641,20048,4.242
S10014,45.464281,-73.458910,20049,4.264
S10014,45.464348,-73.459182,20050,4.287
S10014,45.464407,-73.459447,20051,4.309
S10014,45.464459,-73.459715,20052,4.330
S10014,45.464507,-73.459984,20053,4.352
S10014,45.464549,-73.460257,20054,4.374
S10014,45.464584,-73.460530,20055,4.396
S10014,45.464614,-73.460805,20056,4.418
